object_type,object_name,classification,decision_basis,implementation_action,history_treatment,owner,phase_gate,executable_test,proof_requirement,status
table,foundation_v2.ava_packet_proofs,SUPERSEDE_WITH_V2,V2 needs isolated aVa grounding/refusal proof,Create V2 aVa proof table,Production aVa unchanged,Foundation V2 Codex,L11-to-L12 aVa grounding gate,npm run test:foundation-v2-migration; npm run test:foundation-v2-golden-slice,aVa packet proof,IN_PROGRESS
table,foundation_v2.gate_results,SUPERSEDE_WITH_V2,V2 needs executable gate proof ledger,Create V2 gate result table,V1 proof artifacts preserved,Foundation V2 Codex,all transition gates,npm run test:foundation-v2-golden-slice,gate proof,IN_PROGRESS
parser,shared_parser_code,REPAIR_IN_PLACE,Parser code is mutable implementation logic,Repair defects directly when tests prove no history rewrite,V1 governed source/review records preserved,Foundation V2 Codex,L1-to-L2 parser gate,npm run test:foundation-v2-golden-slice,row/field regression proof,IN_PROGRESS
mapping,source_to_target_mapping,REPAIR_IN_PLACE,Mapping logic is mutable implementation logic,Repair mapping defects directly,V1 governed facts superseded only through review/publication,Foundation V2 Codex,L2-to-L4 mapping gate,npm run test:foundation-v2-golden-slice,field disposition proof,IN_PROGRESS
projection,live_projection_builders,REPAIR_IN_PLACE,Projection builders are mutable implementation logic,Repair incorrect calculations with regression proof,V1 projection hashes preserved until rebuilt under approved path,Foundation V2 Codex,L8-to-L10 projection/Cube gate,npm run test:foundation-v2-golden-slice,projection parity proof,IN_PROGRESS
cube,live_cube_definitions,REPAIR_IN_PLACE,Cube definitions are mutable implementation logic,Repair incorrect definitions with parity tests,V1 Cube outputs preserved until governed rebuild,Foundation V2 Codex,L9-to-L10 Cube parity gate,npm run test:foundation-v2-golden-slice,Cube parity proof,IN_PROGRESS
provider,production_provider,RETIRE_AFTER_CUTOVER,Provider replacement requires proven V2 baseline and rollback,Use preview/test binding only until cutover approval,Production provider unchanged,Anand,HUMAN_ONLY_PROVIDER_CUTOVER,not_authorized,human approval plus product proof,HUMAN_ONLY
governed_record,V1_source_releases,PRESERVE_AS_IMMUTABLE_HISTORY,Frozen checkpoint depends on exact hashes,Read only; never rewrite,Historical source release retained,Foundation V2 Codex,B1 checkpoint gate,npm run test:foundation-v2-package,checkpoint hash proof,PASS
governed_record,V1_review_decisions,PRESERVE_AS_IMMUTABLE_HISTORY,Review decisions are audit history,Create correction candidates only after approval,V1 review ledger retained,Anand,HUMAN_ONLY_REVIEW_DECISION_APPLICATION,not_authorized,review audit proof,HUMAN_ONLY
governed_record,V1_publications,PRESERVE_AS_IMMUTABLE_HISTORY,Publication contents are immutable history,Create superseding publication version only after approval,V1 publication retained,Anand,HUMAN_ONLY_PUBLICATION,not_authorized,publication hash proof,HUMAN_ONLY
governed_record,V1_active_baseline,PRESERVE_AS_IMMUTABLE_HISTORY,Active baseline is tied to frozen V1 proof,Activate replacement only after V2 proof and human approval,V1 baseline retained,Anand,HUMAN_ONLY_BASELINE_ACTIVATION,not_authorized,baseline proof,HUMAN_ONLY
