tenant_key,evidence_id,source_version_id,evidence_type,evidence_summary,locator_type,locator,source_record_id,dimension_keys,business_object_refs,classification,confidence,evidence_date,approved_for_use,known_gaps,content_fingerprint
apex-retail,APX-EVID-011,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-11,APX-INIT-011,,APX-INIT-011; APX-INIT-011; Retail Evidence Steward,review_required,medium,2026-06-18,,none,503d993d67f9814e063ecd0d325356d4fb861bb798733f98773665f33b9747b5
apex-retail,APX-EVID-012,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-12,APX-INIT-012,,APX-INIT-012; APX-INIT-012; Retail Evidence Steward,approved,medium,2026-06-18,,none,056af2a2da3c0f1ceba54b1a3c0213eca9f244a573ff6e3062d0dd65e94c9d0d
apex-retail,APX-EVID-013,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-13,APX-INIT-013,,APX-INIT-013; APX-INIT-013; Retail Evidence Steward,approved,medium,2026-06-18,,none,fd94e8b9dbf67617f1a9baf26e47938be0c3e504b8486603712ff790967a5ef6
apex-retail,APX-EVID-014,SRCV-APEXRETAIL-4E48F7A07F3C,document_excerpt,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section,section-14,APX-INIT-014,,APX-INIT-014; APX-INIT-014; Retail Evidence Steward,approved,medium,2026-06-18,,none,401a3bc3ed3b93c03f3c7f09e7f8d2581fcde960113c48beb81657576d82bc48
apex-retail,APX-DAY1-AI-EVID-001,SRCV-APEXRETAIL-63700F3194A2,loaded_fact,Microsoft 365 Copilot usage and value proof evidence,query_result,APX-DAY1-AI-EVID-001,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Store and HQ Productivity Copilot; VP Store Operations,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",22a4ddf9a68b756298241dc42386652a6d6833c3440f070e000d4706d1eceaf3
apex-retail,APX-DAY1-AI-EVID-002,SRCV-APEXRETAIL-1042DF132576,loaded_fact,ServiceNow Now Assist usage and value proof evidence,query_result,APX-DAY1-AI-EVID-002,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Retail ITSM AI Resolution; VP IT Operations,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",754ca67256640a26c2ec6e5f4e9c105a485fa08dc3906a1fe123707e7f5c44a4
apex-retail,APX-DAY1-AI-EVID-003,SRCV-APEXRETAIL-1132F6257B94,loaded_fact,GitHub Copilot and Codex usage and value proof evidence,query_result,APX-DAY1-AI-EVID-003,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Digital Commerce Engineering Copilot; VP Digital Engineering,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",602f98e5e172b65a40f663367e63fe94256d7fff554bb025f1af373b5e3bc4c9
apex-retail,APX-DAY1-AI-EVID-004,SRCV-APEXRETAIL-68C09AE05BC5,loaded_fact,Retail Media AI usage and value proof evidence,query_result,APX-DAY1-AI-EVID-004,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Retail Media Optimization AI; CMO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",9911c6b7caf6bdb44e90ffaaaedf7d9b7e23c0596fba1b86401e8e6106c9414d
apex-retail,APX-DAY1-AI-EVID-005,SRCV-APEXRETAIL-68C09AE05BC5,loaded_fact,Inventory Availability AI usage and value proof evidence,query_result,APX-DAY1-AI-EVID-005,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Inventory Availability and Allocation AI; SVP Supply Chain,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",fb2dcac2b73068ce8c34846737d01bd357961d09f9e1fdc49eea70d0e046ae1b
apex-retail,APX-DAY1-AI-EVID-006,SRCV-APEXRETAIL-68C09AE05BC5,loaded_fact,Customer 360 AI Foundation usage and value proof evidence,query_result,APX-DAY1-AI-EVID-006,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Customer 360 and Loyalty Data Foundation; CDAO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",ac7d111bd698b0fac921b998cd9d93bf0544255a36168899d7543fe897ff9466
apex-retail,APX-DAY1-AI-EVID-007,SRCV-APEXRETAIL-68C09AE05BC5,loaded_fact,AI Governance Controls usage and value proof evidence,query_result,APX-DAY1-AI-EVID-007,,evidence|ai,SA08/SA09/SA10/SA11 AI value realization source adapters; Retail AI Governance Controls; CISO and CDAO,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",e4e5d867c3cccffff88719ca4aceecfcefab8246e5f64512064e4fcbc3dfdbf7
apex-retail,APX-DAY1-AI-EVID-008,SRCV-APEXRETAIL-63700F3194A2,loaded_fact,Associate Task Agent usage and value proof evidence,query_result,APX-DAY1-AI-EVID-008,,evidence,SA08/SA09/SA10/SA11 AI value realization source adapters; Associate Task Agent Candidate; VP Store Operations,,,2026-06-30,,"Synthetic Day 1 planning context; value is not realized unless usage, KPI movement, and finance validation are all evidenced.",1d3a87dfa1d549ec3568aa068ce10359b8c4f842cf015ae9d55ee56b8e01a676
