tenant,surface,sourceEvidenceState,loadedState,indexedState,retrievableState,citedState,agentReady,mayReachAva,layer2ProfilesThatWouldRun,layer2DimensionFailures,graphRelationshipCandidates,graphQuarantinedRelationships,proofArtifactTypes,blockers,mode
tenant-01,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,10,1703,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-04,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,364,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-05,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,519,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-05,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,519,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-05,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,519,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-05,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,519,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-05,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,519,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-06,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,1037,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-06,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,1037,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-06,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,1037,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-06,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,1037,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-06,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,0,1037,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-07,home,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,2982,336,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-07,intelligence,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,2982,336,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-07,moves,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,2982,336,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-07,source,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,2982,336,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
tenant-07,tower,verified,not_verified,not_verified,not_verified,not_verified,false,false,19,0,2982,336,layer_refresh_status_current_main_v2,data-plane loaded readback not captured in this lane; Azure-native index proof not captured in this lane; retrieval query proof not captured in this lane; cite-render verification not captured in this lane; graph relationship quarantine remains,ava_readiness_ledger_report_only_no_index_no_retrieval_no_runtime_claim_no_agent_ready_promotion
