pattern_id,pattern_name,industry_domain,recommended_actions,executive_audience,relevance_to_lakeshore,pattern_confidence,grounding_boundary,data_provider_name,data_provider_role,source_artifact_type,source_artifact_name,capture_method,extraction_method,generated_by,validated_by,source_validation_status,source_as_of_date,known_gaps
PAT-011,DTC and retail order orchestration,consumer_products,"use OMS, DTC, retail EDI, WMS, and service cases to find customer-cost leakage",Forge & Field VP Digital Commerce,Forge & Field Consumer Products,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-012,Vending telemetry replenishment,foodservice,"use machine telemetry, POS, route plans, and spoilage data to prioritize replenishment automation",Great Lakes Pantry VP Route Operations,Great Lakes Pantry Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-013,Food safety evidence pack,foodservice,"HACCP, allergen, recall, and route/product evidence must be certified before AI-driven exception decisions",Great Lakes Pantry VP Quality,Great Lakes Pantry Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-014,Plant OEE and quality cockpit,packaging_manufacturing,"connect MES, SCADA, historian, QMS, CMMS, and schedule data before claiming productivity value",HarborPoint COO,HarborPoint Packaging Group,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-015,Specification-to-quality traceability,packaging_manufacturing,"customer specs, print workflow, quality release, and shipment evidence should share a single product/spec spine",HarborPoint VP Quality,HarborPoint Packaging Group,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-016,Field-service margin leakage,industrial_field_services,"combine work order, technician mobile, parts, warranty, and billing evidence to find unbilled work",Riverton VP Field Operations,Riverton Components & Field Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-017,Installed-base service intelligence,industrial_field_services,"link asset registry, remote monitoring, service history, and contract entitlement before predictive service claims",Riverton CIO,Riverton Components & Field Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-018,Contract mobilization controls,industrial_services,"link contract scope, crew scheduling, permits, work orders, and billing evidence before scaling automation",Keystone VP Field Operations,Keystone Industrial Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-019,Safety-first industrial AI,industrial_services,"permit-to-work, certification, incident, and subcontractor evidence should gate AI recommendations",Keystone VP Safety,Keystone Industrial Services,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-020,Holdco platform rationalization,portfolio_company_rollup,distinguish corporate-run platforms from OpCo-local systems; optimize standards without flattening operating differences,Corporate CIO,Lakeshore Holdings,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-021,Budget-to-value governance,portfolio_company_rollup,"map each technology spend bucket to initiative, owner, impacted systems, value metric, and proof status",CFO; Corporate CIO,Lakeshore Holdings,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-022,Semantic entity spine,portfolio_company_rollup,"a holdco needs stable entity, function, system, owner, vendor, and data-product IDs before cross-company AI answers",Chief Data Officer,Lakeshore Holdings,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-023,Shared-services chargeback design,shared_services,"show which OpCos consume each corporate service and which data proves usage, SLA, and cost allocation",Director Shared Services,Lakeshore Holdings,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
PAT-024,Copilot adoption boundary,knowledge_work_ai,"ground each assistant in approved policy, process, data product, and human-review control",VP Innovation,Lakeshore Holdings,high,"industry/pattern context, not tenant fact unless tied to Lakeshore evidence",AbarVa synthetic data steward,Synthetic data generation,uploaded_template,lakeshore-holdco-v7-client-template.xlsx,synthetic_demo,deterministic_generator,scripts/v7/build-lakeshore-holdco-v7.mjs,AbarVa QA,synthetic_demo,2026-07-06,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use."
