tenant_key,display_name,stakeholder_group,question_category,question_id,required_answer_basis,required_lineage_fields
first-capital-financial,FS Demo,CEO / enterprise strategy,strategic priorities,CEO_ENTERPRISE_STRATEGY_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,operating model/ownership,CFO_FINANCE_AND_VALUE_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,workforce/adoption,CFO_FINANCE_AND_VALUE_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,risk/security/privacy/compliance,CFO_FINANCE_AND_VALUE_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,AI appetite/guardrails,CFO_FINANCE_AND_VALUE_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,evidence needed,CFO_FINANCE_AND_VALUE_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CFO / finance and value,metrics/baseline,CFO_FINANCE_AND_VALUE_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,strategic priorities,COO_OPERATIONS_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,pain points,COO_OPERATIONS_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,budget/value,COO_OPERATIONS_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,data readiness,COO_OPERATIONS_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,systems/platform,COO_OPERATIONS_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,vendors/contracts,COO_OPERATIONS_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,operating model/ownership,COO_OPERATIONS_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,workforce/adoption,COO_OPERATIONS_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,risk/security/privacy/compliance,COO_OPERATIONS_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,AI appetite/guardrails,COO_OPERATIONS_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,evidence needed,COO_OPERATIONS_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,COO / operations,metrics/baseline,COO_OPERATIONS_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,strategic priorities,CIO_ENTERPRISE_TECHNOLOGY_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,pain points,CIO_ENTERPRISE_TECHNOLOGY_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,budget/value,CIO_ENTERPRISE_TECHNOLOGY_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,data readiness,CIO_ENTERPRISE_TECHNOLOGY_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,systems/platform,CIO_ENTERPRISE_TECHNOLOGY_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,vendors/contracts,CIO_ENTERPRISE_TECHNOLOGY_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,operating model/ownership,CIO_ENTERPRISE_TECHNOLOGY_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,workforce/adoption,CIO_ENTERPRISE_TECHNOLOGY_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,risk/security/privacy/compliance,CIO_ENTERPRISE_TECHNOLOGY_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,AI appetite/guardrails,CIO_ENTERPRISE_TECHNOLOGY_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,evidence needed,CIO_ENTERPRISE_TECHNOLOGY_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CIO / enterprise technology,metrics/baseline,CIO_ENTERPRISE_TECHNOLOGY_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,strategic priorities,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,pain points,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,budget/value,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,data readiness,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,systems/platform,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,vendors/contracts,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,operating model/ownership,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,workforce/adoption,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,risk/security/privacy/compliance,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,AI appetite/guardrails,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,evidence needed,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CTO / infrastructure/cloud/platforms,metrics/baseline,CTO_INFRASTRUCTURE_CLOUD_PLATFORMS_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,strategic priorities,CDAO_DATA_AND_ANALYTICS_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,pain points,CDAO_DATA_AND_ANALYTICS_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,budget/value,CDAO_DATA_AND_ANALYTICS_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,data readiness,CDAO_DATA_AND_ANALYTICS_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,systems/platform,CDAO_DATA_AND_ANALYTICS_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,vendors/contracts,CDAO_DATA_AND_ANALYTICS_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,operating model/ownership,CDAO_DATA_AND_ANALYTICS_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,workforce/adoption,CDAO_DATA_AND_ANALYTICS_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,risk/security/privacy/compliance,CDAO_DATA_AND_ANALYTICS_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,AI appetite/guardrails,CDAO_DATA_AND_ANALYTICS_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,evidence needed,CDAO_DATA_AND_ANALYTICS_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CDAO / data and analytics,metrics/baseline,CDAO_DATA_AND_ANALYTICS_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,strategic priorities,CISO_SECURITY_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,pain points,CISO_SECURITY_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,budget/value,CISO_SECURITY_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,data readiness,CISO_SECURITY_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,systems/platform,CISO_SECURITY_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,vendors/contracts,CISO_SECURITY_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,operating model/ownership,CISO_SECURITY_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,workforce/adoption,CISO_SECURITY_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,risk/security/privacy/compliance,CISO_SECURITY_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,AI appetite/guardrails,CISO_SECURITY_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,evidence needed,CISO_SECURITY_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,CISO / security,metrics/baseline,CISO_SECURITY_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,strategic priorities,PRIVACY_COMPLIANCE_LEGAL_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,pain points,PRIVACY_COMPLIANCE_LEGAL_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,budget/value,PRIVACY_COMPLIANCE_LEGAL_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,data readiness,PRIVACY_COMPLIANCE_LEGAL_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,systems/platform,PRIVACY_COMPLIANCE_LEGAL_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,vendors/contracts,PRIVACY_COMPLIANCE_LEGAL_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,operating model/ownership,PRIVACY_COMPLIANCE_LEGAL_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,workforce/adoption,PRIVACY_COMPLIANCE_LEGAL_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,risk/security/privacy/compliance,PRIVACY_COMPLIANCE_LEGAL_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,AI appetite/guardrails,PRIVACY_COMPLIANCE_LEGAL_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,evidence needed,PRIVACY_COMPLIANCE_LEGAL_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Privacy/compliance/legal,metrics/baseline,PRIVACY_COMPLIANCE_LEGAL_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,strategic priorities,PROCUREMENT_VENDOR_MANAGEMENT_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,pain points,PROCUREMENT_VENDOR_MANAGEMENT_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,budget/value,PROCUREMENT_VENDOR_MANAGEMENT_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,data readiness,PROCUREMENT_VENDOR_MANAGEMENT_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,systems/platform,PROCUREMENT_VENDOR_MANAGEMENT_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,vendors/contracts,PROCUREMENT_VENDOR_MANAGEMENT_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,operating model/ownership,PROCUREMENT_VENDOR_MANAGEMENT_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,workforce/adoption,PROCUREMENT_VENDOR_MANAGEMENT_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,risk/security/privacy/compliance,PROCUREMENT_VENDOR_MANAGEMENT_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,AI appetite/guardrails,PROCUREMENT_VENDOR_MANAGEMENT_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,evidence needed,PROCUREMENT_VENDOR_MANAGEMENT_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Procurement/vendor management,metrics/baseline,PROCUREMENT_VENDOR_MANAGEMENT_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,strategic priorities,HR_WORKFORCE_CHANGE_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,pain points,HR_WORKFORCE_CHANGE_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,budget/value,HR_WORKFORCE_CHANGE_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,data readiness,HR_WORKFORCE_CHANGE_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,systems/platform,HR_WORKFORCE_CHANGE_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,vendors/contracts,HR_WORKFORCE_CHANGE_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,operating model/ownership,HR_WORKFORCE_CHANGE_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,workforce/adoption,HR_WORKFORCE_CHANGE_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,risk/security/privacy/compliance,HR_WORKFORCE_CHANGE_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,AI appetite/guardrails,HR_WORKFORCE_CHANGE_10,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,evidence needed,HR_WORKFORCE_CHANGE_11,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,HR/workforce/change,metrics/baseline,HR_WORKFORCE_CHANGE_12,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,strategic priorities,TRANSFORMATION_OFFICE_01,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,pain points,TRANSFORMATION_OFFICE_02,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,budget/value,TRANSFORMATION_OFFICE_03,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,data readiness,TRANSFORMATION_OFFICE_04,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,systems/platform,TRANSFORMATION_OFFICE_05,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,vendors/contracts,TRANSFORMATION_OFFICE_06,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,operating model/ownership,TRANSFORMATION_OFFICE_07,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,workforce/adoption,TRANSFORMATION_OFFICE_08,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
first-capital-financial,FS Demo,Transformation office,risk/security/privacy/compliance,TRANSFORMATION_OFFICE_09,synthetic-evidence-backed or interview-only-gap-generating,evidence_id; source_row_id; confidence; candidate_contract_version; load_run_id
