function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:meridian:revenue-cycle-management,Revenue Cycle Management,Business — Provider,person:meridian:patricia-okafor,Patricia Okafor,1820,1485,195,140,142500000,8500000,134000000,8,"Epic Resolute, denials platform, Ensemble managed services, charge capture, patient access tools","Healthcare IDN RCM typically 1,500-2,200 FTE at $16-20B scale. RCM modernization in flight (Q4 FY2025 denial spike).",Sponsor of the active RCM modernization Strategic Move; high political weight.
function:meridian:hospital-operations-california,California Hospital Operations,Business — Provider,person:meridian:maria-castillo-reyes,Dr. Maria Castillo-Reyes,22500,22500,0,1850,,,,0,Embedded clinical operations across 23 California hospitals + Sacramento flagship,Largest single workforce concentration. ~50% of total Meridian EE.,"Operating expense flows through hospital P&Ls, not IT budget."
function:meridian:hospital-operations-hawaii,Hawaii Hospital Operations,Business — Provider,person:meridian:kenneth-akamu,Kenneth Akamu,2150,2150,0,320,,,,0,Pacific Queens (Epic) + Kona Coast (Cerner residual),Hawaii integration funding deferred to FY2027.,Carries the Hawaii integration narrative.
function:meridian:medical-group-operations,Medical Group Operations,Business — Provider,person:meridian:elena-castellanos,Dr. Elena Castellanos,8400,8400,0,280,,,,0,"7,400 employed physicians + APPs + practice operations across 280 clinics",Embedded ambient documentation rollout (Strategic Move in flight).,Sponsor partner on ambient documentation Move.
function:meridian:nursing-operations,Nursing Operations,Business — Provider,person:meridian:robert-chen,Dr. Robert Chen (CNO),14800,14800,0,1820,,,,0,RN workforce across 30 hospitals + ambulatory + plan member care management,Nursing turnover target 14% (from 22%). Traveler ratio reduction in progress.,Largest workforce category after physicians.
function:meridian:plan-operations-mhp,Plan Operations (Meridian Health Plan),Business — Plan,person:meridian:thomas-hartwell,Thomas Hartwell,2850,2520,175,155,185000000,12000000,173000000,22,"HealthEdge plan core, claims platform, Cohere Health prior auth, member service ops, MA / commercial / Medicaid product ops","Health plan ops typically 0.45-0.55 FTE per 1,000 members for a 1.6M-member plan.",MLR target 84.5% (from 87.2%). Hartwell is composite executive (replaced Linda Chen-Winters).
function:meridian:plan-pharmacy-pbm,Plan Pharmacy & PBM,Business — Plan,person:meridian:aliana-rao,Dr. Aliana Rao,85,78,5,2,12500000,800000,11700000,4,"PBM oversight, formulary management, specialty pharmacy spend trend management",Plan pharmacy typically 60-110 FTE at this membership scale.,Specialty drug trend 8% — material plan-economics driver.
function:meridian:population-health,Population Health & Care Management,Business — Shared,person:meridian:priya-sharma,Dr. Priya Sharma,720,690,25,5,45000000,1800000,43200000,6,"Arcadia population health, care management workflow, post-discharge engagement, social determinants screening",Population health team typically 600-900 FTE at this membership scale.,Plan-provider integration anchor function.
function:meridian:quality-safety,Quality & Patient Safety,Business — Provider,person:meridian:james-okonjo,Dr. James Okonjo (CQO),185,178,5,2,18500000,1200000,17300000,5,"Premier QualityAdvisor, Vizient analytics, HEDIS quality measurement, patient-safety event reporting",Quality function typically 150-250 FTE at this org size.,HEDIS measurement quality is plan-side anchor.
function:meridian:research-meridian-institute,Meridian Research Institute,Business — Research,person:meridian:ralph-eichenberger,Dr. Ralph Eichenberger,420,380,22,18,185000000,22000000,163000000,12,"Palantir Foundry, Hadoop research lake, on-prem NVIDIA GPU stack, Epic Cosmos, REDCap",Research baseline: $180M external grant funding; AHC IDN benchmark.,"Research AI is local-first (Palantir + Hadoop + on-prem GPU); cloud GenAI under eval, not deployed."
function:meridian:finance-treasury,"Finance, Treasury & FP&A",Business — Corporate,person:meridian:david-park,David Park (CFO),480,425,35,20,58500000,3500000,55000000,8,"Workday Adaptive Planning, SAP S/4 HANA, Hyperion, treasury workstation, internal audit tools",Finance org typically 0.8-1.0% of EE at $16-20B IDN (464-580 for 58k EE).,"Includes Park CFO, SVP Henderson Treasurer, FP&A, Audit, Tax, Capital Planning."
function:meridian:procurement-supply-chain,Procurement & Supply Chain,Business — Corporate,person:meridian:angela-brooks,Angela Brooks (CPO),420,380,30,10,38000000,1800000,36200000,6,"Coupa, GHX exchange, supply chain master, contract lifecycle (DocuSign + Conga)",Healthcare procurement org typically 350-500 FTE for a 30-hospital system.,Med/surg supply costs + specialty drug logistics + GPO leverage.
function:meridian:hr-people,HR / People & Culture,Business — Corporate,person:meridian:margaret-liu,Margaret Liu (CHRO),520,488,22,10,54000000,2400000,51600000,5,"Workday HCM, payroll, recruiting, talent management, Glint engagement",HR typically 0.85-1.1% of EE at $16-20B IDN (493-638 for 58k EE).,Nursing workforce strategy + physician retention focus.
function:meridian:legal-compliance,"Legal, Compliance & Privacy",Business — Corporate,person:meridian:rebecca-hollings,Rebecca Hollings (GC),185,170,12,3,34000000,1200000,32800000,4,"Litigation tools, contract lifecycle, HIPAA breach response, regulatory compliance platform",Legal+Compliance typically 0.30-0.40% of EE at this scale (174-232 for 58k EE).,"Includes Plan Reg & Compliance Legal (Stern), Provider Reg Legal (Adekunle), Privacy/HIPAA (Olafsson)."
function:meridian:strategy-corp-dev,Strategy & Corporate Development,Business — Corporate,person:meridian:monica-aponte,Monica Aponte (CSO),45,42,2,1,12500000,1500000,11000000,0,Strategy + M&A pipeline + competitive intelligence,Healthcare IDN strategy team typically 30-60 FTE at $16-20B.,Sponsors AI strategy alignment with portfolio.
function:meridian:communications-public-affairs,Communications & Public Affairs,Business — Corporate,person:meridian:penelope-whitfield-aboagye,Penelope Whitfield-Aboagye (CCO),38,35,2,1,8500000,0,8500000,0,"Communications platforms, media monitoring, government affairs CRM",IDN communications typically 30-50 FTE at this scale.,Manages DENIALS-2024 narrative + AI risk policy public posture.
