play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
APEXRETAIL-PLAY-0001,APEXRETAIL-MET-0001,top quartile operator,Apex Retail comparable transformation play 1,Apex Retail benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,2,tenant_file
APEXRETAIL-PLAY-0017,APEXRETAIL-MET-0017,top quartile operator,Apex Retail comparable transformation play 17,Apex Retail elapsed time for target process metric 17,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,18,tenant_file
APEXRETAIL-PLAY-0018,APEXRETAIL-MET-0018,top quartile operator,Apex Retail comparable transformation play 18,Apex Retail open control and governance pressure metric 18,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,19,tenant_file
APEXRETAIL-PLAY-0019,APEXRETAIL-MET-0019,top quartile operator,Apex Retail comparable transformation play 19,Apex Retail active usage of changed workflow metric 19,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,20,tenant_file
APEXRETAIL-PLAY-0020,APEXRETAIL-MET-0020,top quartile operator,Apex Retail comparable transformation play 20,Apex Retail unit cost across served population or customer journey metric 20,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,21,tenant_file
APEXRETAIL-PLAY-0021,APEXRETAIL-MET-0021,top quartile operator,Apex Retail comparable transformation play 21,Apex Retail benefit realization against committed value metric 21,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,22,tenant_file
APEXRETAIL-PLAY-0022,APEXRETAIL-MET-0022,top quartile operator,Apex Retail comparable transformation play 22,Apex Retail elapsed time for target process metric 22,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,23,tenant_file
APEXRETAIL-PLAY-0023,APEXRETAIL-MET-0023,top quartile operator,Apex Retail comparable transformation play 23,Apex Retail open control and governance pressure metric 23,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,24,tenant_file
APEXRETAIL-PLAY-0024,APEXRETAIL-MET-0024,top quartile operator,Apex Retail comparable transformation play 24,Apex Retail active usage of changed workflow metric 24,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,25,tenant_file
APEXRETAIL-PLAY-0025,APEXRETAIL-MET-0025,top quartile operator,Apex Retail comparable transformation play 25,Apex Retail unit cost across served population or customer journey metric 25,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,26,tenant_file
APEXRETAIL-PLAY-0026,APEXRETAIL-MET-0026,top quartile operator,Apex Retail comparable transformation play 26,Apex Retail benefit realization against committed value metric 26,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,27,tenant_file
APEXRETAIL-PLAY-0027,APEXRETAIL-MET-0027,top quartile operator,Apex Retail comparable transformation play 27,Apex Retail elapsed time for target process metric 27,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,28,tenant_file
APEXRETAIL-PLAY-0028,APEXRETAIL-MET-0028,top quartile operator,Apex Retail comparable transformation play 28,Apex Retail open control and governance pressure metric 28,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,29,tenant_file
APEXRETAIL-PLAY-0029,APEXRETAIL-MET-0029,top quartile operator,Apex Retail comparable transformation play 29,Apex Retail active usage of changed workflow metric 29,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,30,tenant_file
APEXRETAIL-PLAY-0030,APEXRETAIL-MET-0030,top quartile operator,Apex Retail comparable transformation play 30,Apex Retail unit cost across served population or customer journey metric 30,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,31,tenant_file
APEXRETAIL-PLAY-0031,APEXRETAIL-MET-0031,top quartile operator,Apex Retail comparable transformation play 31,Apex Retail benefit realization against committed value metric 31,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,32,tenant_file
APEXRETAIL-PLAY-0032,APEXRETAIL-MET-0032,top quartile operator,Apex Retail comparable transformation play 32,Apex Retail elapsed time for target process metric 32,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,33,tenant_file
APEXRETAIL-PLAY-0033,APEXRETAIL-MET-0033,top quartile operator,Apex Retail comparable transformation play 33,Apex Retail open control and governance pressure metric 33,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,34,tenant_file
APEXRETAIL-PLAY-0034,APEXRETAIL-MET-0034,top quartile operator,Apex Retail comparable transformation play 34,Apex Retail active usage of changed workflow metric 34,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,35,tenant_file
APEXRETAIL-PLAY-0035,APEXRETAIL-MET-0035,top quartile operator,Apex Retail comparable transformation play 35,Apex Retail unit cost across served population or customer journey metric 35,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,36,tenant_file
APEXRETAIL-PLAY-0036,APEXRETAIL-MET-0036,top quartile operator,Apex Retail comparable transformation play 36,Apex Retail benefit realization against committed value metric 36,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,37,tenant_file
APEXRETAIL-PLAY-0037,APEXRETAIL-MET-0037,top quartile operator,Apex Retail comparable transformation play 37,Apex Retail elapsed time for target process metric 37,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,38,tenant_file
APEXRETAIL-PLAY-0038,APEXRETAIL-MET-0038,top quartile operator,Apex Retail comparable transformation play 38,Apex Retail open control and governance pressure metric 38,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,39,tenant_file
APEXRETAIL-PLAY-0039,APEXRETAIL-MET-0039,top quartile operator,Apex Retail comparable transformation play 39,Apex Retail active usage of changed workflow metric 39,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,40,tenant_file
APEXRETAIL-PLAY-0040,APEXRETAIL-MET-0040,top quartile operator,Apex Retail comparable transformation play 40,Apex Retail unit cost across served population or customer journey metric 40,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,41,tenant_file
APEXRETAIL-PLAY-0041,APEXRETAIL-MET-0041,top quartile operator,Apex Retail comparable transformation play 41,Apex Retail benefit realization against committed value metric 41,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,42,tenant_file
APEXRETAIL-PLAY-0042,APEXRETAIL-MET-0042,top quartile operator,Apex Retail comparable transformation play 42,Apex Retail elapsed time for target process metric 42,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,43,tenant_file
APEXRETAIL-PLAY-0043,APEXRETAIL-MET-0043,top quartile operator,Apex Retail comparable transformation play 43,Apex Retail open control and governance pressure metric 43,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,44,tenant_file
APEXRETAIL-PLAY-0044,APEXRETAIL-MET-0044,top quartile operator,Apex Retail comparable transformation play 44,Apex Retail active usage of changed workflow metric 44,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,45,tenant_file
APEXRETAIL-PLAY-0045,APEXRETAIL-MET-0045,top quartile operator,Apex Retail comparable transformation play 45,Apex Retail unit cost across served population or customer journey metric 45,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,46,tenant_file
APEXRETAIL-PLAY-0046,APEXRETAIL-MET-0046,top quartile operator,Apex Retail comparable transformation play 46,Apex Retail benefit realization against committed value metric 46,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,47,tenant_file
APEXRETAIL-PLAY-0047,APEXRETAIL-MET-0047,top quartile operator,Apex Retail comparable transformation play 47,Apex Retail elapsed time for target process metric 47,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,48,tenant_file
APEXRETAIL-PLAY-0048,APEXRETAIL-MET-0048,top quartile operator,Apex Retail comparable transformation play 48,Apex Retail open control and governance pressure metric 48,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,49,tenant_file
APEXRETAIL-PLAY-0049,APEXRETAIL-MET-0049,top quartile operator,Apex Retail comparable transformation play 49,Apex Retail active usage of changed workflow metric 49,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,50,tenant_file
APEXRETAIL-PLAY-0050,APEXRETAIL-MET-0050,top quartile operator,Apex Retail comparable transformation play 50,Apex Retail unit cost across served population or customer journey metric 50,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,51,tenant_file
APEXRETAIL-PLAY-0051,APEXRETAIL-MET-0051,top quartile operator,Apex Retail comparable transformation play 51,Apex Retail benefit realization against committed value metric 51,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,52,tenant_file
APEXRETAIL-PLAY-0052,APEXRETAIL-MET-0052,top quartile operator,Apex Retail comparable transformation play 52,Apex Retail elapsed time for target process metric 52,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,53,tenant_file
APEXRETAIL-PLAY-0053,APEXRETAIL-MET-0053,top quartile operator,Apex Retail comparable transformation play 53,Apex Retail open control and governance pressure metric 53,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,54,tenant_file
APEXRETAIL-PLAY-0054,APEXRETAIL-MET-0054,top quartile operator,Apex Retail comparable transformation play 54,Apex Retail active usage of changed workflow metric 54,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,55,tenant_file
APEXRETAIL-PLAY-0055,APEXRETAIL-MET-0055,top quartile operator,Apex Retail comparable transformation play 55,Apex Retail unit cost across served population or customer journey metric 55,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,56,tenant_file
APEXRETAIL-PLAY-0056,APEXRETAIL-MET-0056,top quartile operator,Apex Retail comparable transformation play 56,Apex Retail benefit realization against committed value metric 56,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,57,tenant_file
APEXRETAIL-PLAY-0057,APEXRETAIL-MET-0057,top quartile operator,Apex Retail comparable transformation play 57,Apex Retail elapsed time for target process metric 57,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,58,tenant_file
APEXRETAIL-PLAY-0058,APEXRETAIL-MET-0058,top quartile operator,Apex Retail comparable transformation play 58,Apex Retail open control and governance pressure metric 58,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,59,tenant_file
APEXRETAIL-PLAY-0059,APEXRETAIL-MET-0059,top quartile operator,Apex Retail comparable transformation play 59,Apex Retail active usage of changed workflow metric 59,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,60,tenant_file
APEXRETAIL-PLAY-0060,APEXRETAIL-MET-0060,top quartile operator,Apex Retail comparable transformation play 60,Apex Retail unit cost across served population or customer journey metric 60,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,61,tenant_file
APEXRETAIL-PLAY-0061,APEXRETAIL-MET-0061,top quartile operator,Apex Retail comparable transformation play 61,Apex Retail benefit realization against committed value metric 61,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,62,tenant_file
APEXRETAIL-PLAY-0062,APEXRETAIL-MET-0062,top quartile operator,Apex Retail comparable transformation play 62,Apex Retail elapsed time for target process metric 62,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,63,tenant_file
APEXRETAIL-PLAY-0063,APEXRETAIL-MET-0063,top quartile operator,Apex Retail comparable transformation play 63,Apex Retail open control and governance pressure metric 63,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,64,tenant_file
APEXRETAIL-PLAY-0064,APEXRETAIL-MET-0064,top quartile operator,Apex Retail comparable transformation play 64,Apex Retail active usage of changed workflow metric 64,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,65,tenant_file
APEXRETAIL-PLAY-0065,APEXRETAIL-MET-0065,top quartile operator,Apex Retail comparable transformation play 65,Apex Retail unit cost across served population or customer journey metric 65,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,66,tenant_file
APEXRETAIL-PLAY-0066,APEXRETAIL-MET-0066,top quartile operator,Apex Retail comparable transformation play 66,Apex Retail benefit realization against committed value metric 66,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,67,tenant_file
APEXRETAIL-PLAY-0067,APEXRETAIL-MET-0067,top quartile operator,Apex Retail comparable transformation play 67,Apex Retail elapsed time for target process metric 67,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,68,tenant_file
APEXRETAIL-PLAY-0068,APEXRETAIL-MET-0068,top quartile operator,Apex Retail comparable transformation play 68,Apex Retail open control and governance pressure metric 68,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,69,tenant_file
APEXRETAIL-PLAY-0069,APEXRETAIL-MET-0069,top quartile operator,Apex Retail comparable transformation play 69,Apex Retail active usage of changed workflow metric 69,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,70,tenant_file
APEXRETAIL-PLAY-0070,APEXRETAIL-MET-0070,top quartile operator,Apex Retail comparable transformation play 70,Apex Retail unit cost across served population or customer journey metric 70,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,71,tenant_file
APEXRETAIL-PLAY-0071,APEXRETAIL-MET-0071,top quartile operator,Apex Retail comparable transformation play 71,Apex Retail benefit realization against committed value metric 71,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,72,tenant_file
APEXRETAIL-PLAY-0072,APEXRETAIL-MET-0072,top quartile operator,Apex Retail comparable transformation play 72,Apex Retail elapsed time for target process metric 72,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,73,tenant_file
APEXRETAIL-PLAY-0073,APEXRETAIL-MET-0073,top quartile operator,Apex Retail comparable transformation play 73,Apex Retail open control and governance pressure metric 73,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,74,tenant_file
APEXRETAIL-PLAY-0074,APEXRETAIL-MET-0074,top quartile operator,Apex Retail comparable transformation play 74,Apex Retail active usage of changed workflow metric 74,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,75,tenant_file
APEXRETAIL-PLAY-0075,APEXRETAIL-MET-0075,top quartile operator,Apex Retail comparable transformation play 75,Apex Retail unit cost across served population or customer journey metric 75,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,76,tenant_file
APEXRETAIL-PLAY-0076,APEXRETAIL-MET-0076,top quartile operator,Apex Retail comparable transformation play 76,Apex Retail benefit realization against committed value metric 76,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,77,tenant_file
APEXRETAIL-PLAY-0077,APEXRETAIL-MET-0077,top quartile operator,Apex Retail comparable transformation play 77,Apex Retail elapsed time for target process metric 77,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,78,tenant_file
APEXRETAIL-PLAY-0078,APEXRETAIL-MET-0078,top quartile operator,Apex Retail comparable transformation play 78,Apex Retail open control and governance pressure metric 78,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,79,tenant_file
APEXRETAIL-PLAY-0079,APEXRETAIL-MET-0079,top quartile operator,Apex Retail comparable transformation play 79,Apex Retail active usage of changed workflow metric 79,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,80,tenant_file
APEXRETAIL-PLAY-0080,APEXRETAIL-MET-0080,top quartile operator,Apex Retail comparable transformation play 80,Apex Retail unit cost across served population or customer journey metric 80,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,81,tenant_file
APEXRETAIL-PLAY-0081,APEXRETAIL-MET-0081,top quartile operator,Apex Retail comparable transformation play 81,Apex Retail benefit realization against committed value metric 81,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,82,tenant_file
APEXRETAIL-PLAY-0082,APEXRETAIL-MET-0082,top quartile operator,Apex Retail comparable transformation play 82,Apex Retail elapsed time for target process metric 82,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,83,tenant_file
APEXRETAIL-PLAY-0083,APEXRETAIL-MET-0083,top quartile operator,Apex Retail comparable transformation play 83,Apex Retail open control and governance pressure metric 83,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,84,tenant_file
APEXRETAIL-PLAY-0084,APEXRETAIL-MET-0084,top quartile operator,Apex Retail comparable transformation play 84,Apex Retail active usage of changed workflow metric 84,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,85,tenant_file
APEXRETAIL-PLAY-0085,APEXRETAIL-MET-0085,top quartile operator,Apex Retail comparable transformation play 85,Apex Retail unit cost across served population or customer journey metric 85,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,86,tenant_file
APEXRETAIL-PLAY-0086,APEXRETAIL-MET-0086,top quartile operator,Apex Retail comparable transformation play 86,Apex Retail benefit realization against committed value metric 86,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,87,tenant_file
APEXRETAIL-PLAY-0087,APEXRETAIL-MET-0087,top quartile operator,Apex Retail comparable transformation play 87,Apex Retail elapsed time for target process metric 87,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,88,tenant_file
APEXRETAIL-PLAY-0088,APEXRETAIL-MET-0088,top quartile operator,Apex Retail comparable transformation play 88,Apex Retail open control and governance pressure metric 88,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,89,tenant_file
APEXRETAIL-PLAY-0089,APEXRETAIL-MET-0089,top quartile operator,Apex Retail comparable transformation play 89,Apex Retail active usage of changed workflow metric 89,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,90,tenant_file
