mapping_id,application_id,application_name,business_function,process_supported,fit_score,pain_point,move_relevance
LAK-MAP-022,LAK-APP-022,Oracle procurement mart,Finance and Controller,Finance service management automation,90,Bank/ERP/Kyriba mapping not fully reconciled,treasury controls
LAK-MAP-023,LAK-APP-023,Power BI Premium,FP&A and Business Finance,AI-assisted finance reporting,59,Control evidence not attached to transaction lineage,automated close
LAK-MAP-024,LAK-APP-024,Tableau Server,Procurement and Supplier Management,Treasury risk and control evidence,66,Support tickets repeat same root cause,finance AI
LAK-MAP-025,LAK-APP-025,Informatica PowerCenter,Manufacturing Operations,Global cash visibility,73,Manual spreadsheet bridge remains in critical path,working capital analytics
LAK-MAP-026,LAK-APP-026,DataStage plant feeds,Supply Chain and Logistics,Bank connectivity and payments control,80,Bank/ERP/Kyriba mapping not fully reconciled,Kyriba rollout
LAK-MAP-027,LAK-APP-027,Snowflake pilot,Sales and Customer Operations,Liquidity forecasting,87,Control evidence not attached to transaction lineage,treasury controls
LAK-MAP-028,LAK-APP-028,dbt semantic layer,Digital and IT,Automated close and reconciliations,94,Support tickets repeat same root cause,automated close
LAK-MAP-029,LAK-APP-029,Alteryx finance workflows,Data and Analytics,Working-capital and supplier analytics,63,Manual spreadsheet bridge remains in critical path,finance AI
LAK-MAP-030,LAK-APP-030,Collibra catalog,Cybersecurity and Risk,Finance service management automation,70,Bank/ERP/Kyriba mapping not fully reconciled,working capital analytics
LAK-MAP-031,LAK-APP-031,Siemens MES,Corporate Treasury,AI-assisted finance reporting,77,Control evidence not attached to transaction lineage,Kyriba rollout
LAK-MAP-032,LAK-APP-032,Rockwell FactoryTalk,Finance and Controller,Treasury risk and control evidence,84,Support tickets repeat same root cause,treasury controls
LAK-MAP-033,LAK-APP-033,Kinaxis RapidResponse,FP&A and Business Finance,Global cash visibility,91,Manual spreadsheet bridge remains in critical path,automated close
LAK-MAP-034,LAK-APP-034,Blue Yonder WMS,Procurement and Supplier Management,Bank connectivity and payments control,60,Bank/ERP/Kyriba mapping not fully reconciled,finance AI
LAK-MAP-035,LAK-APP-035,Manhattan TMS,Manufacturing Operations,Liquidity forecasting,67,Control evidence not attached to transaction lineage,working capital analytics
LAK-MAP-036,LAK-APP-036,SAP APO legacy,Supply Chain and Logistics,Automated close and reconciliations,74,Support tickets repeat same root cause,Kyriba rollout
LAK-MAP-037,LAK-APP-037,QualityOne QMS,Sales and Customer Operations,Working-capital and supplier analytics,81,Manual spreadsheet bridge remains in critical path,treasury controls
LAK-MAP-038,LAK-APP-038,EAM Maximo,Digital and IT,Finance service management automation,88,Bank/ERP/Kyriba mapping not fully reconciled,automated close
LAK-MAP-039,LAK-APP-039,Oracle Agile PLM,Data and Analytics,AI-assisted finance reporting,57,Control evidence not attached to transaction lineage,finance AI
LAK-MAP-040,LAK-APP-040,Supplier portal,Cybersecurity and Risk,Treasury risk and control evidence,64,Support tickets repeat same root cause,working capital analytics
LAK-MAP-041,LAK-APP-041,Workday HCM,Corporate Treasury,Global cash visibility,71,Manual spreadsheet bridge remains in critical path,Kyriba rollout
LAK-MAP-042,LAK-APP-042,ServiceNow ITSM,Finance and Controller,Bank connectivity and payments control,78,Bank/ERP/Kyriba mapping not fully reconciled,treasury controls
LAK-MAP-043,LAK-APP-043,Microsoft 365,FP&A and Business Finance,Liquidity forecasting,85,Control evidence not attached to transaction lineage,automated close
LAK-MAP-044,LAK-APP-044,GitHub Enterprise,Procurement and Supplier Management,Automated close and reconciliations,92,Support tickets repeat same root cause,finance AI
LAK-MAP-045,LAK-APP-045,Claude Code,Manufacturing Operations,Working-capital and supplier analytics,61,Manual spreadsheet bridge remains in critical path,working capital analytics
LAK-MAP-046,LAK-APP-046,Codex,Supply Chain and Logistics,Finance service management automation,68,Bank/ERP/Kyriba mapping not fully reconciled,Kyriba rollout
LAK-MAP-047,LAK-APP-047,Cursor,Sales and Customer Operations,AI-assisted finance reporting,75,Control evidence not attached to transaction lineage,treasury controls
LAK-MAP-048,LAK-APP-048,Okta,Digital and IT,Treasury risk and control evidence,82,Support tickets repeat same root cause,automated close
LAK-MAP-049,LAK-APP-049,CrowdStrike,Data and Analytics,Global cash visibility,89,Manual spreadsheet bridge remains in critical path,finance AI
LAK-MAP-050,LAK-APP-050,Zscaler,Cybersecurity and Risk,Bank connectivity and payments control,58,Bank/ERP/Kyriba mapping not fully reconciled,working capital analytics
LAK-MAP-051,LAK-APP-051,Lakeshore regional workflow app 51,Corporate Treasury,Liquidity forecasting,65,Control evidence not attached to transaction lineage,Kyriba rollout
LAK-MAP-052,LAK-APP-052,Lakeshore regional workflow app 52,Finance and Controller,Automated close and reconciliations,72,Support tickets repeat same root cause,treasury controls
LAK-MAP-053,LAK-APP-053,Lakeshore regional workflow app 53,FP&A and Business Finance,Working-capital and supplier analytics,79,Manual spreadsheet bridge remains in critical path,automated close
LAK-MAP-054,LAK-APP-054,Lakeshore regional workflow app 54,Procurement and Supplier Management,Finance service management automation,86,Bank/ERP/Kyriba mapping not fully reconciled,finance AI
LAK-MAP-055,LAK-APP-055,Lakeshore regional workflow app 55,Manufacturing Operations,AI-assisted finance reporting,93,Control evidence not attached to transaction lineage,working capital analytics
LAK-MAP-056,LAK-APP-056,Lakeshore regional workflow app 56,Supply Chain and Logistics,Treasury risk and control evidence,62,Support tickets repeat same root cause,Kyriba rollout
LAK-MAP-057,LAK-APP-057,Lakeshore regional workflow app 57,Sales and Customer Operations,Global cash visibility,69,Manual spreadsheet bridge remains in critical path,treasury controls
LAK-MAP-058,LAK-APP-058,Lakeshore regional workflow app 58,Digital and IT,Bank connectivity and payments control,76,Bank/ERP/Kyriba mapping not fully reconciled,automated close
LAK-MAP-059,LAK-APP-059,Lakeshore regional workflow app 59,Data and Analytics,Liquidity forecasting,83,Control evidence not attached to transaction lineage,finance AI
LAK-MAP-060,LAK-APP-060,Lakeshore regional workflow app 60,Cybersecurity and Risk,Automated close and reconciliations,90,Support tickets repeat same root cause,working capital analytics
LAK-MAP-061,LAK-APP-061,Lakeshore regional workflow app 61,Corporate Treasury,Working-capital and supplier analytics,59,Manual spreadsheet bridge remains in critical path,Kyriba rollout
LAK-MAP-062,LAK-APP-062,Lakeshore regional workflow app 62,Finance and Controller,Finance service management automation,66,Bank/ERP/Kyriba mapping not fully reconciled,treasury controls
LAK-MAP-063,LAK-APP-063,Lakeshore regional workflow app 63,FP&A and Business Finance,AI-assisted finance reporting,73,Control evidence not attached to transaction lineage,automated close
LAK-MAP-064,LAK-APP-064,Lakeshore regional workflow app 64,Procurement and Supplier Management,Treasury risk and control evidence,80,Support tickets repeat same root cause,finance AI
LAK-MAP-065,LAK-APP-065,Lakeshore regional workflow app 65,Manufacturing Operations,Global cash visibility,87,Manual spreadsheet bridge remains in critical path,working capital analytics
LAK-MAP-066,LAK-APP-066,Lakeshore regional workflow app 66,Supply Chain and Logistics,Bank connectivity and payments control,94,Bank/ERP/Kyriba mapping not fully reconciled,Kyriba rollout
LAK-MAP-067,LAK-APP-067,Lakeshore regional workflow app 67,Sales and Customer Operations,Liquidity forecasting,63,Control evidence not attached to transaction lineage,treasury controls
LAK-MAP-068,LAK-APP-068,Lakeshore regional workflow app 68,Digital and IT,Automated close and reconciliations,70,Support tickets repeat same root cause,automated close
LAK-MAP-069,LAK-APP-069,Lakeshore regional workflow app 69,Data and Analytics,Working-capital and supplier analytics,77,Manual spreadsheet bridge remains in critical path,finance AI
LAK-MAP-070,LAK-APP-070,Lakeshore regional workflow app 70,Cybersecurity and Risk,Finance service management automation,84,Bank/ERP/Kyriba mapping not fully reconciled,working capital analytics
LAK-MAP-071,LAK-APP-071,Lakeshore regional workflow app 71,Corporate Treasury,AI-assisted finance reporting,91,Control evidence not attached to transaction lineage,Kyriba rollout
LAK-MAP-072,LAK-APP-072,Lakeshore regional workflow app 72,Finance and Controller,Treasury risk and control evidence,60,Support tickets repeat same root cause,treasury controls
LAK-MAP-073,LAK-APP-073,Lakeshore regional workflow app 73,FP&A and Business Finance,Global cash visibility,67,Manual spreadsheet bridge remains in critical path,automated close
LAK-MAP-074,LAK-APP-074,Lakeshore regional workflow app 74,Procurement and Supplier Management,Bank connectivity and payments control,74,Bank/ERP/Kyriba mapping not fully reconciled,finance AI
