item_id,source_family,source_file,source_file_hash,source_row_or_document_id,source_field_or_section,source_value,source_semantic_type,parser_record_id,evidence_id,candidate_id,candidate_type,canonical_object_id,canonical_object_type,canonical_fact_or_relationship,review_decision,decision_reason,publication_id,baseline_id,projection_name,projection_row_id,cube_measure_or_dimension,final_status,evidence_note
RISK-001,risks_controls,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/risk-register.csv,lineage_gap,row2 (RISK-AIRDN-0001),"risk_id,category,domain,severity,disposition,control_id",RISK-AIRDN-0001 | supplier concentration | Operations Control | high | monitor | CTRL-AIRDN-0002,risk_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,risk,n/a,deferred_or_lineage_gap,"650 source risk rows map (per CANONICAL_TO_PUBLICATION_MAPPING.xlsx, confirmed mapping) to consumption.evidence_gap_v1 -- but published evidence_gap_v1=0 rows exactly. This is a confirmed designed destination with zero actual output: a real pipeline gap, not a documented consolidation.",n/a_not_published,n/a_not_published,consumption.evidence_gap_v1 (0 rows),lineage_gap,EnterpriseKnowledge.open_critical_gap_count,projection_gap,"Cube measure open_critical_gap_count reads consumption.evidence_gap_v1 and is one of only 4 measures the foundation-closure record claims passed Cube/Postgres parity -- but the underlying table has 0 rows against a mapped 650-row source family, so a 'parity pass' here likely means 0=0, not that real gap data reached the projection."
CTRL-001,risks_controls,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/control-catalog.csv,lineage_gap,row2 (CTRL-AIRDN-0001),"control_id,control_type,domain,source_ref",CTRL-AIRDN-0001 | change control | Operations Control | SRC-AIRDN-CTRL-002,control_row,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,control,n/a,deferred_or_lineage_gap,1900 source rows; no canonical_source row for controls found anywhere in CANONICAL_TO_PUBLICATION_MAPPING.xlsx per sub-agent research -- no designed destination at all,n/a_not_published,n/a_not_published,none_found,lineage_gap,none,lineage_gap,Controls family (1900 rows) appears to have been designed into the source corpus but never given a canonical-to-publication mapping row.
KPI-001,kpis_metrics,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/kpi-sla-catalog.csv,lineage_gap,row2 (KPI-AIRDN-001),"kpi_id,name,domain,disclosure_mode,direction,owner_note",KPI-AIRDN-001 | crew recovery KPI 001 | Operations Control | range | lower is better | needs owner signoff,kpi_row,lineage_gap,lineage_gap,lineage_gap,fact_candidate,lineage_gap,kpi_definition,n/a,correctly_deferred (content) / projection_gap (pipeline),"420 source KPI rows; registry defines consumption.metric_observation_v1 sourced from a governed metrics.metric_definition/metrics.metric_observation pipeline, NOT from kpi-sla-catalog.csv directly -- no mapping row connects this CSV to any consumption object. Published projection shows metric_catalog_v1=0 (a third, undocumented name, also zero).",n/a_not_published,n/a_not_published,"metric_catalog_v1 (0 rows, undocumented name) / metric_observation_v1 (registered, unconfirmed rows)",lineage_gap,none of Cube's measures reference metric_catalog_v1 or metric_observation_v1 directly except indirectly,projection_gap,"KPI family is present in source (420 rows, matches PACKAGE_MANIFEST scale exactly), carries an explicit 'needs owner signoff' self-flag consistent with deferred-by-design content, but has NO working path into any populated consumption projection object. This is a full-family projection failure, not sampling noise."
PROC-001,source_procurement_evidence,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/procurement-evaluation-scorecards.csv,lineage_gap,row2,"scorecard_id,technical_score_index,commercial_score_index,evaluator_note",88 | 78 | 'synthetic scorecard; final decision requires baseline and risk-owner signoff',procurement_scorecard_row,lineage_gap,lineage_gap,lineage_gap,fact_candidate,lineage_gap,procurement_evaluation,n/a,correctly_deferred,Row is self-labeled non-final ('requires baseline and risk-owner signoff') -- textbook commercial-interpretation content that the audit's own accepted/deferred rule says must stay deferred,n/a_not_published,n/a_not_published,no dedicated projection found,lineage_gap,none,correctly_deferred,Family-level design intent (self-disclosed in the data) matches the deferred rule correctly; whether the actual review pipeline in fact deferred these specific rows cannot be confirmed without live DB access to the review_decision table filtered by source family.
PROC-002,source_procurement_evidence,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/procurement-vendor-proposals.csv,lineage_gap,row2,"proposal_id,transformation_claim,commercial_posture","'stabilize first, automate after baseline proof' | 'premium assurance'",procurement_proposal_row,lineage_gap,lineage_gap,lineage_gap,fact_candidate,lineage_gap,vendor_proposal,n/a,correctly_deferred,"Vendor marketing language / commercial posture claims -- should stay deferred per audit rule (commercial interpretation, unsupported sourcing conclusion)",n/a_not_published,n/a_not_published,no dedicated projection found,lineage_gap,none,correctly_deferred,Same caveat as PROC-001: content-level classification correct by design; pipeline-level confirmation not possible from repo alone.
REL-001,relationships_graph,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/relationship-load-template.csv,lineage_gap,sampled rows (application-origin),"from_object_type,from_source_native_id,relationship_type,to_object_type,to_source_native_id",application | APP-AIRDN-0001 | depends_on | application | (resolves to real application_id),relationship_row,lineage_gap,lineage_gap,lineage_gap,relationship_candidate,lineage_gap,relationship_assertion,n/a,accepted (inferred; aggregate reconciliation),"60000 source relationship rows -> published relationship_node_v1=34534, relationship_edge_v1=16605 -- plausible many-to-few consolidation, matches candidate-ledger evidence (relationship_candidate=66200 total candidates seen in 2026-07-28 diagnostic query, close order of magnitude)",n/a_not_published,n/a_not_published,consumption.relationship_node_v1 / relationship_edge_v1,lineage_gap,RelationshipGraph.accepted_relationship_count,semantically_matched,This is one of only 4 measures the foundation-closure record claims passed live Cube/Postgres parity -- the strongest-corroborated projection in the whole audit.
REL-002,relationships_graph,clients/airline-demo-new/19-template-instantiation-source-corpus/03-source-corpus-design/synthetic-source-samples/relationship-load-template.csv,lineage_gap,sampled rows (capability-origin),"from_object_type,relationship_type,to_object_type",capability ('station recovery') -> targets_contract -> contract,relationship_row,lineage_gap,lineage_gap,lineage_gap,relationship_candidate,lineage_gap,relationship_assertion,n/a,"incorrectly_accepted (risk) / correctly_deferred (if actually deferred, unconfirmed)","'capability' is a from_object_type used 3000 times in relationship-load-template.csv (e.g. 'station recovery', 'disruption recovery') but has NO backing catalog/CSV anywhere among the 25 source files -- these are free-text labels being treated as first-class relationship endpoints",n/a_not_published,n/a_not_published,consumption.relationship_node_v1,lineage_gap,RelationshipGraph,wrong_relationship,"If these 3000 capability-origin relationships were accepted into the published 16605 edges, they represent nodes with no evidence trail back to any source document -- exactly the 'relationship graphs with meaningless nodes' defect the audit is designed to catch. Cannot confirm from repo whether they were accepted or deferred (would require live DB query against relationship_candidate.review_state filtered by from_object_type='capability')."
OVERLAY-001,industry_overlays,clients/airline-demo-new/19-template-instantiation-source-corpus/01-template-workbooks/AIRLINE_INDUSTRY_OVERLAY.xlsx,lineage_gap,"n/a (xlsx, not opened)",n/a,"n/a (template workbook, not sampled)",industry_overlay_template,lineage_gap,lineage_gap,lineage_gap,n/a,lineage_gap,n/a,n/a,lineage_gap,"Template-tier workbook, not a landed source instance; not sampled in this pass due to time budget",n/a_not_published,n/a_not_published,unknown,lineage_gap,unknown,lineage_gap,Flagged for follow-up sampling; xlsx template content not read in this audit pass.
INTV-001,interview_current_state_signals,clients/airline-demo-new/19-template-instantiation-source-corpus/02-synthetic-enterprise/AIRLINE_SYNTHETIC_ENTERPRISE_PROFILE.md,lineage_gap,"whole document (narrative, no row IDs)",n/a,"'Airline Demo New is a synthetic, planning-grade airline enterprise...multi-region passenger and cargo airline...'",enterprise_narrative_profile,lineage_gap,lineage_gap,lineage_gap,n/a (no structured interview CSV exists in this corpus at all),lineage_gap,n/a,n/a,source_missing,"No structured interview/current-state-signal CSV exists anywhere in the 25-file synthetic-source-samples directory or the 9-file procurement set -- this family is represented only by a single free-text markdown narrative, which is not a client-intake-shaped source object at all",n/a_not_published,n/a_not_published,"consumption.executive_perspective_v1 (registered, no evidence it is populated from this markdown)",lineage_gap,none,source_missing,"This is a structural gap: the audit's own minimum-coverage list requires interview/current-state signals as a family, but the corpus design has no parser-visible structured artifact for it, only prose."
ENT-001,enterprise_profile,clients/airline-demo-new/19-template-instantiation-source-corpus/02-synthetic-enterprise/AIRLINE_SYNTHETIC_ENTERPRISE_PROFILE.md,lineage_gap,whole document,public_reference_namespace,"'Objects use the AIRDN namespace only: ENT-AIRDN-*, APP-AIRDN-*, VEND-AIRDN-*, CONT-AIRDN-*, EVENT-AIRDN-*, PROP-AIRDN-*, KPI-AIRDN-*, REL-AIRDN-*'",enterprise_identity_narrative,lineage_gap,lineage_gap,lineage_gap,entity_candidate,lineage_gap,organization,n/a,accepted (inferred),"single tenant-level identity object, low risk, plausible 1:1 to enterprise_identity_v1=1 row",n/a_not_published,n/a_not_published,consumption.enterprise_identity_v1 / enterprise_brief_v1,lineage_gap,EnterpriseKnowledge.evidence_coverage_pct,semantically_matched,"Row counts (1,1) match exactly what a single-tenant identity/brief object should be."
