org_unit_id,person_or_group_id,name,role_title,reports_to_id,decision_domain,decision_right,approval_authority,delegated_to_id,escalation_path,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
ORG-17,GROUP-OPS-17,Cybersecurity Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cybersecurity Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-17,Cybersecurity Governance,2026-05-01,0.8,true,
ORG-18,GROUP-OPS-18,IT Sourcing Stewardship Group,Operational Stewardship Group,PERSON-JAMES,IT Sourcing data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-18,IT Sourcing,2026-05-01,0.8,true,
ORG-19,GROUP-OPS-19,Finance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Finance Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-19,Finance Technology,2026-05-01,0.8,true,
ORG-20,GROUP-OPS-20,Core Banking Platform Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Core Banking Platform data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-20,Core Banking Platform,2026-05-01,0.8,true,
ORG-21,GROUP-OPS-21,Digital Payments Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Digital Payments Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-21,Digital Payments Technology,2026-05-01,0.8,true,
ORG-22,GROUP-OPS-22,Risk and Compliance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Risk and Compliance Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-22,Risk and Compliance Technology,2026-05-01,0.8,true,
ORG-23,GROUP-OPS-23,Data and Model Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Data and Model Governance data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-23,Data and Model Governance,2026-05-01,0.8,true,
ORG-24,GROUP-OPS-24,Treasury Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Treasury Technology data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-24,Treasury Technology,2026-05-01,0.8,true,
ORG-25,GROUP-OPS-25,Commercial Banking Operations Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Commercial Banking Operations data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-25,Commercial Banking Operations,2026-05-01,0.8,true,
ORG-26,GROUP-OPS-26,Cloud Platform Services Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cloud Platform Services data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-26,Cloud Platform Services,2026-05-01,0.8,true,
ORG-27,GROUP-OPS-27,Cybersecurity Governance Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Cybersecurity Governance data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-27,Cybersecurity Governance,2026-05-01,0.8,true,
ORG-28,GROUP-OPS-28,IT Sourcing Stewardship Group,Operational Stewardship Group,PERSON-JAMES,IT Sourcing data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-28,IT Sourcing,2026-05-01,0.8,true,
ORG-29,GROUP-OPS-29,Finance Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Finance Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-29,Finance Technology,2026-05-01,0.8,true,
ORG-30,GROUP-OPS-30,Core Banking Platform Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Core Banking Platform data and service ownership,Recommend,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-30,Core Banking Platform,2026-05-01,0.8,true,
ORG-31,GROUP-OPS-31,Digital Payments Technology Stewardship Group,Operational Stewardship Group,PERSON-JAMES,Digital Payments Technology data and service ownership,Consult,Operational validation and evidence attestation,,CIO Operations Review,Manual attestation,ORG-OPS-31,Digital Payments Technology,2026-05-01,0.8,true,
