data_domain_id,domain_name,data_owner,data_steward,source_systems,critical_data_elements,classification,quality_score,retention_policy,ai_use_allowed,last_quality_review,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
DATA-014,Regulatory Reporting Domain 2,Chief Risk Officer,Data and Model Governance,Murex Treasury Platform|Treasury Cash Forecasting 1,Service ID|Owner|Status|Timestamp,Internal,0.85,Enterprise retention schedule,Allowed,2026-04-14,Data catalog,DATA-14,Data Governance,2026-05-01,0.82,true,
DATA-015,Treasury Domain 2,VP Payments Operations,Treasury Technology,SAS Model Risk Analytics|Wire Transfer Monitoring 1,Service ID|Owner|Status|Timestamp,Internal,0.86,Enterprise retention schedule,Allowed,2026-04-15,Data catalog,DATA-15,Data Governance,2026-05-01,0.82,true,
DATA-016,Financial Planning Domain 2,Regulatory Reporting Office,Commercial Banking Operations,Workday HCM|Branch Workforce Scheduling 1,Service ID|Owner|Status|Timestamp,Confidential,0.87,Enterprise retention schedule,Conditional,2026-04-16,Data catalog,DATA-16,Data Governance,2026-05-01,0.82,true,
DATA-017,Customer Master Domain 3,Chief Data Officer,Cloud Platform Services,Commercial Loan Origination 1|Customer Risk Rating 1,Service ID|Owner|Status|Timestamp,Restricted,0.88,Enterprise retention schedule,Allowed,2026-04-17,Data catalog,DATA-17,Data Governance,2026-05-01,0.82,true,
DATA-018,Account Ledger Domain 3,Chief Risk Officer,Cybersecurity Governance,Deposit Pricing Engine 1|CCAR Scenario Data Mart 1,Service ID|Owner|Status|Timestamp,Internal,0.89,Enterprise retention schedule,Allowed,2026-04-18,Data catalog,DATA-18,Data Governance,2026-05-01,0.82,true,
DATA-019,Payments Domain 3,VP Payments Operations,IT Sourcing,Treasury Cash Forecasting 1|Model Inventory Workflow 1,Service ID|Owner|Status|Timestamp,Confidential,0.9,Enterprise retention schedule,Prohibited,2026-04-19,Data catalog,DATA-19,Data Governance,2026-05-01,0.82,true,
DATA-020,Credit Risk Domain 3,Regulatory Reporting Office,Finance Technology,Wire Transfer Monitoring 1|Liquidity Reporting 1,Service ID|Owner|Status|Timestamp,Internal,0.91,Enterprise retention schedule,Allowed,2026-04-20,Data catalog,DATA-20,Data Governance,2026-05-01,0.82,true,
DATA-021,Model Inventory Domain 3,Chief Data Officer,Core Banking Platform,Branch Workforce Scheduling 1|Card Fraud Triage 1,Service ID|Owner|Status|Timestamp,Restricted,0.72,Enterprise retention schedule,Allowed,2026-04-01,Data catalog,DATA-21,Data Governance,2026-05-01,0.82,true,
DATA-022,Regulatory Reporting Domain 3,Chief Risk Officer,Digital Payments Technology,Customer Risk Rating 1|Digital Onboarding 1,Service ID|Owner|Status|Timestamp,Confidential,0.73,Enterprise retention schedule,Conditional,2026-04-02,Data catalog,DATA-22,Data Governance,2026-05-01,0.82,true,
DATA-023,Treasury Domain 3,VP Payments Operations,Risk and Compliance Technology,CCAR Scenario Data Mart 1|KYC Refresh Workflow 1,Service ID|Owner|Status|Timestamp,Internal,0.74,Enterprise retention schedule,Allowed,2026-04-03,Data catalog,DATA-23,Data Governance,2026-05-01,0.82,true,
DATA-024,Financial Planning Domain 3,Regulatory Reporting Office,Data and Model Governance,Model Inventory Workflow 1|Collateral Valuation 1,Service ID|Owner|Status|Timestamp,Internal,0.75,Enterprise retention schedule,Allowed,2026-04-04,Data catalog,DATA-24,Data Governance,2026-05-01,0.82,true,
DATA-025,Customer Master Domain 4,Chief Data Officer,Treasury Technology,Liquidity Reporting 1|Regulatory Change Tracker 1,Service ID|Owner|Status|Timestamp,Restricted,0.76,Enterprise retention schedule,Prohibited,2026-04-05,Data catalog,DATA-25,Data Governance,2026-05-01,0.82,true,
DATA-026,Account Ledger Domain 4,Chief Risk Officer,Commercial Banking Operations,Card Fraud Triage 1|Wealth Client Portal 1,Service ID|Owner|Status|Timestamp,Internal,0.77,Enterprise retention schedule,Allowed,2026-04-06,Data catalog,DATA-26,Data Governance,2026-05-01,0.82,true,
DATA-027,Payments Domain 4,VP Payments Operations,Cloud Platform Services,Digital Onboarding 1|Data Quality Rule Engine 1,Service ID|Owner|Status|Timestamp,Internal,0.78,Enterprise retention schedule,Allowed,2026-04-07,Data catalog,DATA-27,Data Governance,2026-05-01,0.82,true,
DATA-028,Credit Risk Domain 4,Regulatory Reporting Office,Cybersecurity Governance,KYC Refresh Workflow 1|Commercial Loan Origination 2,Service ID|Owner|Status|Timestamp,Confidential,0.79,Enterprise retention schedule,Conditional,2026-04-08,Data catalog,DATA-28,Data Governance,2026-05-01,0.82,true,
DATA-029,Model Inventory Domain 4,Chief Data Officer,IT Sourcing,Collateral Valuation 1|Deposit Pricing Engine 2,Service ID|Owner|Status|Timestamp,Restricted,0.8,Enterprise retention schedule,Allowed,2026-04-09,Data catalog,DATA-29,Data Governance,2026-05-01,0.82,true,
DATA-030,Regulatory Reporting Domain 4,Chief Risk Officer,Finance Technology,Regulatory Change Tracker 1|Treasury Cash Forecasting 2,Service ID|Owner|Status|Timestamp,Internal,0.81,Enterprise retention schedule,Allowed,2026-04-10,Data catalog,DATA-30,Data Governance,2026-05-01,0.82,true,
DATA-031,Treasury Domain 4,VP Payments Operations,Core Banking Platform,Wealth Client Portal 1|Wire Transfer Monitoring 2,Service ID|Owner|Status|Timestamp,Confidential,0.82,Enterprise retention schedule,Prohibited,2026-04-11,Data catalog,DATA-31,Data Governance,2026-05-01,0.82,true,
DATA-032,Financial Planning Domain 4,Regulatory Reporting Office,Digital Payments Technology,Data Quality Rule Engine 1|Branch Workforce Scheduling 2,Service ID|Owner|Status|Timestamp,Internal,0.83,Enterprise retention schedule,Allowed,2026-04-12,Data catalog,DATA-32,Data Governance,2026-05-01,0.82,true,
