period,metric,value,currency_or_unit,segment,margin_bridge_driver,source_report,owner_role,formula,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FY2026-Q2,Tier 1 app availability,86,%,IT,resilience,Lakeshore CXO KPI Catalog v2,CIO,Synthetic KPI definition for Tier 1 app availability with CFO/CXO review grain.,KPI Catalog,KPI-LSH-015,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,P1 incident MTTR,3825000000,hours,IT,operational recovery,Lakeshore CXO KPI Catalog v2,VP IT Operations,Synthetic KPI definition for P1 incident MTTR with CFO/CXO review grain.,KPI Catalog,KPI-LSH-016,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Change failure rate,88,%,IT,delivery quality,Lakeshore CXO KPI Catalog v2,VP Engineering,Synthetic KPI definition for Change failure rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-017,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Cloud spend variance,89,%,IT,FinOps,Lakeshore CXO KPI Catalog v2,VP Infrastructure and Cloud,Synthetic KPI definition for Cloud spend variance with CFO/CXO review grain.,KPI Catalog,KPI-LSH-018,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Patch compliance,90,%,IT,security hygiene,Lakeshore CXO KPI Catalog v2,CISO,Synthetic KPI definition for Patch compliance with CFO/CXO review grain.,KPI Catalog,KPI-LSH-019,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Certified KPI coverage,72,%,Data,semantic consistency,Lakeshore CXO KPI Catalog v2,CDAO,Synthetic KPI definition for Certified KPI coverage with CFO/CXO review grain.,KPI Catalog,KPI-LSH-020,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Data product freshness SLA,3700000000,%,Data,data reliability,Lakeshore CXO KPI Catalog v2,Director Data Platform,Synthetic KPI definition for Data product freshness SLA with CFO/CXO review grain.,KPI Catalog,KPI-LSH-021,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Data quality score,74,score,Data,trust,Lakeshore CXO KPI Catalog v2,CDAO,Synthetic KPI definition for Data quality score with CFO/CXO review grain.,KPI Catalog,KPI-LSH-022,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Manual spreadsheet dependency count,75,count,Data,modernization,Lakeshore CXO KPI Catalog v2,Director Analytics Products,Synthetic KPI definition for Manual spreadsheet dependency count with CFO/CXO review grain.,KPI Catalog,KPI-LSH-023,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Addressable spend under management,76,%,Procurement,sourcing discipline,Lakeshore CXO KPI Catalog v2,VP Procurement,Synthetic KPI definition for Addressable spend under management with CFO/CXO review grain.,KPI Catalog,KPI-LSH-024,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Contract renewal pipeline coverage,77,%,Procurement,renewal risk,Lakeshore CXO KPI Catalog v2,VP Procurement,Synthetic KPI definition for Contract renewal pipeline coverage with CFO/CXO review grain.,KPI Catalog,KPI-LSH-025,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Supplier risk exceptions,3575000000,count,Procurement,third-party risk,Lakeshore CXO KPI Catalog v2,VP Procurement,Synthetic KPI definition for Supplier risk exceptions with CFO/CXO review grain.,KPI Catalog,KPI-LSH-026,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,DTC conversion rate,79,%,Customer/Digital,growth,Lakeshore CXO KPI Catalog v2,Forge & Field CIO,Synthetic KPI definition for DTC conversion rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-027,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Order promise accuracy,80,%,Customer/Digital,customer trust,Lakeshore CXO KPI Catalog v2,Forge & Field CIO,Synthetic KPI definition for Order promise accuracy with CFO/CXO review grain.,KPI Catalog,KPI-LSH-028,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Capacity utilization,81,%,Operations,asset productivity,Lakeshore CXO KPI Catalog v2,COO,Synthetic KPI definition for Capacity utilization with CFO/CXO review grain.,KPI Catalog,KPI-LSH-029,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q2,Quality event aging,82,days,Operations,risk closure,Lakeshore CXO KPI Catalog v2,Chief Quality Officer,Synthetic KPI definition for Quality event aging with CFO/CXO review grain.,KPI Catalog,KPI-LSH-030,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Revenue 2,3450000000,$,Finance,reported revenue,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Revenue with CFO/CXO review grain.,KPI Catalog,KPI-LSH-031,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,EBITDA margin 2,84,%,Finance,profitability,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for EBITDA margin with CFO/CXO review grain.,KPI Catalog,KPI-LSH-032,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Free cash flow 2,85,$,Finance,cash conversion,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Free cash flow with CFO/CXO review grain.,KPI Catalog,KPI-LSH-033,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Working capital days 2,86,days,Finance,cash discipline,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Working capital days with CFO/CXO review grain.,KPI Catalog,KPI-LSH-034,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Forecast accuracy 2,87,%,Finance,planning quality,Lakeshore CXO KPI Catalog v2,CFO,Synthetic KPI definition for Forecast accuracy with CFO/CXO review grain.,KPI Catalog,KPI-LSH-035,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Daily cash visibility by 07:30 CT 2,3325000000,%,Treasury,cash control,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Daily cash visibility by 07:30 CT with CFO/CXO review grain.,KPI Catalog,KPI-LSH-036,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Bank connectivity success rate 2,89,%,Treasury,Kyriba readiness,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Bank connectivity success rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-037,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Payment exception rate 2,90,%,Treasury,controls,Lakeshore CXO KPI Catalog v2,VP Treasury,Synthetic KPI definition for Payment exception rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-038,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,On-time in-full 2,72,%,Supply chain,customer service,Lakeshore CXO KPI Catalog v2,Chief Supply Chain Officer,Synthetic KPI definition for On-time in-full with CFO/CXO review grain.,KPI Catalog,KPI-LSH-039,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Inventory turns 2,73,turns,Supply chain,inventory productivity,Lakeshore CXO KPI Catalog v2,VP Supply Chain Planning,Synthetic KPI definition for Inventory turns with CFO/CXO review grain.,KPI Catalog,KPI-LSH-040,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Warehouse pick accuracy 2,3200000000,%,Supply chain,quality,Lakeshore CXO KPI Catalog v2,VP Distribution Operations,Synthetic KPI definition for Warehouse pick accuracy with CFO/CXO review grain.,KPI Catalog,KPI-LSH-041,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Freight cost per shipment 2,75,$,Supply chain,cost productivity,Lakeshore CXO KPI Catalog v2,Director Transportation and Logistics,Synthetic KPI definition for Freight cost per shipment with CFO/CXO review grain.,KPI Catalog,KPI-LSH-042,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Carrier dwell hours 2,76,hours,Supply chain,logistics efficiency,Lakeshore CXO KPI Catalog v2,Director Transportation and Logistics,Synthetic KPI definition for Carrier dwell hours with CFO/CXO review grain.,KPI Catalog,KPI-LSH-043,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,S&OP adherence 2,77,%,Supply chain,planning discipline,Lakeshore CXO KPI Catalog v2,VP Supply Chain Planning,Synthetic KPI definition for S&OP adherence with CFO/CXO review grain.,KPI Catalog,KPI-LSH-044,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Tier 1 app availability 2,78,%,IT,resilience,Lakeshore CXO KPI Catalog v2,CIO,Synthetic KPI definition for Tier 1 app availability with CFO/CXO review grain.,KPI Catalog,KPI-LSH-045,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,P1 incident MTTR 2,3075000000,hours,IT,operational recovery,Lakeshore CXO KPI Catalog v2,VP IT Operations,Synthetic KPI definition for P1 incident MTTR with CFO/CXO review grain.,KPI Catalog,KPI-LSH-046,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Change failure rate 2,80,%,IT,delivery quality,Lakeshore CXO KPI Catalog v2,VP Engineering,Synthetic KPI definition for Change failure rate with CFO/CXO review grain.,KPI Catalog,KPI-LSH-047,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Cloud spend variance 2,81,%,IT,FinOps,Lakeshore CXO KPI Catalog v2,VP Infrastructure and Cloud,Synthetic KPI definition for Cloud spend variance with CFO/CXO review grain.,KPI Catalog,KPI-LSH-048,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Patch compliance 2,82,%,IT,security hygiene,Lakeshore CXO KPI Catalog v2,CISO,Synthetic KPI definition for Patch compliance with CFO/CXO review grain.,KPI Catalog,KPI-LSH-049,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
FY2026-Q1,Certified KPI coverage 2,83,%,Data,semantic consistency,Lakeshore CXO KPI Catalog v2,CDAO,Synthetic KPI definition for Certified KPI coverage with CFO/CXO review grain.,KPI Catalog,KPI-LSH-050,CFO FP&A,2026-06-08,0.84,true,SYNTHETIC / ILLUSTRATIVE. Admin-loader-backed current-state substrate for Lakeshore pilot. Top-50 KPI catalog row.
