tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,owner_role,operating_model,metrics_or_kpis,processes
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0004,SHA-AIR,CIO / Technology leadership team: Crew recovery optimization,"CIO / Technology leadership team says Crew recovery optimization is promising, but platform is not decision-grade until Crew tracking and recovery platform evidence closes: union/work-rule interpretation evidence is not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0004,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0005,SHA-AIR,CIO / Technology leadership team: Contact center agent assist,"CIO / Technology leadership team says Contact center agent assist is promising, but data is not decision-grade until Customer contact center CRM evidence closes: transcript governance is not approved. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0005,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0006,SHA-AIR,CIO / Technology leadership team: Maintenance analytics,"CIO / Technology leadership team says Maintenance analytics is promising, but modernization is not decision-grade until AWS airline data lakehouse evidence closes: parts and work-order feeds are not reconciled. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0006,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0007,SHA-AIR,CIO / Technology leadership team: Baggage disruption analytics,"CIO / Technology leadership team says Baggage disruption analytics is promising, but AI readiness is not decision-grade until Baggage tracking and claims platform evidence closes: customer impact metrics are not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0007,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0008,SHA-AIR,CIO / Technology leadership team: AMS/IMS sourcing readiness,"CIO / Technology leadership team says AMS/IMS sourcing readiness is promising, but risk is not decision-grade until Finance and procurement ERP evidence closes: productivity and AI automation commitments are ambiguous. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0008,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0009,SHA-AIR,CIO / Technology leadership team: Existing managed-services contract optimization,"CIO / Technology leadership team says Existing managed-services contract optimization is promising, but metrics is not decision-grade until AMS supplier delivery platform evidence closes: service-credit eligibility and credits applied are not reconciled. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0009,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0010,SHA-AIR,CIO / Technology leadership team: IROPS decision support,"CIO / Technology leadership team says IROPS decision support is promising, but value is not decision-grade until Crew tracking and recovery platform evidence closes: operator acceptance telemetry is not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0010,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0011,SHA-AIR,CIO / Technology leadership team: Crew recovery optimization,"CIO / Technology leadership team says Crew recovery optimization is promising, but sourcing is not decision-grade until IROPS recovery workbench evidence closes: human override reason codes are not captured. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0011,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0012,SHA-AIR,CIO / Technology leadership team: Contact center agent assist,"CIO / Technology leadership team says Contact center agent assist is promising, but evidence is not decision-grade until IROPS recovery workbench evidence closes: agent acceptance and QA telemetry are not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0012,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0013,SHA-AIR,CTO / Infrastructure and cloud team: Existing managed-services contract optimization,"CTO / Infrastructure and cloud team says Existing managed-services contract optimization is promising, but strategy is not decision-grade until AMS supplier delivery platform evidence closes: service-credit eligibility and credits applied are not reconciled. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0013,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0014,SHA-AIR,CTO / Infrastructure and cloud team: IROPS decision support,"CTO / Infrastructure and cloud team says IROPS decision support is promising, but operating model is not decision-grade until Crew tracking and recovery platform evidence closes: operator acceptance telemetry is not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0014,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0015,SHA-AIR,CTO / Infrastructure and cloud team: Crew recovery optimization,"CTO / Infrastructure and cloud team says Crew recovery optimization is promising, but vendor is not decision-grade until Departure control system evidence closes: human override reason codes are not captured. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0015,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0016,SHA-AIR,CTO / Infrastructure and cloud team: Contact center agent assist,"CTO / Infrastructure and cloud team says Contact center agent assist is promising, but platform is not decision-grade until IROPS recovery workbench evidence closes: agent acceptance and QA telemetry are not loaded. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0016,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0017,SHA-AIR,CTO / Infrastructure and cloud team: Maintenance analytics,"CTO / Infrastructure and cloud team says Maintenance analytics is promising, but data is not decision-grade until Legacy airline enterprise data warehouse evidence closes: maintenance event lineage is not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0017,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0018,SHA-AIR,CTO / Infrastructure and cloud team: Baggage disruption analytics,"CTO / Infrastructure and cloud team says Baggage disruption analytics is promising, but modernization is not decision-grade until Legacy airline enterprise data warehouse evidence closes: claim-to-station linkage requires validation. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0018,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0019,SHA-AIR,CTO / Infrastructure and cloud team: AMS/IMS sourcing readiness,"CTO / Infrastructure and cloud team says AMS/IMS sourcing readiness is promising, but AI readiness is not decision-grade until Contract lifecycle repository evidence closes: benchmarking and exit rights require legal review. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0019,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0020,SHA-AIR,CTO / Infrastructure and cloud team: Existing managed-services contract optimization,"CTO / Infrastructure and cloud team says Existing managed-services contract optimization is promising, but risk is not decision-grade until Finance and procurement ERP evidence closes: termination assistance and step-in rights need legal validation. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0020,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0021,SHA-AIR,CTO / Infrastructure and cloud team: IROPS decision support,"CTO / Infrastructure and cloud team says IROPS decision support is promising, but metrics is not decision-grade until IROPS recovery workbench evidence closes: cross-system disruption lineage is not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0021,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0022,SHA-AIR,CTO / Infrastructure and cloud team: Crew recovery optimization,"CTO / Infrastructure and cloud team says Crew recovery optimization is promising, but value is not decision-grade until Crew tracking and recovery platform evidence closes: scenario library does not cover all disruption modes. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0022,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0023,SHA-AIR,CTO / Infrastructure and cloud team: Contact center agent assist,"CTO / Infrastructure and cloud team says Contact center agent assist is promising, but sourcing is not decision-grade until Loyalty platform evidence closes: policy content ownership is not assigned. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0023,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0024,SHA-AIR,CTO / Infrastructure and cloud team: Maintenance analytics,"CTO / Infrastructure and cloud team says Maintenance analytics is promising, but evidence is not decision-grade until AWS airline data lakehouse evidence closes: target lakehouse is not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0024,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0025,SHA-AIR,CDAO / Data and analytics team: IROPS decision support,"CDAO / Data and analytics team says IROPS decision support is promising, but strategy is not decision-grade until IROPS recovery workbench evidence closes: cross-system disruption lineage is not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0025,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0026,SHA-AIR,CDAO / Data and analytics team: Crew recovery optimization,"CDAO / Data and analytics team says Crew recovery optimization is promising, but operating model is not decision-grade until IROPS recovery workbench evidence closes: scenario library does not cover all disruption modes. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0026,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0027,SHA-AIR,CDAO / Data and analytics team: Contact center agent assist,"CDAO / Data and analytics team says Contact center agent assist is promising, but vendor is not decision-grade until Loyalty platform evidence closes: policy content ownership is not assigned. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0027,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0028,SHA-AIR,CDAO / Data and analytics team: Maintenance analytics,"CDAO / Data and analytics team says Maintenance analytics is promising, but platform is not decision-grade until Maintenance planning and reliability suite evidence closes: target lakehouse is not certified. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0028,candidate,high,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
skyharbor-air,SHA-SA07-02_ORG_OWNERSHIP-0029,SHA-AIR,CDAO / Data and analytics team: Baggage disruption analytics,"CDAO / Data and analytics team says Baggage disruption analytics is promising, but data is not decision-grade until Departure control system evidence closes: bag scan completeness and station exception lineage are not proven. The team wants Nexus to preserve this as context, not produce sourcing-event outputs yet.",02_org_ownership,SHA-SA07-INT-EVID-0029,candidate,medium,executive_interview,synthetic_executive_interview_evidence,synthetic_demo,synthetic_demo_no_real_airline_data_planning_grade,Enterprise Profile|Business Functions|Org Ownership|Workforce Roles|Applications & Systems|Data Assets & Integrations|Vendors & Contracts|IT Budget Spend Value|Programs & Initiatives|Risks & Controls|Metrics & Outcomes|Managed Services Scope|Operational Process Evidence|SourceContextPack|MovesContextPack|TowerContextPack|Knowledge/Home CXO story blocks,,,,
