initiative_id,initiative_name,business_function,owning_team,stage,fy26_budget_usd,target_value_usd,primary_blocker,source_file,source_row,value_source
INIT-0001,Fleet Renewal Program,Transformation,CIO,Scaling,8650000,21900000,rag=Red; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,2,tenant_file
INIT-0017,Data Platform Consolidation Initiative 07,Compliance,CRO,Closing,19050000,52300000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,18,tenant_file
INIT-0018,Mainframe Offload Initiative 08,Platform,CRO,Sustain,19700000,54200000,rag=Green; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,19,tenant_file
INIT-0019,Integration Modernization Initiative 09,AI/ML,VP Data,Ideation,20350000,56100000,rag=Red; sponsor=COO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,20,tenant_file
INIT-0020,Self-Service Rebooking Initiative 10,AI/ML,CFO,Closing,21000000,58000000,rag=Amber; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,21,tenant_file
INIT-0021,Cargo Capacity Optimization Initiative 11,Optimization,VP Infrastructure,Business Case,21650000,59900000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,22,tenant_file
INIT-0022,Revenue Accounting Automation Initiative 12,AI/ML,CMO,Approved,22300000,61800000,rag=Red; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,23,tenant_file
INIT-0023,Workforce Planning Initiative 13,Platform,CFO,Scaling,22950000,63700000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,24,tenant_file
INIT-0024,Procurement Optimization Initiative 14,AI/ML,VP Data,Ideation,23600000,65600000,rag=Green; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,25,tenant_file
INIT-0025,Sustainability Reporting Initiative 15,AI/ML,VP Engineering,Sustain,24250000,67500000,rag=Red; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,26,tenant_file
INIT-0026,API Platform Initiative 16,AI/ML,CFO,Ideation,24900000,69400000,rag=Red; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,27,tenant_file
INIT-0027,Observability Uplift Initiative 17,Customer Experience,CMO,Business Case,25550000,71300000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,28,tenant_file
INIT-0028,Identity Modernization Initiative 18,AI/ML,CRO,Sustain,26200000,73200000,rag=Amber; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,29,tenant_file
INIT-0029,Disaster Recovery Uplift Initiative 19,AI/ML,COO,Scaling,26850000,75100000,rag=Red; sponsor=CMO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,30,tenant_file
INIT-0030,Real-time Ops Data Platform Initiative 20,Migration,VP Data,Business Case,27500000,77000000,rag=Green; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,31,tenant_file
INIT-0031,Loyalty Personalization Initiative 21,AI/ML,VP Infrastructure,Closing,28150000,78900000,rag=Red; sponsor=Board Technology Committee; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,32,tenant_file
INIT-0032,Dynamic Pricing Initiative 22,AI/ML,VP Operations,Sustain,28800000,80800000,rag=Red; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,33,tenant_file
INIT-0033,Baggage Tracking Initiative 23,Modernization,VP Operations,Scaling,29450000,82700000,rag=Green; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,34,tenant_file
INIT-0034,Contact Center Modernization Initiative 24,Transformation,COO,Closing,30100000,84600000,rag=Green; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,35,tenant_file
INIT-0035,Network Optimization Initiative 25,Platform,CMO,Business Case,30750000,86500000,rag=Red; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,36,tenant_file
INIT-0036,Fuel Efficiency Initiative 26,Modernization,VP Infrastructure,In Delivery,31400000,88400000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,37,tenant_file
INIT-0037,Data Platform Consolidation Initiative 27,AI/ML,VP Engineering,Scaling,32050000,90300000,rag=Green; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,38,tenant_file
INIT-0038,Mainframe Offload Initiative 28,Modernization,VP Infrastructure,Business Case,32700000,92200000,rag=Green; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,39,tenant_file
INIT-0039,Integration Modernization Initiative 29,AI/ML,Chief Digital Officer,In Delivery,33350000,94100000,rag=Red; sponsor=COO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,40,tenant_file
INIT-0040,Self-Service Rebooking Initiative 30,Platform,VP Engineering,In Delivery,34000000,96000000,rag=Green; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,41,tenant_file
INIT-0041,Cargo Capacity Optimization Initiative 31,AI/ML,CFO,Scaling,34650000,97900000,rag=Amber; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,42,tenant_file
INIT-0042,Revenue Accounting Automation Initiative 32,Optimization,COO,Ideation,35300000,99800000,rag=Amber; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,43,tenant_file
INIT-0043,Workforce Planning Initiative 33,Customer Experience,VP Engineering,Ideation,35950000,101700000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,44,tenant_file
INIT-0044,Procurement Optimization Initiative 34,Platform,CRO,Ideation,36600000,103600000,rag=Red; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,45,tenant_file
INIT-0045,Sustainability Reporting Initiative 35,AI/ML,COO,Ideation,37250000,105500000,rag=Amber; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,46,tenant_file
INIT-0046,API Platform Initiative 36,Migration,CRO,Scaling,37900000,107400000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,47,tenant_file
INIT-0047,Observability Uplift Initiative 37,Modernization,VP Infrastructure,Business Case,38550000,109300000,rag=Amber; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,48,tenant_file
INIT-0048,Identity Modernization Initiative 38,AI/ML,CIO,Closing,39200000,111200000,rag=Green; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,49,tenant_file
INIT-0049,Disaster Recovery Uplift Initiative 39,Modernization,CIO,Business Case,39850000,113100000,rag=Amber; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,50,tenant_file
INIT-0050,Real-time Ops Data Platform Initiative 40,AI/ML,VP Data,Ideation,40500000,115000000,rag=Green; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,51,tenant_file
INIT-0051,Loyalty Personalization Initiative 41,AI/ML,VP Operations,Scaling,41150000,116900000,rag=Red; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,52,tenant_file
INIT-0052,Dynamic Pricing Initiative 42,AI/ML,VP Infrastructure,Sustain,41800000,118800000,rag=Green; sponsor=CMO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,53,tenant_file
INIT-0053,Baggage Tracking Initiative 43,AI/ML,VP Operations,Closing,42450000,120700000,rag=Green; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,54,tenant_file
INIT-0054,Contact Center Modernization Initiative 44,Infrastructure,VP Data,Business Case,43100000,122600000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,55,tenant_file
INIT-0055,Network Optimization Initiative 45,Migration,VP Operations,Sustain,43750000,124500000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,56,tenant_file
INIT-0056,Fuel Efficiency Initiative 46,AI/ML,VP Engineering,Scaling,44400000,126400000,rag=Green; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,57,tenant_file
INIT-0057,Data Platform Consolidation Initiative 47,Automation,CIO,Business Case,45050000,128300000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,58,tenant_file
INIT-0058,Mainframe Offload Initiative 48,AI/ML,CHRO,Business Case,45700000,130200000,rag=Green; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,59,tenant_file
INIT-0059,Integration Modernization Initiative 49,AI/ML,VP Data,In Delivery,46350000,132100000,rag=Amber; sponsor=CIO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,60,tenant_file
INIT-0060,Self-Service Rebooking Initiative 50,AI/ML,COO,Closing,47000000,134000000,rag=Green; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,61,tenant_file
INIT-0061,Cargo Capacity Optimization Initiative 51,Modernization,VP Data,In Delivery,47650000,135900000,rag=Green; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,62,tenant_file
INIT-0062,Revenue Accounting Automation Initiative 52,Compliance,VP Engineering,Closing,48300000,137800000,rag=Green; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,63,tenant_file
INIT-0063,Workforce Planning Initiative 53,AI/ML,VP Data,Sustain,48950000,139700000,rag=Red; sponsor=Board Technology Committee; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,64,tenant_file
INIT-0064,Procurement Optimization Initiative 54,AI/ML,CMO,Approved,49600000,141600000,rag=Amber; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,65,tenant_file
INIT-0065,Sustainability Reporting Initiative 55,AI/ML,VP Infrastructure,Sustain,50250000,143500000,rag=Green; sponsor=CRO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,66,tenant_file
INIT-0066,Endpoint Hardening 066,Optimization,VP Engineering,Business Case,50900000,145400000,rag=Green; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,67,tenant_file
INIT-0067,Report Rationalization 067,Compliance,VP Engineering,Ideation,51550000,147300000,rag=Green; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,68,tenant_file
INIT-0068,Data Quality Cleanup 068,Infrastructure,VP Infrastructure,Business Case,52200000,149200000,rag=Green; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,69,tenant_file
INIT-0069,Access Recertification 069,Automation,VP Data,Ideation,52850000,151100000,rag=Amber; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,70,tenant_file
INIT-0070,Patch & Compliance 070,Optimization,VP Engineering,Scaling,53500000,153000000,rag=Amber; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,71,tenant_file
INIT-0071,License Optimization 071,Optimization,VP Data,Sustain,54150000,154900000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,72,tenant_file
INIT-0072,Capacity Management 072,Infrastructure,VP Infrastructure,Approved,54800000,156800000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,73,tenant_file
INIT-0073,Service Desk Improvement 073,Infrastructure,VP Infrastructure,Approved,55450000,158700000,rag=Green; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,74,tenant_file
INIT-0074,Backup Modernization 074,AI/ML,VP Engineering,Business Case,56100000,160600000,rag=Green; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,75,tenant_file
INIT-0075,Network Refresh 075,Automation,Chief Digital Officer,Scaling,56750000,162500000,rag=Amber; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,76,tenant_file
INIT-0076,Endpoint Hardening 076,Automation,COO,Sustain,57400000,164400000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,77,tenant_file
INIT-0077,Report Rationalization 077,Compliance,VP Infrastructure,Sustain,58050000,166300000,rag=Green; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,78,tenant_file
INIT-0078,Data Quality Cleanup 078,Automation,CHRO,Ideation,58700000,168200000,rag=Red; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,79,tenant_file
INIT-0079,Access Recertification 079,Infrastructure,VP Data,Business Case,59350000,170100000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,80,tenant_file
INIT-0080,Patch & Compliance 080,Optimization,COO,Closing,60000000,172000000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,81,tenant_file
INIT-0081,License Optimization 081,Automation,CHRO,Business Case,60650000,173900000,rag=Amber; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,82,tenant_file
INIT-0082,Capacity Management 082,Automation,CHRO,Sustain,61300000,175800000,rag=Amber; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,83,tenant_file
INIT-0083,Service Desk Improvement 083,Compliance,CMO,Approved,61950000,177700000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,84,tenant_file
INIT-0084,Backup Modernization 084,Infrastructure,COO,Ideation,62600000,179600000,rag=Red; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,85,tenant_file
INIT-0085,Network Refresh 085,Automation,COO,Sustain,63250000,181500000,rag=Red; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,86,tenant_file
INIT-0086,Endpoint Hardening 086,Compliance,COO,Scaling,63900000,183400000,rag=Red; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,87,tenant_file
INIT-0087,Report Rationalization 087,Optimization,CIO,Business Case,64550000,185300000,rag=Amber; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,88,tenant_file
INIT-0088,Data Quality Cleanup 088,Optimization,CMO,Closing,65200000,187200000,rag=Amber; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,89,tenant_file
INIT-0089,Access Recertification 089,Infrastructure,CIO,In Delivery,65850000,189100000,rag=Green; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,90,tenant_file
INIT-0090,Patch & Compliance 090,Infrastructure,VP Data,Scaling,66500000,191000000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,91,tenant_file
INIT-0091,License Optimization 091,Automation,VP Operations,In Delivery,67150000,192900000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,92,tenant_file
INIT-0092,Capacity Management 092,Infrastructure,COO,In Delivery,67800000,194800000,rag=Green; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,93,tenant_file
INIT-0093,Service Desk Improvement 093,Infrastructure,CMO,Closing,68450000,196700000,rag=Amber; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,94,tenant_file
INIT-0094,Backup Modernization 094,Infrastructure,CMO,Ideation,69100000,198600000,rag=Red; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,95,tenant_file
INIT-0095,Network Refresh 095,Compliance,CHRO,Business Case,69750000,200500000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,96,tenant_file
INIT-0096,Endpoint Hardening 096,Compliance,VP Infrastructure,In Delivery,70400000,202400000,rag=Amber; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,97,tenant_file
INIT-0097,Report Rationalization 097,Infrastructure,VP Data,In Delivery,71050000,204300000,rag=Red; sponsor=CIO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,98,tenant_file
INIT-0098,Data Quality Cleanup 098,Automation,Chief Digital Officer,Closing,71700000,206200000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,99,tenant_file
INIT-0099,Access Recertification 099,Infrastructure,VP Operations,Scaling,72350000,208100000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,100,tenant_file
INIT-0100,Patch & Compliance 100,AI/ML,Chief Digital Officer,Approved,73000000,210000000,rag=Red; sponsor=CEO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,101,tenant_file
INIT-0101,License Optimization 101,Optimization,VP Infrastructure,Ideation,73650000,211900000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,102,tenant_file
INIT-0102,Capacity Management 102,Infrastructure,Chief Digital Officer,Ideation,74300000,213800000,rag=Red; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,103,tenant_file
INIT-0103,Service Desk Improvement 103,Automation,VP Infrastructure,Scaling,74950000,215700000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,104,tenant_file
INIT-0104,Backup Modernization 104,Compliance,CFO,Approved,75600000,217600000,rag=Green; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,105,tenant_file
INIT-0105,Network Refresh 105,AI/ML,VP Infrastructure,Sustain,76250000,219500000,rag=Green; sponsor=COO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,106,tenant_file
INIT-0106,Endpoint Hardening 106,Infrastructure,VP Operations,In Delivery,76900000,221400000,rag=Red; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,107,tenant_file
INIT-0107,Report Rationalization 107,Compliance,COO,Scaling,77550000,223300000,rag=Green; sponsor=CRO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,108,tenant_file
INIT-0108,Data Quality Cleanup 108,Optimization,CFO,Ideation,78200000,225200000,rag=Amber; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,109,tenant_file
INIT-0109,Access Recertification 109,Automation,Chief Digital Officer,Closing,78850000,227100000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,110,tenant_file
INIT-0110,Patch & Compliance 110,Automation,COO,Sustain,79500000,229000000,rag=Amber; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,111,tenant_file
INIT-0111,License Optimization 111,Optimization,CIO,Sustain,80150000,230900000,rag=Amber; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,112,tenant_file
INIT-0112,Capacity Management 112,Compliance,CRO,In Delivery,80800000,232800000,rag=Green; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,113,tenant_file
INIT-0113,Service Desk Improvement 113,Compliance,VP Operations,Closing,81450000,234700000,rag=Red; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,114,tenant_file
INIT-0114,Backup Modernization 114,Optimization,CFO,Approved,82100000,236600000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,115,tenant_file
INIT-0115,Network Refresh 115,Automation,VP Operations,Closing,82750000,238500000,rag=Amber; sponsor=COO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,116,tenant_file
INIT-0116,Endpoint Hardening 116,Automation,VP Engineering,Approved,83400000,240400000,rag=Amber; sponsor=Board Technology Committee; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,117,tenant_file
INIT-0117,Report Rationalization 117,Compliance,VP Operations,Approved,84050000,242300000,rag=Red; sponsor=CFO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,118,tenant_file
INIT-0118,Data Quality Cleanup 118,Automation,VP Operations,Business Case,84700000,244200000,rag=Red; sponsor=CMO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,119,tenant_file
INIT-0119,Access Recertification 119,AI/ML,VP Engineering,Scaling,85350000,246100000,rag=Green; sponsor=CFO; ai=Y,family-5-execution-operations/F13_initiatives-portfolio.csv,120,tenant_file
INIT-0120,Patch & Compliance 120,Optimization,VP Infrastructure,In Delivery,86000000,248000000,rag=Amber; sponsor=CEO; ai=N,family-5-execution-operations/F13_initiatives-portfolio.csv,121,tenant_file
