evidence_item_id,initiative_id,source_document,source_locator,source_timestamp,review_state,confidence,legacy_source_type,legacy_claim_supported,legacy_freshness_status,legacy_trust_status,source_file,source_row,value_source
EVID-SHA-0102,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 3,,,,investor_day_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,12,tenant_file
EVID-SHA-0103,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 4,,,,architecture_deck,governance,current,usable,ai-control-tower/T10_evidence-items.csv,13,tenant_file
EVID-SHA-0104,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 5,,,,edw_deck,budget,current,usable,ai-control-tower/T10_evidence-items.csv,14,tenant_file
EVID-SHA-0105,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 6,,,,program_roadmap,value,current,usable,ai-control-tower/T10_evidence-items.csv,15,tenant_file
EVID-SHA-0106,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 7,,,,modernization_options,risk,current,usable,ai-control-tower/T10_evidence-items.csv,16,tenant_file
EVID-SHA-0107,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 8,,,,monthly_refresh,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,17,tenant_file
EVID-SHA-0108,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 9,,,,annual_report,architecture,stale_review,usable,ai-control-tower/T10_evidence-items.csv,18,tenant_file
EVID-SHA-0109,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 10,,,,quarterly_earnings,governance,current,usable,ai-control-tower/T10_evidence-items.csv,19,tenant_file
EVID-SHA-0110,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 11,,,,investor_day_deck,budget,current,review_required,ai-control-tower/T10_evidence-items.csv,20,tenant_file
EVID-SHA-0111,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 12,,,,architecture_deck,value,current,usable,ai-control-tower/T10_evidence-items.csv,21,tenant_file
EVID-SHA-0112,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 13,,,,edw_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,22,tenant_file
EVID-SHA-0113,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 14,,,,program_roadmap,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,23,tenant_file
EVID-SHA-0114,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 15,,,,modernization_options,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,24,tenant_file
EVID-SHA-0115,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 16,,,,monthly_refresh,governance,current,usable,ai-control-tower/T10_evidence-items.csv,25,tenant_file
EVID-SHA-0116,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 17,,,,annual_report,budget,stale_review,usable,ai-control-tower/T10_evidence-items.csv,26,tenant_file
EVID-SHA-0117,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 18,,,,quarterly_earnings,value,current,usable,ai-control-tower/T10_evidence-items.csv,27,tenant_file
EVID-SHA-0118,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 19,,,,investor_day_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,28,tenant_file
EVID-SHA-0119,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 20,,,,architecture_deck,adoption,current,review_required,ai-control-tower/T10_evidence-items.csv,29,tenant_file
EVID-SHA-0120,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 21,,,,edw_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,30,tenant_file
EVID-SHA-0121,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 22,,,,program_roadmap,governance,current,usable,ai-control-tower/T10_evidence-items.csv,31,tenant_file
EVID-SHA-0122,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 23,,,,modernization_options,budget,current,usable,ai-control-tower/T10_evidence-items.csv,32,tenant_file
EVID-SHA-0123,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 24,,,,monthly_refresh,value,current,usable,ai-control-tower/T10_evidence-items.csv,33,tenant_file
EVID-SHA-0124,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 25,,,,annual_report,risk,stale_review,usable,ai-control-tower/T10_evidence-items.csv,34,tenant_file
EVID-SHA-0125,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 26,,,,quarterly_earnings,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,35,tenant_file
EVID-SHA-0126,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 27,,,,investor_day_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,36,tenant_file
EVID-SHA-0127,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 28,,,,architecture_deck,governance,current,usable,ai-control-tower/T10_evidence-items.csv,37,tenant_file
EVID-SHA-0128,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 29,,,,edw_deck,budget,current,review_required,ai-control-tower/T10_evidence-items.csv,38,tenant_file
EVID-SHA-0129,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 30,,,,program_roadmap,value,current,usable,ai-control-tower/T10_evidence-items.csv,39,tenant_file
EVID-SHA-0130,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 31,,,,modernization_options,risk,current,usable,ai-control-tower/T10_evidence-items.csv,40,tenant_file
EVID-SHA-0131,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 32,,,,monthly_refresh,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,41,tenant_file
EVID-SHA-0132,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 33,,,,annual_report,architecture,stale_review,usable,ai-control-tower/T10_evidence-items.csv,42,tenant_file
EVID-SHA-0133,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 34,,,,quarterly_earnings,governance,current,usable,ai-control-tower/T10_evidence-items.csv,43,tenant_file
EVID-SHA-0134,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 35,,,,investor_day_deck,budget,current,usable,ai-control-tower/T10_evidence-items.csv,44,tenant_file
EVID-SHA-0135,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 36,,,,architecture_deck,value,current,usable,ai-control-tower/T10_evidence-items.csv,45,tenant_file
EVID-SHA-0136,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 37,,,,edw_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,46,tenant_file
EVID-SHA-0137,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 38,,,,program_roadmap,adoption,current,review_required,ai-control-tower/T10_evidence-items.csv,47,tenant_file
EVID-SHA-0138,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 39,,,,modernization_options,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,48,tenant_file
EVID-SHA-0139,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 40,,,,monthly_refresh,governance,current,usable,ai-control-tower/T10_evidence-items.csv,49,tenant_file
EVID-SHA-0140,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 41,,,,annual_report,budget,stale_review,usable,ai-control-tower/T10_evidence-items.csv,50,tenant_file
EVID-SHA-0141,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 42,,,,quarterly_earnings,value,current,usable,ai-control-tower/T10_evidence-items.csv,51,tenant_file
EVID-SHA-0142,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 43,,,,investor_day_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,52,tenant_file
EVID-SHA-0143,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 44,,,,architecture_deck,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,53,tenant_file
EVID-SHA-0144,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 45,,,,edw_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,54,tenant_file
EVID-SHA-0145,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 46,,,,program_roadmap,governance,current,usable,ai-control-tower/T10_evidence-items.csv,55,tenant_file
EVID-SHA-0146,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 47,,,,modernization_options,budget,current,review_required,ai-control-tower/T10_evidence-items.csv,56,tenant_file
EVID-SHA-0147,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 48,,,,monthly_refresh,value,current,usable,ai-control-tower/T10_evidence-items.csv,57,tenant_file
EVID-SHA-0148,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 49,,,,annual_report,risk,stale_review,usable,ai-control-tower/T10_evidence-items.csv,58,tenant_file
EVID-SHA-0149,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 50,,,,quarterly_earnings,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,59,tenant_file
EVID-SHA-0150,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 51,,,,investor_day_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,60,tenant_file
EVID-SHA-0151,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 52,,,,architecture_deck,governance,current,usable,ai-control-tower/T10_evidence-items.csv,61,tenant_file
EVID-SHA-0152,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 53,,,,edw_deck,budget,current,usable,ai-control-tower/T10_evidence-items.csv,62,tenant_file
EVID-SHA-0153,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 54,,,,program_roadmap,value,current,usable,ai-control-tower/T10_evidence-items.csv,63,tenant_file
EVID-SHA-0154,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 55,,,,modernization_options,risk,current,usable,ai-control-tower/T10_evidence-items.csv,64,tenant_file
EVID-SHA-0155,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 56,,,,monthly_refresh,adoption,current,review_required,ai-control-tower/T10_evidence-items.csv,65,tenant_file
EVID-SHA-0156,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 57,,,,annual_report,architecture,stale_review,usable,ai-control-tower/T10_evidence-items.csv,66,tenant_file
EVID-SHA-0157,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 58,,,,quarterly_earnings,governance,current,usable,ai-control-tower/T10_evidence-items.csv,67,tenant_file
EVID-SHA-0158,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 59,,,,investor_day_deck,budget,current,usable,ai-control-tower/T10_evidence-items.csv,68,tenant_file
EVID-SHA-0159,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 60,,,,architecture_deck,value,current,usable,ai-control-tower/T10_evidence-items.csv,69,tenant_file
EVID-SHA-0160,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 61,,,,edw_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,70,tenant_file
EVID-SHA-0161,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 62,,,,program_roadmap,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,71,tenant_file
EVID-SHA-0162,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 63,,,,modernization_options,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,72,tenant_file
EVID-SHA-0163,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 64,,,,monthly_refresh,governance,current,usable,ai-control-tower/T10_evidence-items.csv,73,tenant_file
EVID-SHA-0164,,source-docs/SkyHarbor_Air_2025_Annual_Report_SYNTHETIC.md,synthetic locator 65,,,,annual_report,budget,stale_review,review_required,ai-control-tower/T10_evidence-items.csv,74,tenant_file
EVID-SHA-0165,,source-docs/SkyHarbor_Q1_2026_Earnings_SYNTHETIC.md,synthetic locator 66,,,,quarterly_earnings,value,current,usable,ai-control-tower/T10_evidence-items.csv,75,tenant_file
EVID-SHA-0166,,source-docs/SkyHarbor_Investor_Day_Tech_Strategy_SYNTHETIC.md,synthetic locator 67,,,,investor_day_deck,risk,current,usable,ai-control-tower/T10_evidence-items.csv,76,tenant_file
EVID-SHA-0167,,source-docs/CIO_Architecture_Board_Update_SYNTHETIC.md,synthetic locator 68,,,,architecture_deck,adoption,current,usable,ai-control-tower/T10_evidence-items.csv,77,tenant_file
EVID-SHA-0168,,source-docs/Teradata_Vantage_AWS_EDW_Current_State_SYNTHETIC.md,synthetic locator 69,,,,edw_deck,architecture,current,usable,ai-control-tower/T10_evidence-items.csv,78,tenant_file
EVID-SHA-0169,,source-docs/IROPS_Agentic_Roadmap_SYNTHETIC.md,synthetic locator 70,,,,program_roadmap,governance,current,usable,ai-control-tower/T10_evidence-items.csv,79,tenant_file
EVID-SHA-0170,,source-docs/IBM_Z_Mainframe_Modernization_Options_SYNTHETIC.md,synthetic locator 71,,,,modernization_options,budget,current,usable,ai-control-tower/T10_evidence-items.csv,80,tenant_file
EVID-SHA-0171,,source-docs/AI_Control_Tower_Monthly_Refresh_SYNTHETIC.md,synthetic locator 72,,,,monthly_refresh,value,current,usable,ai-control-tower/T10_evidence-items.csv,81,tenant_file
