tenant_key,initiative_id,initiative_name,business_area,portfolio_segment,owner_role,business_sponsor_role,stage,promised_benefit_usd,measured_value_usd,value_confidence,status,evidence_status,scale_decision,primary_blocker,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
skyharbor-air,SHA-INIT-100,IROPS recovery decisioning modernization,,operations_ai,VP Data Platforms,President Cargo,idea,18000000,0,low,,missing,fix_controls,Key dependency: mainframe interface,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,12,tenant_file,
skyharbor-air,SHA-INIT-101,Crew recovery and legality modernization,,customer_ai,VP Integration,CFO,business_case,30000000,0,blocked,,review_required,kill_or_reframe,Key dependency: data quality,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,13,tenant_file,
skyharbor-air,SHA-INIT-102,Flight planning and dispatch modernization,,data_platform_ai,VP Corporate Platforms,Chief Procurement Officer,pilot,42000000,14280000,high,,source_cited,scale,Key dependency: source evidence,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,14,tenant_file,
skyharbor-air,SHA-INIT-103,Airport turn management modernization,,engineering_ai,VP Technology Service Mgmt,Chief People Officer,in_progress,54000000,6480000,medium,,partial,hold,Key dependency: vendor renewal,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,15,tenant_file,
skyharbor-air,SHA-INIT-104,Baggage tracking and recovery modernization,,corporate_ai,CISO,Chief Legal Officer,scale,66000000,0,low,,missing,fix_controls,Key dependency: security review,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,16,tenant_file,
skyharbor-air,SHA-INIT-105,MRO predictive maintenance modernization,,operations_ai,Chief Data and AI Officer,Chief Safety Officer,hold,78000000,0,blocked,,review_required,kill_or_reframe,Key dependency: business adoption,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,17,tenant_file,
skyharbor-air,SHA-INIT-106,Revenue management and pricing modernization,,customer_ai,VP Engineering Productivity,EVP Chief Digital & Technology Officer,idea,90000000,30600000,high,,source_cited,scale,Key dependency: mainframe interface,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,18,tenant_file,
skyharbor-air,SHA-INIT-107,NDC offer/order retailing modernization,,data_platform_ai,Chief Architect,Chief Data and AI Officer,business_case,102000000,12240000,medium,,partial,hold,Key dependency: data quality,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,19,tenant_file,
skyharbor-air,SHA-INIT-108,Loyalty personalization modernization,,engineering_ai,EVP CDTO,CISO,pilot,114000000,0,low,,missing,fix_controls,Key dependency: source evidence,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,20,tenant_file,
skyharbor-air,SHA-INIT-109,Digital concierge and journey orchestration modernization,,corporate_ai,SVP Ops Technology,Chief Strategy Officer,in_progress,126000000,0,blocked,,review_required,kill_or_reframe,Key dependency: vendor renewal,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,21,tenant_file,
skyharbor-air,SHA-INIT-110,Contact center service recovery modernization,,operations_ai,VP Crew/Flight Tech,EVP Operations,scale,138000000,46920000,high,,source_cited,scale,Key dependency: security review,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,22,tenant_file,
skyharbor-air,SHA-INIT-111,Cargo capacity optimization modernization,,customer_ai,VP Airport Tech,SVP Flight Operations,hold,150000000,18000000,medium,,partial,hold,Key dependency: business adoption,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,23,tenant_file,
skyharbor-air,SHA-INIT-112,Fuel optimization and sustainability modernization,,data_platform_ai,VP MRO Technology,SVP Crew Resources,idea,162000000,0,low,,missing,fix_controls,Key dependency: mainframe interface,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,24,tenant_file,
skyharbor-air,SHA-INIT-113,Revenue accounting and settlement modernization,,engineering_ai,VP Commercial Tech,SVP Airport Operations,business_case,174000000,0,blocked,,review_required,kill_or_reframe,Key dependency: data quality,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,25,tenant_file,
skyharbor-air,SHA-INIT-114,SAP finance close and procurement modernization,,corporate_ai,VP Loyalty Tech,President TechOps,pilot,186000000,63240000,high,,source_cited,scale,Key dependency: source evidence,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,26,tenant_file,
skyharbor-air,SHA-INIT-115,Mainframe transaction processing modernization,,operations_ai,VP Digital Engineering,Chief Customer Experience Officer,in_progress,18000000,2160000,medium,,partial,hold,Key dependency: vendor renewal,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,27,tenant_file,
skyharbor-air,SHA-INIT-116,Cloud-native digital engineering modernization,,customer_ai,VP Enterprise Platforms,SVP Digital Products,scale,30000000,0,low,,missing,fix_controls,Key dependency: security review,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,28,tenant_file,
skyharbor-air,SHA-INIT-117,Enterprise integration and eventing modernization,,data_platform_ai,VP Cloud Platform,President Loyalty,hold,42000000,0,blocked,,review_required,kill_or_reframe,Key dependency: business adoption,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,29,tenant_file,
skyharbor-air,SHA-INIT-118,EDW and certified BI modernization,,engineering_ai,VP Data Platforms,EVP Commercial,idea,54000000,18360000,high,,source_cited,scale,Key dependency: mainframe interface,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,30,tenant_file,
skyharbor-air,SHA-INIT-119,Data lake ingestion and lineage modernization,,corporate_ai,VP Integration,SVP Network,business_case,66000000,7920000,medium,,partial,hold,Key dependency: data quality,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T01_initiative-registry.csv,31,tenant_file,
