model_id,model_name,domain,parent_initiative_id,status,regulated_or_safety_impact,validation_status,owner_role,evidence_id,notes,source_file,source_row,value_source
SHA-MDL-040,cyber triage model 40,workforce,SHA-INIT-010,blocked,true,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,41,tenant_file
SHA-MDL-041,IROPS recovery model 41,operations,SHA-INIT-100,production,false,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,42,tenant_file
SHA-MDL-042,crew legality model 42,safety,SHA-INIT-101,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,43,tenant_file
SHA-MDL-043,baggage prediction model 43,customer,SHA-INIT-102,development,true,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,44,tenant_file
SHA-MDL-044,customer propensity model 44,commercial,SHA-INIT-103,blocked,false,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,45,tenant_file
SHA-MDL-045,MRO reliability model 45,mro,SHA-INIT-104,production,false,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,46,tenant_file
SHA-MDL-046,pricing model 46,cyber,SHA-INIT-105,pilot,true,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,47,tenant_file
SHA-MDL-047,fraud model 47,finance,SHA-INIT-106,development,false,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,48,tenant_file
SHA-MDL-048,cyber triage model 48,workforce,SHA-INIT-107,blocked,false,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,49,tenant_file
SHA-MDL-049,IROPS recovery model 49,operations,SHA-INIT-108,production,true,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,50,tenant_file
SHA-MDL-050,crew legality model 50,safety,SHA-INIT-109,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,51,tenant_file
SHA-MDL-051,baggage prediction model 51,customer,SHA-INIT-110,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,52,tenant_file
SHA-MDL-052,customer propensity model 52,commercial,SHA-INIT-111,blocked,true,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,53,tenant_file
SHA-MDL-053,MRO reliability model 53,mro,SHA-INIT-112,production,false,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,54,tenant_file
SHA-MDL-054,pricing model 54,cyber,SHA-INIT-113,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,55,tenant_file
SHA-MDL-055,fraud model 55,finance,SHA-INIT-114,development,true,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,56,tenant_file
SHA-MDL-056,cyber triage model 56,workforce,SHA-INIT-115,blocked,false,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,57,tenant_file
SHA-MDL-057,IROPS recovery model 57,operations,SHA-INIT-116,production,false,current,AI Governance Lead,EVID-SHA-0001,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,58,tenant_file
SHA-MDL-058,crew legality model 58,safety,SHA-INIT-117,pilot,true,review_required,Chief Safety Officer,EVID-SHA-0002,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,59,tenant_file
SHA-MDL-059,baggage prediction model 59,customer,SHA-INIT-118,development,false,overdue,CDAO,EVID-SHA-0003,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,60,tenant_file
SHA-MDL-060,customer propensity model 60,commercial,SHA-INIT-119,blocked,false,not_required,EVP Operations,EVID-SHA-0004,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,61,tenant_file
SHA-MDL-061,MRO reliability model 61,mro,SHA-INIT-001,production,true,current,AI Governance Lead,EVID-SHA-0005,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,62,tenant_file
SHA-MDL-062,pricing model 62,cyber,SHA-INIT-002,pilot,false,review_required,Chief Safety Officer,EVID-SHA-0006,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,63,tenant_file
SHA-MDL-063,fraud model 63,finance,SHA-INIT-003,development,false,overdue,CDAO,EVID-SHA-0007,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,64,tenant_file
SHA-MDL-064,cyber triage model 64,workforce,SHA-INIT-004,blocked,true,not_required,EVP Operations,EVID-SHA-0008,Model inventory row for airline AI governance and Tower evidence lens,ai-control-tower/T13_model-ai-inventory.csv,65,tenant_file
