period,tool_name,vendor,business_function,licensed_users,active_users,active_rate_pct,monthly_prompts_or_actions,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,policy_status,notes,value_source
2025-09,GitHub Copilot,GitHub,SHA-BF-003,1340,1120,39,5096,,,,ai-control-tower/T03_tool-usage-monthly.csv,16,54988,blocked_pending_review,GitHub Copilot usage for Crew Operations,tenant_file
2025-10,GitHub Copilot,GitHub,SHA-BF-004,1760,1340,48,5370,,,,ai-control-tower/T03_tool-usage-monthly.csv,17,65947,approved,GitHub Copilot usage for Airport Customer Service,tenant_file
2025-11,GitHub Copilot,GitHub,SHA-BF-005,2180,20,57,5644,,,,ai-control-tower/T03_tool-usage-monthly.csv,18,85571,conditional,GitHub Copilot usage for TechOps / MRO,tenant_file
2025-12,GitHub Copilot,GitHub,SHA-BF-006,2600,240,66,5918,,,,ai-control-tower/T03_tool-usage-monthly.csv,19,106693,restricted,GitHub Copilot usage for Customer Experience,tenant_file
2026-01,GitHub Copilot,GitHub,SHA-BF-007,3020,460,75,6192,,,,ai-control-tower/T03_tool-usage-monthly.csv,20,121172,blocked_pending_review,GitHub Copilot usage for Digital Commerce,tenant_file
2026-02,GitHub Copilot,GitHub,SHA-BF-008,3440,680,12,6466,,,,ai-control-tower/T03_tool-usage-monthly.csv,21,135722,approved,GitHub Copilot usage for Loyalty and Co-brand,tenant_file
2026-03,GitHub Copilot,GitHub,SHA-BF-009,80,900,21,6740,,,,ai-control-tower/T03_tool-usage-monthly.csv,22,3299,conditional,GitHub Copilot usage for Revenue Management,tenant_file
2026-04,GitHub Copilot,GitHub,SHA-BF-010,500,1120,30,7014,,,,ai-control-tower/T03_tool-usage-monthly.csv,23,20396,restricted,GitHub Copilot usage for Network Planning,tenant_file
2026-05,GitHub Copilot,GitHub,SHA-BF-011,920,1340,39,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,24,34864,blocked_pending_review,GitHub Copilot usage for Cargo,tenant_file
2026-06,GitHub Copilot,GitHub,SHA-BF-012,1340,20,48,7562,,,,ai-control-tower/T03_tool-usage-monthly.csv,25,49883,approved,GitHub Copilot usage for Finance and Treasury,tenant_file
2025-07,Codex,Codex,SHA-BF-001,920,1340,30,4822,,,,ai-control-tower/T03_tool-usage-monthly.csv,26,52782,restricted,Codex usage for Operations Control Center / IROPS,tenant_file
2025-08,Codex,Codex,SHA-BF-002,1340,20,39,5233,,,,ai-control-tower/T03_tool-usage-monthly.csv,27,77795,blocked_pending_review,Codex usage for Flight Operations,tenant_file
2025-09,Codex,Codex,SHA-BF-003,1760,240,48,5644,,,,ai-control-tower/T03_tool-usage-monthly.csv,28,110023,approved,Codex usage for Crew Operations,tenant_file
2025-10,Codex,Codex,SHA-BF-004,2180,460,57,6055,,,,ai-control-tower/T03_tool-usage-monthly.csv,29,124318,conditional,Codex usage for Airport Customer Service,tenant_file
2025-11,Codex,Codex,SHA-BF-005,2600,680,66,6466,,,,ai-control-tower/T03_tool-usage-monthly.csv,30,155401,restricted,Codex usage for TechOps / MRO,tenant_file
2025-12,Codex,Codex,SHA-BF-006,3020,900,75,6877,,,,ai-control-tower/T03_tool-usage-monthly.csv,31,177395,blocked_pending_review,Codex usage for Customer Experience,tenant_file
2026-01,Codex,Codex,SHA-BF-007,3440,1120,12,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,32,207936,approved,Codex usage for Digital Commerce,tenant_file
2026-02,Codex,Codex,SHA-BF-008,80,1340,21,7699,,,,ai-control-tower/T03_tool-usage-monthly.csv,33,5055,conditional,Codex usage for Loyalty and Co-brand,tenant_file
2026-03,Codex,Codex,SHA-BF-009,500,20,30,8110,,,,ai-control-tower/T03_tool-usage-monthly.csv,34,29366,restricted,Codex usage for Revenue Management,tenant_file
2026-04,Codex,Codex,SHA-BF-010,920,240,39,8521,,,,ai-control-tower/T03_tool-usage-monthly.csv,35,56558,blocked_pending_review,Codex usage for Network Planning,tenant_file
2026-05,Codex,Codex,SHA-BF-011,1340,460,48,8932,,,,ai-control-tower/T03_tool-usage-monthly.csv,36,76406,approved,Codex usage for Cargo,tenant_file
2026-06,Codex,Codex,SHA-BF-012,1760,680,57,9343,,,,ai-control-tower/T03_tool-usage-monthly.csv,37,105182,conditional,Codex usage for Finance and Treasury,tenant_file
2025-07,Claude Code,Claude,SHA-BF-001,1340,460,39,5096,,,,ai-control-tower/T03_tool-usage-monthly.csv,38,191810,blocked_pending_review,Claude Code usage for Operations Control Center / IROPS,tenant_file
2025-08,Claude Code,Claude,SHA-BF-002,1760,680,48,5644,,,,ai-control-tower/T03_tool-usage-monthly.csv,39,254940,approved,Claude Code usage for Flight Operations,tenant_file
2025-09,Claude Code,Claude,SHA-BF-003,2180,900,57,6192,,,,ai-control-tower/T03_tool-usage-monthly.csv,40,340067,conditional,Claude Code usage for Crew Operations,tenant_file
2025-10,Claude Code,Claude,SHA-BF-004,2600,1120,66,6740,,,,ai-control-tower/T03_tool-usage-monthly.csv,41,380780,restricted,Claude Code usage for Airport Customer Service,tenant_file
2025-11,Claude Code,Claude,SHA-BF-005,3020,1340,75,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,42,463002,blocked_pending_review,Claude Code usage for TechOps / MRO,tenant_file
2025-12,Claude Code,Claude,SHA-BF-006,3440,20,12,7836,,,,ai-control-tower/T03_tool-usage-monthly.csv,43,518539,approved,Claude Code usage for Customer Experience,tenant_file
2026-01,Claude Code,Claude,SHA-BF-007,80,240,21,8384,,,,ai-control-tower/T03_tool-usage-monthly.csv,44,11467,conditional,Claude Code usage for Digital Commerce,tenant_file
2026-02,Claude Code,Claude,SHA-BF-008,500,460,30,8932,,,,ai-control-tower/T03_tool-usage-monthly.csv,45,75099,restricted,Claude Code usage for Loyalty and Co-brand,tenant_file
2026-03,Claude Code,Claude,SHA-BF-009,920,680,39,9480,,,,ai-control-tower/T03_tool-usage-monthly.csv,46,144492,blocked_pending_review,Claude Code usage for Revenue Management,tenant_file
2026-04,Claude Code,Claude,SHA-BF-010,1340,900,48,10028,,,,ai-control-tower/T03_tool-usage-monthly.csv,47,195525,approved,Claude Code usage for Network Planning,tenant_file
2026-05,Claude Code,Claude,SHA-BF-011,1760,1120,57,10576,,,,ai-control-tower/T03_tool-usage-monthly.csv,48,268879,conditional,Claude Code usage for Cargo,tenant_file
2026-06,Claude Code,Claude,SHA-BF-012,2180,1340,66,11124,,,,ai-control-tower/T03_tool-usage-monthly.csv,49,308753,restricted,Claude Code usage for Finance and Treasury,tenant_file
2025-07,Cursor,Cursor,SHA-BF-001,1760,1120,48,5370,,,,ai-control-tower/T03_tool-usage-monthly.csv,50,66666,approved,Cursor usage for Operations Control Center / IROPS,tenant_file
2025-08,Cursor,Cursor,SHA-BF-002,2180,1340,57,6055,,,,ai-control-tower/T03_tool-usage-monthly.csv,51,91543,conditional,Cursor usage for Flight Operations,tenant_file
2025-09,Cursor,Cursor,SHA-BF-003,2600,20,66,6740,,,,ai-control-tower/T03_tool-usage-monthly.csv,52,101454,restricted,Cursor usage for Crew Operations,tenant_file
2025-10,Cursor,Cursor,SHA-BF-004,3020,240,75,7425,,,,ai-control-tower/T03_tool-usage-monthly.csv,53,127497,blocked_pending_review,Cursor usage for Airport Customer Service,tenant_file
2025-11,Cursor,Cursor,SHA-BF-005,3440,460,12,8110,,,,ai-control-tower/T03_tool-usage-monthly.csv,54,138937,approved,Cursor usage for TechOps / MRO,tenant_file
2025-12,Cursor,Cursor,SHA-BF-006,80,680,21,8795,,,,ai-control-tower/T03_tool-usage-monthly.csv,55,3286,conditional,Cursor usage for Customer Experience,tenant_file
2026-01,Cursor,Cursor,SHA-BF-007,500,900,30,9480,,,,ai-control-tower/T03_tool-usage-monthly.csv,56,19748,restricted,Cursor usage for Digital Commerce,tenant_file
2026-02,Cursor,Cursor,SHA-BF-008,920,1120,39,10165,,,,ai-control-tower/T03_tool-usage-monthly.csv,57,34654,blocked_pending_review,Cursor usage for Loyalty and Co-brand,tenant_file
2026-03,Cursor,Cursor,SHA-BF-009,1340,1340,48,10850,,,,ai-control-tower/T03_tool-usage-monthly.csv,58,54455,approved,Cursor usage for Revenue Management,tenant_file
2026-04,Cursor,Cursor,SHA-BF-010,1760,20,57,11535,,,,ai-control-tower/T03_tool-usage-monthly.csv,59,68305,conditional,Cursor usage for Network Planning,tenant_file
2026-05,Cursor,Cursor,SHA-BF-011,2180,240,66,12220,,,,ai-control-tower/T03_tool-usage-monthly.csv,60,91082,restricted,Cursor usage for Cargo,tenant_file
2026-06,Cursor,Cursor,SHA-BF-012,2600,460,75,12905,,,,ai-control-tower/T03_tool-usage-monthly.csv,61,103875,blocked_pending_review,Cursor usage for Finance and Treasury,tenant_file
2025-07,AWS Bedrock,AWS,SHA-BF-001,2180,240,57,5644,,,,ai-control-tower/T03_tool-usage-monthly.csv,62,93850,conditional,AWS Bedrock usage for Operations Control Center / IROPS,tenant_file
2025-08,AWS Bedrock,AWS,SHA-BF-002,2600,460,66,6466,,,,ai-control-tower/T03_tool-usage-monthly.csv,63,113939,restricted,AWS Bedrock usage for Flight Operations,tenant_file
2025-09,AWS Bedrock,AWS,SHA-BF-003,3020,680,75,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,64,142440,blocked_pending_review,AWS Bedrock usage for Crew Operations,tenant_file
2025-10,AWS Bedrock,AWS,SHA-BF-004,3440,900,12,8110,,,,ai-control-tower/T03_tool-usage-monthly.csv,65,155376,approved,AWS Bedrock usage for Airport Customer Service,tenant_file
2025-11,AWS Bedrock,AWS,SHA-BF-005,80,1120,21,8932,,,,ai-control-tower/T03_tool-usage-monthly.csv,66,3778,conditional,AWS Bedrock usage for TechOps / MRO,tenant_file
2025-12,AWS Bedrock,AWS,SHA-BF-006,500,1340,30,9754,,,,ai-control-tower/T03_tool-usage-monthly.csv,67,23226,restricted,AWS Bedrock usage for Customer Experience,tenant_file
2026-01,AWS Bedrock,AWS,SHA-BF-007,920,20,39,10576,,,,ai-control-tower/T03_tool-usage-monthly.csv,68,39780,blocked_pending_review,AWS Bedrock usage for Digital Commerce,tenant_file
2026-02,AWS Bedrock,AWS,SHA-BF-008,1340,240,48,11398,,,,ai-control-tower/T03_tool-usage-monthly.csv,69,60698,approved,AWS Bedrock usage for Loyalty and Co-brand,tenant_file
2026-03,AWS Bedrock,AWS,SHA-BF-009,1760,460,57,12220,,,,ai-control-tower/T03_tool-usage-monthly.csv,70,83344,conditional,AWS Bedrock usage for Revenue Management,tenant_file
2026-04,AWS Bedrock,AWS,SHA-BF-010,2180,680,66,13042,,,,ai-control-tower/T03_tool-usage-monthly.csv,71,95381,restricted,AWS Bedrock usage for Network Planning,tenant_file
2026-05,AWS Bedrock,AWS,SHA-BF-011,2600,900,75,13864,,,,ai-control-tower/T03_tool-usage-monthly.csv,72,119106,blocked_pending_review,AWS Bedrock usage for Cargo,tenant_file
2026-06,AWS Bedrock,AWS,SHA-BF-012,3020,1120,12,14686,,,,ai-control-tower/T03_tool-usage-monthly.csv,73,128252,approved,AWS Bedrock usage for Finance and Treasury,tenant_file
2025-07,ServiceNow Now Assist,ServiceNow,SHA-BF-001,2600,900,66,5918,,,,ai-control-tower/T03_tool-usage-monthly.csv,74,86042,restricted,ServiceNow Now Assist usage for Operations Control Center / IROPS,tenant_file
2025-08,ServiceNow Now Assist,ServiceNow,SHA-BF-002,3020,1120,75,6877,,,,ai-control-tower/T03_tool-usage-monthly.csv,75,111420,blocked_pending_review,ServiceNow Now Assist usage for Flight Operations,tenant_file
2025-09,ServiceNow Now Assist,ServiceNow,SHA-BF-003,3440,1340,12,7836,,,,ai-control-tower/T03_tool-usage-monthly.csv,76,117973,approved,ServiceNow Now Assist usage for Crew Operations,tenant_file
2025-10,ServiceNow Now Assist,ServiceNow,SHA-BF-004,80,20,21,8795,,,,ai-control-tower/T03_tool-usage-monthly.csv,77,2685,conditional,ServiceNow Now Assist usage for Airport Customer Service,tenant_file
2025-11,ServiceNow Now Assist,ServiceNow,SHA-BF-005,500,240,30,9754,,,,ai-control-tower/T03_tool-usage-monthly.csv,78,18082,restricted,ServiceNow Now Assist usage for TechOps / MRO,tenant_file
2025-12,ServiceNow Now Assist,ServiceNow,SHA-BF-006,920,460,39,10713,,,,ai-control-tower/T03_tool-usage-monthly.csv,79,33823,blocked_pending_review,ServiceNow Now Assist usage for Customer Experience,tenant_file
2026-01,ServiceNow Now Assist,ServiceNow,SHA-BF-007,1340,680,48,11672,,,,ai-control-tower/T03_tool-usage-monthly.csv,80,44621,approved,ServiceNow Now Assist usage for Digital Commerce,tenant_file
2026-02,ServiceNow Now Assist,ServiceNow,SHA-BF-008,1760,900,57,12631,,,,ai-control-tower/T03_tool-usage-monthly.csv,81,63182,conditional,ServiceNow Now Assist usage for Loyalty and Co-brand,tenant_file
2026-03,ServiceNow Now Assist,ServiceNow,SHA-BF-009,2180,1120,66,13590,,,,ai-control-tower/T03_tool-usage-monthly.csv,82,74771,restricted,ServiceNow Now Assist usage for Revenue Management,tenant_file
2026-04,ServiceNow Now Assist,ServiceNow,SHA-BF-010,2600,1340,75,14549,,,,ai-control-tower/T03_tool-usage-monthly.csv,83,85540,blocked_pending_review,ServiceNow Now Assist usage for Network Planning,tenant_file
2026-05,ServiceNow Now Assist,ServiceNow,SHA-BF-011,3020,20,12,15508,,,,ai-control-tower/T03_tool-usage-monthly.csv,84,107209,approved,ServiceNow Now Assist usage for Cargo,tenant_file
2026-06,ServiceNow Now Assist,ServiceNow,SHA-BF-012,3440,240,21,16467,,,,ai-control-tower/T03_tool-usage-monthly.csv,85,116615,conditional,ServiceNow Now Assist usage for Finance and Treasury,tenant_file
2025-07,SAP Joule,SAP,SHA-BF-001,3020,20,75,6192,,,,ai-control-tower/T03_tool-usage-monthly.csv,86,110786,blocked_pending_review,SAP Joule usage for Operations Control Center / IROPS,tenant_file
2025-08,SAP Joule,SAP,SHA-BF-002,3440,240,12,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,87,122076,approved,SAP Joule usage for Flight Operations,tenant_file
2025-09,SAP Joule,SAP,SHA-BF-003,80,460,21,8384,,,,ai-control-tower/T03_tool-usage-monthly.csv,88,2711,conditional,SAP Joule usage for Crew Operations,tenant_file
2025-10,SAP Joule,SAP,SHA-BF-004,500,680,30,9480,,,,ai-control-tower/T03_tool-usage-monthly.csv,89,17729,restricted,SAP Joule usage for Airport Customer Service,tenant_file
2025-11,SAP Joule,SAP,SHA-BF-005,920,900,39,10576,,,,ai-control-tower/T03_tool-usage-monthly.csv,90,34093,blocked_pending_review,SAP Joule usage for TechOps / MRO,tenant_file
2025-12,SAP Joule,SAP,SHA-BF-006,1340,1120,48,11672,,,,ai-control-tower/T03_tool-usage-monthly.csv,91,46174,approved,SAP Joule usage for Customer Experience,tenant_file
2026-01,SAP Joule,SAP,SHA-BF-007,1760,1340,57,12768,,,,ai-control-tower/T03_tool-usage-monthly.csv,92,63285,conditional,SAP Joule usage for Digital Commerce,tenant_file
2026-02,SAP Joule,SAP,SHA-BF-008,2180,20,66,13864,,,,ai-control-tower/T03_tool-usage-monthly.csv,93,77078,restricted,SAP Joule usage for Loyalty and Co-brand,tenant_file
2026-03,SAP Joule,SAP,SHA-BF-009,2600,240,75,14960,,,,ai-control-tower/T03_tool-usage-monthly.csv,94,96089,blocked_pending_review,SAP Joule usage for Revenue Management,tenant_file
2026-04,SAP Joule,SAP,SHA-BF-010,3020,460,12,16056,,,,ai-control-tower/T03_tool-usage-monthly.csv,95,109797,approved,SAP Joule usage for Network Planning,tenant_file
2026-05,SAP Joule,SAP,SHA-BF-011,3440,680,21,17152,,,,ai-control-tower/T03_tool-usage-monthly.csv,96,116123,conditional,SAP Joule usage for Cargo,tenant_file
2026-06,SAP Joule,SAP,SHA-BF-012,80,900,30,18248,,,,ai-control-tower/T03_tool-usage-monthly.csv,97,2652,restricted,SAP Joule usage for Finance and Treasury,tenant_file
2025-07,Salesforce Einstein,Salesforce,SHA-BF-001,3440,680,12,6466,,,,ai-control-tower/T03_tool-usage-monthly.csv,98,179884,approved,Salesforce Einstein usage for Operations Control Center / IROPS,tenant_file
2025-08,Salesforce Einstein,Salesforce,SHA-BF-002,80,900,21,7699,,,,ai-control-tower/T03_tool-usage-monthly.csv,99,4115,conditional,Salesforce Einstein usage for Flight Operations,tenant_file
2025-09,Salesforce Einstein,Salesforce,SHA-BF-003,500,1120,30,8932,,,,ai-control-tower/T03_tool-usage-monthly.csv,100,23860,restricted,Salesforce Einstein usage for Crew Operations,tenant_file
2025-10,Salesforce Einstein,Salesforce,SHA-BF-004,920,1340,39,10165,,,,ai-control-tower/T03_tool-usage-monthly.csv,101,45945,blocked_pending_review,Salesforce Einstein usage for Airport Customer Service,tenant_file
2025-11,Salesforce Einstein,Salesforce,SHA-BF-005,1340,20,48,11398,,,,ai-control-tower/T03_tool-usage-monthly.csv,102,63856,approved,Salesforce Einstein usage for TechOps / MRO,tenant_file
2025-12,Salesforce Einstein,Salesforce,SHA-BF-006,1760,240,57,12631,,,,ai-control-tower/T03_tool-usage-monthly.csv,103,85381,conditional,Salesforce Einstein usage for Customer Experience,tenant_file
2026-01,Salesforce Einstein,Salesforce,SHA-BF-007,2180,460,66,13864,,,,ai-control-tower/T03_tool-usage-monthly.csv,104,114533,restricted,Salesforce Einstein usage for Digital Commerce,tenant_file
2026-02,Salesforce Einstein,Salesforce,SHA-BF-008,2600,680,75,15097,,,,ai-control-tower/T03_tool-usage-monthly.csv,105,130655,blocked_pending_review,Salesforce Einstein usage for Loyalty and Co-brand,tenant_file
2026-03,Salesforce Einstein,Salesforce,SHA-BF-009,3020,900,12,16330,,,,ai-control-tower/T03_tool-usage-monthly.csv,106,144857,approved,Salesforce Einstein usage for Revenue Management,tenant_file
2026-04,Salesforce Einstein,Salesforce,SHA-BF-010,3440,1120,21,17563,,,,ai-control-tower/T03_tool-usage-monthly.csv,107,177779,conditional,Salesforce Einstein usage for Network Planning,tenant_file
2026-05,Salesforce Einstein,Salesforce,SHA-BF-011,80,1340,30,18796,,,,ai-control-tower/T03_tool-usage-monthly.csv,108,3952,restricted,Salesforce Einstein usage for Cargo,tenant_file
2026-06,Salesforce Einstein,Salesforce,SHA-BF-012,500,20,39,20029,,,,ai-control-tower/T03_tool-usage-monthly.csv,109,23554,blocked_pending_review,Salesforce Einstein usage for Finance and Treasury,tenant_file
2025-07,Adobe Sensei/Firefly,Adobe,SHA-BF-001,80,1340,21,6740,,,,ai-control-tower/T03_tool-usage-monthly.csv,110,2661,conditional,Adobe Sensei/Firefly usage for Operations Control Center / IROPS,tenant_file
2025-08,Adobe Sensei/Firefly,Adobe,SHA-BF-002,500,20,30,8110,,,,ai-control-tower/T03_tool-usage-monthly.csv,111,18531,restricted,Adobe Sensei/Firefly usage for Flight Operations,tenant_file
2025-09,Adobe Sensei/Firefly,Adobe,SHA-BF-003,920,240,39,9480,,,,ai-control-tower/T03_tool-usage-monthly.csv,112,31705,blocked_pending_review,Adobe Sensei/Firefly usage for Crew Operations,tenant_file
2025-10,Adobe Sensei/Firefly,Adobe,SHA-BF-004,1340,460,48,10850,,,,ai-control-tower/T03_tool-usage-monthly.csv,113,44840,approved,Adobe Sensei/Firefly usage for Airport Customer Service,tenant_file
2025-11,Adobe Sensei/Firefly,Adobe,SHA-BF-005,1760,680,57,12220,,,,ai-control-tower/T03_tool-usage-monthly.csv,114,63470,conditional,Adobe Sensei/Firefly usage for TechOps / MRO,tenant_file
2025-12,Adobe Sensei/Firefly,Adobe,SHA-BF-006,2180,900,66,13590,,,,ai-control-tower/T03_tool-usage-monthly.csv,115,79926,restricted,Adobe Sensei/Firefly usage for Customer Experience,tenant_file
2026-01,Adobe Sensei/Firefly,Adobe,SHA-BF-007,2600,1120,75,14960,,,,ai-control-tower/T03_tool-usage-monthly.csv,116,87626,blocked_pending_review,Adobe Sensei/Firefly usage for Digital Commerce,tenant_file
2026-02,Adobe Sensei/Firefly,Adobe,SHA-BF-008,3020,1340,12,16330,,,,ai-control-tower/T03_tool-usage-monthly.csv,117,109632,approved,Adobe Sensei/Firefly usage for Loyalty and Co-brand,tenant_file
2026-03,Adobe Sensei/Firefly,Adobe,SHA-BF-009,3440,20,21,17700,,,,ai-control-tower/T03_tool-usage-monthly.csv,118,119374,conditional,Adobe Sensei/Firefly usage for Revenue Management,tenant_file
2026-04,Adobe Sensei/Firefly,Adobe,SHA-BF-010,80,240,30,19070,,,,ai-control-tower/T03_tool-usage-monthly.csv,119,2664,restricted,Adobe Sensei/Firefly usage for Network Planning,tenant_file
2026-05,Adobe Sensei/Firefly,Adobe,SHA-BF-011,500,460,39,20440,,,,ai-control-tower/T03_tool-usage-monthly.csv,120,17951,blocked_pending_review,Adobe Sensei/Firefly usage for Cargo,tenant_file
2026-06,Adobe Sensei/Firefly,Adobe,SHA-BF-012,920,680,48,21810,,,,ai-control-tower/T03_tool-usage-monthly.csv,121,31559,approved,Adobe Sensei/Firefly usage for Finance and Treasury,tenant_file
2025-07,SAS Viya AI,SAS,SHA-BF-001,500,460,30,7014,,,,ai-control-tower/T03_tool-usage-monthly.csv,122,13388,restricted,SAS Viya AI usage for Operations Control Center / IROPS,tenant_file
2025-08,SAS Viya AI,SAS,SHA-BF-002,920,680,39,8521,,,,ai-control-tower/T03_tool-usage-monthly.csv,123,25516,blocked_pending_review,SAS Viya AI usage for Flight Operations,tenant_file
2025-09,SAS Viya AI,SAS,SHA-BF-003,1340,900,48,10028,,,,ai-control-tower/T03_tool-usage-monthly.csv,124,38880,approved,SAS Viya AI usage for Crew Operations,tenant_file
2025-10,SAS Viya AI,SAS,SHA-BF-004,1760,1120,57,11535,,,,ai-control-tower/T03_tool-usage-monthly.csv,125,50226,conditional,SAS Viya AI usage for Airport Customer Service,tenant_file
2025-11,SAS Viya AI,SAS,SHA-BF-005,2180,1340,66,13042,,,,ai-control-tower/T03_tool-usage-monthly.csv,126,59421,restricted,SAS Viya AI usage for TechOps / MRO,tenant_file
2025-12,SAS Viya AI,SAS,SHA-BF-006,2600,20,75,14549,,,,ai-control-tower/T03_tool-usage-monthly.csv,127,76277,blocked_pending_review,SAS Viya AI usage for Customer Experience,tenant_file
2026-01,SAS Viya AI,SAS,SHA-BF-007,3020,240,12,16056,,,,ai-control-tower/T03_tool-usage-monthly.csv,128,85260,approved,SAS Viya AI usage for Digital Commerce,tenant_file
2026-02,SAS Viya AI,SAS,SHA-BF-008,3440,460,21,17563,,,,ai-control-tower/T03_tool-usage-monthly.csv,129,98770,conditional,SAS Viya AI usage for Loyalty and Co-brand,tenant_file
2026-03,SAS Viya AI,SAS,SHA-BF-009,80,680,30,19070,,,,ai-control-tower/T03_tool-usage-monthly.csv,130,2195,restricted,SAS Viya AI usage for Revenue Management,tenant_file
2026-04,SAS Viya AI,SAS,SHA-BF-010,500,900,39,20577,,,,ai-control-tower/T03_tool-usage-monthly.csv,131,13876,blocked_pending_review,SAS Viya AI usage for Network Planning,tenant_file
2026-05,SAS Viya AI,SAS,SHA-BF-011,920,1120,48,22084,,,,ai-control-tower/T03_tool-usage-monthly.csv,132,24354,approved,SAS Viya AI usage for Cargo,tenant_file
2026-06,SAS Viya AI,SAS,SHA-BF-012,1340,1340,57,23591,,,,ai-control-tower/T03_tool-usage-monthly.csv,133,36115,conditional,SAS Viya AI usage for Finance and Treasury,tenant_file
2025-07,Teradata Vantage AI,Teradata,SHA-BF-001,920,1120,39,7288,,,,ai-control-tower/T03_tool-usage-monthly.csv,134,26020,blocked_pending_review,Teradata Vantage AI usage for Operations Control Center / IROPS,tenant_file
2025-08,Teradata Vantage AI,Teradata,SHA-BF-002,1340,1340,48,8932,,,,ai-control-tower/T03_tool-usage-monthly.csv,135,39614,approved,Teradata Vantage AI usage for Flight Operations,tenant_file
2025-09,Teradata Vantage AI,Teradata,SHA-BF-003,1760,20,57,10576,,,,ai-control-tower/T03_tool-usage-monthly.csv,136,48369,conditional,Teradata Vantage AI usage for Crew Operations,tenant_file
2025-10,Teradata Vantage AI,Teradata,SHA-BF-004,2180,240,66,12220,,,,ai-control-tower/T03_tool-usage-monthly.csv,137,58169,restricted,Teradata Vantage AI usage for Airport Customer Service,tenant_file
2025-11,Teradata Vantage AI,Teradata,SHA-BF-005,2600,460,75,13864,,,,ai-control-tower/T03_tool-usage-monthly.csv,138,74783,blocked_pending_review,Teradata Vantage AI usage for TechOps / MRO,tenant_file
2025-12,Teradata Vantage AI,Teradata,SHA-BF-006,3020,680,12,15508,,,,ai-control-tower/T03_tool-usage-monthly.csv,139,82997,approved,Teradata Vantage AI usage for Customer Experience,tenant_file
2026-01,Teradata Vantage AI,Teradata,SHA-BF-007,3440,900,21,17152,,,,ai-control-tower/T03_tool-usage-monthly.csv,140,95915,conditional,Teradata Vantage AI usage for Digital Commerce,tenant_file
