app_id,name,description,stack_era,primary_language,primary_framework,vintage_year,hosting,hosting_detail,lifecycle,criticality_tier,time_classification,workload_type,owning_team_id,in_house_fte,contractor_fte,si_fte,ams_vendor,ams_annual_usd,license_annual_usd,infra_annual_usd,changes_per_year,deploys_per_week,lead_time_hours,mttr_hours,change_failure_rate_pct,regulatory_scope,channels,ai_fit_score,modernization_init_id,depends_on_count,consumed_by_count,notes
APX-WMS-MANHATTAN-EXT,Manhattan WMS Extensions,Warehouse mgmt for 4 DCs; standard Manhattan with retail-specific Java extensions; behind current release by 2 majors,legacy_java,Java 1.8,Manhattan SDK + Spring,2015,on_prem_dist,DC-local servers (4 DCs),mature,2,migrate,oltp+batch,TEAM-SUPPLY-CHAIN,6,3,8,Wipro,2200000,1800000,940000,42,0.8,288,9,16,,store|dtc|wholesale|marketplaces,32,INIT-WMS-REFRESH,3,7,Manhattan upgrade in roadmap (FY27); will reduce Wipro AMS scope on WMS by est. $1.2M.
APX-LEG-SUPPLIER-PORTAL,Legacy Supplier Portal,Pre-Coupa supplier collaboration portal; legacy Java; should be retired post-Ariba/Coupa consolidation,legacy_java,Java 1.7,Struts 2.x + JSP,2011,on_prem_dist,Private cloud VMware,sunset_planned,3,eliminate,oltp,TEAM-PROCUREMENT-LEGACY,1,2,3,Wipro,860000,180000,210000,8,0.16,336,10,18,sox,wholesale,20,INIT-PROCUREMENT-CONSOL,2,2,Retirement blocked by 2 small suppliers still using portal exclusively (long-tail vendor relationships).
APX-STORE-BOH,Store Back-Office,Store-level back-office app running on Windows 10 IoT at 480 stores; scheduling, end-of-day, cash mgmt,legacy_dotnet,C#,.NET Framework 4.6 + WinForms,2012,store_edge,480 store-edge installs + central sync,mature,2,invest,oltp+edge,TEAM-STORE-TECH,12,6,4,Wipro,2100000,420000,1800000,47,0.9,120,4,11,pci,store,22,INIT-STORE-MOD,3
APX-ORACLE-LEG-AP,Oracle EBS Legacy AP,Pre-SAP accounts payable bolt-on; small footprint; retained for 2 international entities not migrated to SAP,oracle_ebs,PL/SQL,Oracle Forms,2008,on_prem_dist,Single Oracle EBS instance,mature_with_debt,3,eliminate,oltp+batch,TEAM-SAP-FINANCE,1,1,1,Wipro,640000,1200000,380000,4,0.08,720,12,20,sox,wholesale,15,INIT-SAP-ERP-FUTURE,2,3,Retirement deferred until SAP ERP Future Decision concludes (which target absorbs these entities?).
APX-COMMERCE-CLOUD,Salesforce Commerce Cloud,DTC ecommerce platform; underperforming vs peer benchmark; Einstein purchased but not activated,saas_major,JavaScript,SF Commerce Cloud + Custom Cartridges,2018,saas,Salesforce-hosted (multi-tenant),mature_with_debt,1,invest,oltp,TEAM-COMMERCE,14,8,12,Accenture-extensions,4800000,14800000,0,420,8.0,36,3,12,pci|ccpa|ada,dtc|marketplaces,55,INIT-COMMERCE-OPT,8,6,Ecom mix 18.5% vs peer median 24%. Einstein bought-not-activated. Accenture $4M/yr extensions contract. Active Phase-2 work.
APX-COMMERCE-EINSTEIN,SF Commerce Einstein Recs,Salesforce Einstein recommendation engine; purchased 2022 but never activated to production traffic,saas_major,N/A (vendor-managed),SF Einstein,2022,saas,Salesforce-hosted,mature_with_debt,2,invest,ml_inference,TEAM-COMMERCE,0.5,0,2,Accenture-extensions,180000,0,0,0,0,N/A,N/A,N/A,ccpa,dtc,40,INIT-COMMERCE-OPT,1,0,BOUGHT-NOT-ACTIVATED pattern (P-IT-09 Ghost Productivity). $720K accumulated license. Activation work bundled into Commerce Cloud Optimization Move.
APX-WORKDAY-HCM,Workday Human Capital Mgmt,Core HCM for 96K employees; Phase 2 (Talent + Learning) in active rollout,saas_major,N/A,Workday,2022,saas,Workday-hosted,active_dev,1,invest,oltp,TEAM-HRIS,4,2,6,Workday-PS,1400000,18400000,0,32,0.62,168,4,9,sox|emp|ccpa,store|dtc|wholesale,45,INIT-WORKDAY-PHASE-2,2,8,Phase 2 expansion active. Year 3 of 5-yr deal. Renewal posture: extend with Phase 3 (Compensation + Performance).
APX-SERVICENOW-ITSM,ServiceNow IT Service Mgmt,ITSM + CMDB + Knowledge; CMDB trust ~62% (below industry avg); maturity program in flight,saas_major,N/A,ServiceNow,2020,saas,ServiceNow-hosted,active_dev,2,invest,oltp,TEAM-ITSM,4,2,4,ServiceNow-PS,720000,3600000,0,84,1.6,72,3,8,,store|dtc|wholesale,50,INIT-SERVICENOW-MATURITY,3,12,CMDB trust gap is downstream consumer of every kill-fitness assessment; maturity work explicitly funds CMDB cleanup.
APX-NCR-POS,NCR Counterpoint POS,POS platform across 480 stores; central admin + store-edge runtime; renegotiation window Q4 2026,saas_major,Mixed (NCR runtime),NCR Counterpoint + Custom .NET ext,2015,store_edge,480 store-edge installs + central NCR-hosted admin,mature,1,tolerate,oltp+edge,TEAM-STORE-TECH,4,2,3,NCR + Wipro-ext,2400000,6000000,1200000,32,0.62,120,3,9,pci,store,28,INIT-POS-NEGOTIATION,3,8,Vendor-locked. Q4 2026 renewal window = key negotiation leverage. Wipro extensions adds $2.4M Wipro AMS scope.
APX-PUNCHH-LOYALTY,Punchh Loyalty Platform,Customer loyalty SaaS; vendor relationship soured 2024; replacement RFP stalled 9mo,saas_major,N/A,Punchh,2019,saas,Punchh-hosted,sunset_planned,2,eliminate,oltp+ml_inference,TEAM-CDP-LOYALTY,2,1,0,None,0,900000,0,18,0.34,168,5,16,ccpa,store|dtc,30,INIT-LOYALTY-REPLACEMENT,2,3,KILL CANDIDATE. $2.1M committed on Replacement Move. Sponsor reorganized out 6mo ago no successor named. 3 downstream consumers (Checkout DTC / NCR POS / Recs ML).
APX-CDP-SEGMENT,Segment CDP,Customer Data Platform; migrating to Salesforce Data Cloud in Phase 2 (over-scoped),saas_niche,N/A,Twilio Segment,2020,saas,Segment-hosted,sunset_planned,1,migrate,streaming+oltp,TEAM-CDP-LOYALTY,3,2,4,Salesforce-PS,1100000,1400000,0,64,1.23,96,4,11,ccpa,dtc|store,42,INIT-CDP-MIGRATION-PH2,3,4,RESTRUCTURE CANDIDATE. Phase 1 succeeded; Phase 2 scope crept (MarTech orchestration added); tracking $4.6M vs $2.8M plan; 60% complete.
APX-O9-DEMAND,o9 Solutions Demand Planning,AI-driven demand forecasting platform; implementation at 40% (~10 categories of 25); vendor signals weak,saas_major,N/A,o9 Solutions,2023,saas,o9-hosted,active_dev,2,migrate,ml_inference+batch,TEAM-DEMAND-PLANNING,3,1,4,o9-PS,940000,3840000,0,18,0.34,168,5,13,,store|dtc|wholesale,52,INIT-O9-COMPLETION,4,4,RESTRUCTURE CANDIDATE. 40% implementation after 18mo. Vendor relationship weak. Replacement-not-completion is the right call per Sentinel.
APX-DATADOG,DataDog Observability,Full-stack observability (logs/metrics/traces/RUM); covers ~78% of portfolio; expanding,saas_niche,N/A,DataDog SaaS,2021,saas,DataDog-hosted,active_dev,2,invest,streaming+analytical,TEAM-PLATFORM-OBS,2,1,0,None,0,1600000,0,42,0.81,72,2,7,,store|dtc|wholesale|marketplaces,48,,4,16,Healthy. Strong adoption. Replaces legacy AppDynamics + on-prem ELK over next 18mo.
APX-ORDER-ORCH,Order Orchestration Service,Modern Java order orchestration; strangler-pattern absorbing Sterling OMS; 40% of order traffic,modern_java,Java 17,Spring Boot 3 + Kafka,2021,aws,EKS in us-east-1 + us-west-2 active-active,active_dev,1,invest,orchestration+oltp,TEAM-ORDER-MODERN,8,2,0,None,0,0,1400000,412,7.9,16,1.5,6,pci,dtc|store|marketplaces,75,INIT-ORDER-MOD,6,12,Modern showcase. Top candidate for AI productivity tool intensification (P-IT-18 stack-calibrated lift 25-40%).
APX-PRICING-SVC,Pricing Service,Real-time pricing API; absorbs from SAP-Custom-Promo + Blue Yonder; serves NCR POS and DTC,modern_java,Java 17,Spring Boot 3,2022,aws,EKS in us-east-1 + us-west-2,active_dev,1,invest,oltp,TEAM-PRICING,5,1,0,None,0,0,640000,186,3.6,32,2,8,pci,store|dtc|marketplaces,70,,5,8,Critical T1 service. Receives from Blue Yonder ($2.16M AI platform) for elasticity-based pricing.
APX-RETURNS-SVC,Returns Service,Modern .NET returns processing API; integrates fraud-ml; replaces legacy Sterling returns module,modern_dotnet,C#,.NET 8,2023,aws,ECS Fargate us-east-1,active_dev,2,invest,oltp+orchestration,TEAM-RETURNS,4,2,0,None,0,0,420000,144,2.8,40,2.5,9,pci,store|dtc|marketplaces,68,INIT-RETURNS-MOD,3,4,Strong velocity. Returns fraud detection (APX-FRAUD-ML) reduces fraud-loss 14% YoY.
APX-CHECKOUT-DTC,DTC Checkout Service,TypeScript/Node checkout API; highest change velocity in portfolio; migrating Vercel→AWS,ts_node,TypeScript,Node + Fastify,2022,aws,ECS Fargate us-east-1 (Vercel sunsetting),active_dev,1,invest,oltp,TEAM-CHECKOUT-DTC,6,1,0,None,0,0,310000,1140,21.9,8,1,4,pci|ccpa,dtc,80,INIT-CHECKOUT-AWS-MIG,4,3,Highest velocity team. Top AI tool intensification candidate (30-55% lift expected). Cursor pilot active (50 seats team-wide).
APX-DTC-STOREFRONT,DTC Storefront,Next.js storefront; serves 18.5% of revenue; integrates with Commerce Cloud headlessly,modern_fe,TypeScript,Next.js 15 + React 19,2023,aws,Vercel sunsetting → AWS ECS+CloudFront,active_dev,1,invest,oltp,TEAM-DTC-WEB,5,2,0,None,0,0,210000,820,15.8,12,1.2,5,pci|ccpa|ada,dtc,78,INIT-CHECKOUT-AWS-MIG,5,2,WCAG 2.1 AA compliance maintained. Critical Q4 traffic (Black Friday 12x peak).
APX-RECS-ML,Recommendations ML Service,Python ML service; trained nightly on Databricks; serves checkout+storefront+CDP,python_ml,Python 3.12,FastAPI + Vertex AI inference,2023,gcp,Vertex AI + GKE,active_dev,2,invest,ml_inference,TEAM-ML-COMMERCE,4,2,0,None,0,0,620000,86,1.65,48,2,7,ccpa,dtc|store,72,,4,5,Healthy ML system. Drives 11% incremental revenue lift on DTC per A/B baseline. Pattern P-IT-18: Python ML 30-45% AI productivity lift.
APX-FORECAST-AI-V2,Demand Forecasting AI v2,Modern Python forecasting using Databricks ML; replaces legacy demand-planning bolt-ons,python_ml,Python 3.12,FastAPI + Databricks ML,2024,gcp,Vertex AI + Databricks (hybrid),active_dev,2,invest,ml_inference+batch,TEAM-DEMAND-PLANNING,5,3,0,None,0,0,520000,124,2.4,36,2,8,,store|dtc|wholesale,76,INIT-FORECAST-AI-V2,3,4,FALSE-POSITIVE-DO-NOT-FLAG. $3.8M committed but tracking projected value; sponsor engaged (CFO weekly review); recent wins (inventory turn +6%); modern team. Should NOT appear in Watchlist top 10.
APX-MAINFRAME-MOD-ASSESS,Mainframe Modernization Assessment,Assessment workstream for Apex mainframe modernization sequencing and kill decision; generated from Packet 18 reference standard,mainframe,COBOL,CICS/DB2,1989,mainframe,Apex managed runtime,sunset_planned,1,migrate,assessment+batch,TEAM-MAINFRAME-LEGACY,1,0,0,Kyndryl,180000,360000,81000,12,0.20,24,2,5,sox,store|dtc,20,INIT-MAINFRAME-MOD-ASSESS,2,12,KILL CANDIDATE. Third seeded kill scenario via INIT-MAINFRAME-MOD-ASSESS. 14mo of scoping with no decision. $1.4M consulting spend. No executive sponsor for modernization because CIO wants ERP decision first.
APX-MAINFRAME-CLOSE,Financial Close Batch,Financial Close Batch in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,as400,RPG IV,Native AS/400,1999,on_prem_dist,Apex managed runtime,active_dev,2,eliminate,batch,TEAM-MAINFRAME-LEGACY,2,1,1,Kyndryl,400000,800000,180000,20,0.70,48,3,6,customs,dtc|marketplaces,24,INIT-AS400-SUNSET,2,1,Packet 18 generated extension row 2; preserve for 120-app portfolio coverage.
APX-MAINFRAME-RPT,Legacy Reporting Cube,Legacy Reporting Cube in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,legacy_java,Java 1.8,EJB 2.x,2010,on_prem_dist,Apex managed runtime,active_dev,3,migrate,orchestration,TEAM-ORDER-LEGACY,3,2,2,Wipro,620000,1240000,279000,28,1.20,72,4,7,pci,store|dtc,28,INIT-ORDER-MOD,3,2,Packet 18 generated extension row 3; preserve for 120-app portfolio coverage.
APX-AS400-ITEM,AS-400 Item Master Legacy,AS-400 Item Master Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,legacy_dotnet,C#,.NET Framework 4.7,2013,store_edge,480 store-edge footprint,active_dev,1,invest,oltp+edge,TEAM-STORE-TECH,4,3,3,Wipro,840000,1680000,378000,36,1.70,96,5,8,pci|sox,dtc|marketplaces,32,INIT-STORE-MOD,4,3,Packet 18 generated extension row 4; preserve for 120-app portfolio coverage.
APX-JAVA-SUPPLIER-ADAPTER,Supplier Adapter,Supplier Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,oracle_ebs,PL/SQL,Oracle Reports,2009,on_prem_dist,Apex managed runtime,active_dev,2,eliminate,analytical,TEAM-SAP-FINANCE,5,0,4,Wipro,1060000,2120000,477000,44,2.20,120,6,9,sox,store|dtc,36,INIT-SAP-ERP-FUTURE,5,4,Packet 18 generated extension row 5; preserve for 120-app portfolio coverage.
APX-JAVA-RETURNS-LEG,Legacy Returns Adapter,Legacy Returns Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,sfcc_extension,JavaScript,SFCC Cartridge,2019,saas,Vendor-hosted SaaS,mature_with_debt,3,invest,oltp,TEAM-COMMERCE,6,1,5,Accenture-extensions,1280000,2560000,576000,52,2.70,144,7,10,pci|ccpa|ada,dtc|marketplaces,40,INIT-COMMERCE-OPT,1,5,Packet 18 generated extension row 6; preserve for 120-app portfolio coverage.
APX-JAVA-ALLOC,Allocation Adapter,Allocation Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,saas_major,N/A,Vendor SaaS,2021,saas,Vendor-hosted SaaS,active_dev,1,invest,oltp,TEAM-ENTERPRISE-APPS,7,2,0,None,0,3000000,675000,60,3.20,168,8,11,ccpa,store|dtc,44,,2,6,Packet 18 generated extension row 7; preserve for 120-app portfolio coverage.
APX-JAVA-TAX,Tax Adapter,Tax Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,saas_niche,N/A,Vendor SaaS,2022,saas,Vendor-hosted SaaS,sunset_planned,2,invest,analytical,TEAM-PLATFORM-OBS,8,3,1,None,0,3440000,774000,68,3.70,192,9,12,,dtc|marketplaces,48,,3,7,Packet 18 generated extension row 8; preserve for 120-app portfolio coverage.
APX-JAVA-CUSTOMER,Customer Legacy Bridge,Customer Legacy Bridge in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,modern_java,Java 17,Spring Boot 3,2023,aws,Apex managed runtime,active_dev,3,invest,oltp,TEAM-ORDER-MODERN,1,0,2,None,0,3880000,873000,76,4.20,216,2,13,pci,store|dtc,52,,4,8,Packet 18 generated extension row 9; preserve for 120-app portfolio coverage.
APX-JAVA-GIFT,Gift Card Legacy Bridge,Gift Card Legacy Bridge in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,modern_dotnet,C#,.NET 8,2023,aws,Apex managed runtime,active_dev,1,invest,oltp,TEAM-STORE-TECH,2,1,3,None,0,360000,81000,84,4.70,240,3,14,pci,dtc|marketplaces,56,,5,0,Packet 18 generated extension row 10; preserve for 120-app portfolio coverage.
APX-JAVA-FULFILL,Fulfillment Adapter,Fulfillment Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,ts_node,TypeScript,Node + Fastify,2024,aws,Apex managed runtime,mature_with_debt,2,invest,oltp,TEAM-CHECKOUT-DTC,3,2,4,None,0,800000,180000,92,0.20,264,4,15,pci|ccpa,store|dtc,60,,1,1,Packet 18 generated extension row 11; preserve for 120-app portfolio coverage.
APX-JAVA-EDI-ADAPTER,EDI Adapter,EDI Adapter in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,modern_fe,TypeScript,Next.js + React,2024,aws,Apex managed runtime,active_dev,3,invest,oltp,TEAM-DTC-WEB,4,3,5,None,0,1240000,279000,100,0.70,288,5,16,ccpa|ada,dtc|marketplaces,64,,2,2,Packet 18 generated extension row 12; preserve for 120-app portfolio coverage.
APX-DOTNET-SCHED,Store Scheduling Legacy,Store Scheduling Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,python_ml,Python 3.12,FastAPI + Databricks,2024,gcp,Apex managed runtime,active_dev,1,invest,ml_inference,TEAM-ML-COMMERCE,5,0,0,None,0,1680000,378000,108,1.20,24,6,17,ccpa,store|dtc,68,,3,3,Packet 18 generated extension row 13; preserve for 120-app portfolio coverage.
APX-DOTNET-TRAINING,Store Training Legacy,Store Training Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,mobile,Swift/Kotlin,Native + React Native,2023,mobile,Apex managed runtime,active_dev,2,invest,oltp,TEAM-MOBILE,6,1,1,None,0,2120000,477000,116,1.70,48,7,18,ccpa|ada,dtc|marketplaces,20,,4,4,Packet 18 generated extension row 14; preserve for 120-app portfolio coverage.
APX-DOTNET-RPT,Store Reporting Legacy,Store Reporting Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,store_edge,C#,Windows IoT Service,2020,store_edge,480 store-edge footprint,sunset_planned,3,tolerate,edge,TEAM-STORE-TECH,7,2,2,NCR + Wipro-ext,1280000,2560000,576000,124,2.20,72,8,5,pci,store|dtc,24,,5,5,Packet 18 generated extension row 15; preserve for 120-app portfolio coverage.
APX-DOTNET-LOSS,Loss Prevention Legacy,Loss Prevention Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,data_platform,SQL/Python,Snowflake + dbt,2022,cloud_managed,Apex managed runtime,mature_with_debt,1,invest,analytical,TEAM-DATA-PLATFORM,8,3,3,None,0,3000000,675000,12,2.70,96,9,6,ccpa,dtc|marketplaces,28,,1,6,Packet 18 generated extension row 16; preserve for 120-app portfolio coverage.
APX-DOTNET-TASKS,Store Tasking Legacy,Store Tasking Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,mainframe,COBOL,CICS/DB2,1989,mainframe,Apex managed runtime,active_dev,2,migrate,batch,TEAM-MAINFRAME-LEGACY,1,0,4,Kyndryl,1720000,3440000,774000,20,3.20,120,2,7,sox,store|dtc,32,INIT-MAINFRAME-MOD-ASSESS,2,7,Packet 18 generated extension row 17; preserve for 120-app portfolio coverage.
APX-DOTNET-INTRANET,Store Intranet Legacy,Store Intranet Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,as400,RPG IV,Native AS/400,1999,on_prem_dist,Apex managed runtime,active_dev,3,eliminate,batch,TEAM-MAINFRAME-LEGACY,2,1,5,Kyndryl,1940000,3880000,873000,28,3.70,144,3,8,customs,dtc|marketplaces,36,INIT-AS400-SUNSET,3,8,Packet 18 generated extension row 18; preserve for 120-app portfolio coverage.
APX-DOTNET-KIOSKADMIN,Kiosk Admin Legacy,Kiosk Admin Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,legacy_java,Java 1.8,EJB 2.x,2010,on_prem_dist,Apex managed runtime,active_dev,1,migrate,orchestration,TEAM-ORDER-LEGACY,3,2,0,Wipro,180000,360000,81000,36,4.20,168,4,9,pci,store|dtc,40,INIT-ORDER-MOD,4,0,Packet 18 generated extension row 19; preserve for 120-app portfolio coverage.
APX-DOTNET-TIME,Store Time Clock Legacy,Store Time Clock Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,legacy_dotnet,C#,.NET Framework 4.7,2013,store_edge,480 store-edge footprint,active_dev,2,invest,oltp+edge,TEAM-STORE-TECH,4,3,1,Wipro,400000,800000,180000,44,4.70,192,5,10,pci|sox,dtc|marketplaces,44,INIT-STORE-MOD,5,1,Packet 18 generated extension row 20; preserve for 120-app portfolio coverage.
APX-ORACLE-GL-POCKET,Oracle GL Pocket,Oracle GL Pocket in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,oracle_ebs,PL/SQL,Oracle Reports,2009,on_prem_dist,Apex managed runtime,mature_with_debt,3,eliminate,analytical,TEAM-SAP-FINANCE,5,0,2,Wipro,620000,1240000,279000,52,0.20,216,6,11,sox,store|dtc,48,INIT-SAP-ERP-FUTURE,1,2,Packet 18 generated extension row 21; preserve for 120-app portfolio coverage.
APX-ORACLE-INTL,Oracle International Entity,Oracle International Entity in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,sfcc_extension,JavaScript,SFCC Cartridge,2019,saas,Vendor-hosted SaaS,sunset_planned,1,invest,oltp,TEAM-COMMERCE,6,1,3,Accenture-extensions,840000,1680000,378000,60,0.70,240,7,12,pci|ccpa|ada,dtc|marketplaces,52,INIT-COMMERCE-OPT,2,3,Packet 18 generated extension row 22; preserve for 120-app portfolio coverage.
APX-ORACLE-TAX-LEG,Oracle Tax Legacy,Oracle Tax Legacy in the Apex synthetic portfolio; generated from the Packet 18 reference standard for enterprise-scale dependency and cost reasoning,saas_major,N/A,Vendor SaaS,2021,saas,Vendor-hosted SaaS,active_dev,2,invest,oltp,TEAM-ENTERPRISE-APPS,7,2,4,None,0,2120000,477000,68,1.20,264,8,13,ccpa,store|dtc,56,,3,4,Packet 18 generated extension row 23; preserve for 120-app portfolio coverage.
