ai_portfolio_key,tenant_key,item_name,item_kind,vendor_name,system_name,ai_spend_type,ai_spend_category,funding_status,decision_lane,approved_funding_usd,ai_tagged_spend_usd,promised_value_usd,finance_validated_value_usd,usage_metric,usage_actual,adoption_rate_pct,value_score,readiness_score,risk_score,duplicate_risk,value_claim_status,tower_claim_allowed,caveat,source_file,source_row
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0006::moves-business-case-before-funding,meridian-health,Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0006
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0007::moves-business-case-before-funding,meridian-health,Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0007
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0008::moves-business-case-before-funding,meridian-health,Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0008
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0009::moves-business-case-before-funding,meridian-health,Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0009
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0010::moves-business-case-before-funding,meridian-health,Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0010
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0011::moves-business-case-before-funding,meridian-health,Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0011
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0012::moves-business-case-before-funding,meridian-health,Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0012
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0013::moves-business-case-before-funding,meridian-health,End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0013
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0014::moves-business-case-before-funding,meridian-health,End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0014
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0015::moves-business-case-before-funding,meridian-health,End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0015
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0016::moves-business-case-before-funding,meridian-health,Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0016
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0017::moves-business-case-before-funding,meridian-health,Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0017
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0018::moves-business-case-before-funding,meridian-health,Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0018
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0019::moves-business-case-before-funding,meridian-health,Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0019
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0020::moves-business-case-before-funding,meridian-health,Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0020
meridian-health::tower_command_mart_v1::ai-candidate::mer-v3-0021::moves-business-case-before-funding,meridian-health,Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-V3-0021
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0001::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0001
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0002::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0002
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0003::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0003
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0004::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0004
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0005::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0005
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0006::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0006
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0007::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0007
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0008::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0008
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0009::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0009
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0010::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0010
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0011::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0011
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0012::moves-business-case-before-funding,meridian-health,CEO / Enterprise Strategy: End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0012
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0013::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0013
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0014::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0014
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0015::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0015
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0016::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0016
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0017::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0017
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0018::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0018
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0019::moves-business-case-before-funding,meridian-health,AI Benefits Realization Ledger,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0019
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0020::moves-business-case-before-funding,meridian-health,Member Service Agent Assist Transformation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0020
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0021::moves-business-case-before-funding,meridian-health,AI Governance / Model Risk Controls,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0021
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0022::moves-business-case-before-funding,meridian-health,Contact Center Platform / Knowledge Modernization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0022
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0023::moves-business-case-before-funding,meridian-health,FY26 AI spend governance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Interview-derived context only; requires source-system and finance evidence before budget or value claims.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0023
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0024::moves-business-case-before-funding,meridian-health,CFO / Finance & Value: Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0024
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0025::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0025
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0026::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0026
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0027::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0027
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0028::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0028
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0029::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Automated close and reporting,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0029
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0030::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Unified clinical + claims lakehouse,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0030
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0031::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Governed data foundation for AI / LLM automation,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0031
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0032::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Call center optimization,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0032
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0033::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Provider quality and performance,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0033
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0034::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: End-to-end cost transparency,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0034
meridian-health::tower_command_mart_v1::ai-candidate::mer-sa07-10-ai-automation-use-cases-0035::moves-business-case-before-funding,meridian-health,CIO / Enterprise Technology: Payment integrity and leakage reduction,candidate_opportunity,,,candidate_ai_opportunity,not_approved,not_approved,freeze,0,0,0,0,,,,58,28,82,candidate_not_funded,not_claimable,no,Preserved legacy candidate context. Not funded and not claimable.,10_ai_automation_use_cases.csv,MER-SA07-10_AI_AUTOMATION_USE_CASES-0035
