entity_type,stable_id,display_name,projected_domain,projected_row_identity
leader,LEADER-016,Finance,org_ownership,Finance
leader,LEADER-016,Finance,business_functions,Finance
leader,LEADER-016,Finance,programs_initiatives,Finance
application,SYS-012,General ledger and close reporting,applications_systems,General ledger and close reporting
leader,LEADER-017,Network Contracting,org_ownership,Network Contracting
leader,LEADER-017,Network Contracting,business_functions,Network Contracting
leader,LEADER-017,Network Contracting,programs_initiatives,Network Contracting
application,SYS-013,Provider contract repository,applications_systems,Provider contract repository
leader,LEADER-018,Technology Platform,org_ownership,Technology Platform
leader,LEADER-018,Technology Platform,business_functions,Technology Platform
leader,LEADER-018,Technology Platform,programs_initiatives,Technology Platform
application,SYS-014,AWS analytics foundation,applications_systems,AWS analytics foundation
leader,LEADER-019,Data Platform,org_ownership,Data Platform
leader,LEADER-019,Data Platform,business_functions,Data Platform
leader,LEADER-019,Data Platform,programs_initiatives,Data Platform
application,SYS-015,Databricks on AWS,applications_systems,Databricks on AWS
leader,LEADER-020,Workplace Technology,org_ownership,Workplace Technology
leader,LEADER-020,Workplace Technology,business_functions,Workplace Technology
leader,LEADER-020,Workplace Technology,programs_initiatives,Workplace Technology
application,SYS-016,Microsoft 365 Copilot,applications_systems,Microsoft 365 Copilot
leader,LEADER-021,Engineering,org_ownership,Engineering
leader,LEADER-021,Engineering,business_functions,Engineering
leader,LEADER-021,Engineering,programs_initiatives,Engineering
application,SYS-017,GitHub Copilot Enterprise,applications_systems,GitHub Copilot Enterprise
leader,LEADER-022,Service Management,org_ownership,Service Management
leader,LEADER-022,Service Management,business_functions,Service Management
leader,LEADER-022,Service Management,programs_initiatives,Service Management
application,SYS-018,ServiceNow AI / Now Assist,applications_systems,ServiceNow AI / Now Assist
leader,LEADER-023,HR / Finance,org_ownership,HR / Finance
leader,LEADER-023,HR / Finance,business_functions,HR / Finance
leader,LEADER-023,HR / Finance,programs_initiatives,HR / Finance
application,SYS-019,Workday AI,applications_systems,Workday AI
leader,LEADER-024,Member Experience,org_ownership,Member Experience
leader,LEADER-024,Member Experience,business_functions,Member Experience
leader,LEADER-024,Member Experience,programs_initiatives,Member Experience
application,SYS-020,Genesys AI Routing and Knowledge,applications_systems,Genesys AI Routing and Knowledge
platform,PLAT-001,Epic Hyperspace,infrastructure_platforms,Epic Hyperspace
platform,PLAT-002,Epic Clarity,infrastructure_platforms,Epic Clarity
platform,PLAT-003,Epic Caboodle,infrastructure_platforms,Epic Caboodle
platform,PLAT-004,On-prem SQL Server reporting marts,infrastructure_platforms,On-prem SQL Server reporting marts
platform,PLAT-005,Tableau reporting estate,infrastructure_platforms,Tableau reporting estate
platform,PLAT-006,SAS analytics estate,infrastructure_platforms,SAS analytics estate
platform,PLAT-007,Power BI reporting estate,infrastructure_platforms,Power BI reporting estate
platform,PLAT-008,Claims administration platform,infrastructure_platforms,Claims administration platform
platform,PLAT-009,Pharmacy claims platform,infrastructure_platforms,Pharmacy claims platform
platform,PLAT-010,CRM / member case management,infrastructure_platforms,CRM / member case management
platform,PLAT-011,Contact center transcript and telephony platform,infrastructure_platforms,Contact center transcript and telephony platform
platform,PLAT-012,General ledger and close reporting,infrastructure_platforms,General ledger and close reporting
platform,PLAT-013,Provider contract repository,infrastructure_platforms,Provider contract repository
platform,PLAT-014,AWS analytics foundation,infrastructure_platforms,AWS analytics foundation
platform,PLAT-015,Databricks on AWS,infrastructure_platforms,Databricks on AWS
vendor,VENDOR-001,Epic,vendors_contracts,Epic
contract,CONTRACT-001,Epic-contract,vendors_contracts,Epic-contract
vendor,VENDOR-002,Microsoft,vendors_contracts,Microsoft
contract,CONTRACT-002,Microsoft-contract,vendors_contracts,Microsoft-contract
vendor,VENDOR-003,Tableau,vendors_contracts,Tableau
contract,CONTRACT-003,Tableau-contract,vendors_contracts,Tableau-contract
vendor,VENDOR-004,SAS,vendors_contracts,SAS
contract,CONTRACT-004,SAS-contract,vendors_contracts,SAS-contract
vendor,VENDOR-005,Outsourced analytics managed services provider,vendors_contracts,Outsourced analytics managed services provider
contract,CONTRACT-005,Outsourced analytics managed services provider-contract,vendors_contracts,Outsourced analytics managed services provider-contract
vendor,VENDOR-006,Amazon Web Services,vendors_contracts,Amazon Web Services
contract,CONTRACT-006,Amazon Web Services-contract,vendors_contracts,Amazon Web Services-contract
vendor,VENDOR-007,Databricks,vendors_contracts,Databricks
contract,CONTRACT-007,Databricks-contract,vendors_contracts,Databricks-contract
vendor,VENDOR-008,GitHub,vendors_contracts,GitHub
contract,CONTRACT-008,GitHub-contract,vendors_contracts,GitHub-contract
vendor,VENDOR-009,Workday,vendors_contracts,Workday
contract,CONTRACT-009,Workday-contract,vendors_contracts,Workday-contract
vendor,VENDOR-010,ServiceNow,vendors_contracts,ServiceNow
contract,CONTRACT-010,ServiceNow-contract,vendors_contracts,ServiceNow-contract
spend_line,SPEND-001,Unified clinical + claims lakehouse value hypothesis,spend_value,Unified clinical + claims lakehouse value hypothesis
spend_line,SPEND-002,Governed data foundation for AI / LLM automation value hypothesis,spend_value,Governed data foundation for AI / LLM automation value hypothesis
spend_line,SPEND-003,Call center optimization value hypothesis,spend_value,Call center optimization value hypothesis
spend_line,SPEND-004,Provider quality and performance value hypothesis,spend_value,Provider quality and performance value hypothesis
spend_line,SPEND-005,End-to-end cost transparency value hypothesis,spend_value,End-to-end cost transparency value hypothesis
spend_line,SPEND-006,Payment integrity and leakage reduction value hypothesis,spend_value,Payment integrity and leakage reduction value hypothesis
spend_line,SPEND-007,Automated close and reporting value hypothesis,spend_value,Automated close and reporting value hypothesis
spend_line,SPEND-008,Epic clinical/EHR run support FY26 budget,spend_value,Epic clinical/EHR run support FY26 budget
spend_line,SPEND-009,Payer claims/core admin run support FY26 budget,spend_value,Payer claims/core admin run support FY26 budget
spend_line,SPEND-010,"ERP, revenue cycle, and corporate apps support FY26 budget",spend_value,"ERP, revenue cycle, and corporate apps support FY26 budget"
spend_line,SPEND-011,Integration and middleware run support FY26 budget,spend_value,Integration and middleware run support FY26 budget
spend_line,SPEND-012,Quality/regulatory reporting app support FY26 budget,spend_value,Quality/regulatory reporting app support FY26 budget
spend_line,SPEND-013,Workday HR/finance platform run and AI-enabled workflow support FY26 budget,spend_value,Workday HR/finance platform run and AI-enabled workflow support FY26 budget
spend_line,SPEND-014,Hybrid infrastructure and data center operations FY26 budget,spend_value,Hybrid infrastructure and data center operations FY26 budget
spend_line,SPEND-015,Cloud consumption and platform run FY26 budget,spend_value,Cloud consumption and platform run FY26 budget
spend_line,SPEND-016,"Network, telecom, and connectivity FY26 budget",spend_value,"Network, telecom, and connectivity FY26 budget"
spend_line,SPEND-017,Database and middleware operations FY26 budget,spend_value,Database and middleware operations FY26 budget
spend_line,SPEND-018,"Backup, DR, monitoring, observability FY26 budget",spend_value,"Backup, DR, monitoring, observability FY26 budget"
spend_line,SPEND-019,EHR managed services / release support FY26 budget,spend_value,EHR managed services / release support FY26 budget
spend_line,SPEND-020,Enterprise application managed services FY26 budget,spend_value,Enterprise application managed services FY26 budget
spend_line,SPEND-021,Infrastructure managed services FY26 budget,spend_value,Infrastructure managed services FY26 budget
spend_line,SPEND-022,Security managed services FY26 budget,spend_value,Security managed services FY26 budget
spend_line,SPEND-023,Service desk managed services FY26 budget,spend_value,Service desk managed services FY26 budget
spend_line,SPEND-024,Data & analytics AMS / SI support FY26 budget,spend_value,Data & analytics AMS / SI support FY26 budget
spend_line,SPEND-025,"SOC, MDR, SIEM operations FY26 budget",spend_value,"SOC, MDR, SIEM operations FY26 budget"
spend_line,SPEND-026,IAM / PAM run operations FY26 budget,spend_value,IAM / PAM run operations FY26 budget
spend_line,SPEND-027,Privacy / PHI compliance tooling FY26 budget,spend_value,Privacy / PHI compliance tooling FY26 budget
spend_line,SPEND-028,Endpoint protection FY26 budget,spend_value,Endpoint protection FY26 budget
spend_line,SPEND-029,GRC and audit tooling FY26 budget,spend_value,GRC and audit tooling FY26 budget
spend_line,SPEND-030,BI/reporting operations FY26 budget,spend_value,BI/reporting operations FY26 budget
spend_line,SPEND-031,Data pipeline operations FY26 budget,spend_value,Data pipeline operations FY26 budget
spend_line,SPEND-032,SQL/Tableau/Power BI platform support FY26 budget,spend_value,SQL/Tableau/Power BI platform support FY26 budget
spend_line,SPEND-033,Data quality/governance operations FY26 budget,spend_value,Data quality/governance operations FY26 budget
spend_line,SPEND-034,Analytics platform support FY26 budget,spend_value,Analytics platform support FY26 budget
spend_line,SPEND-035,Microsoft 365 / collaboration licenses FY26 budget,spend_value,Microsoft 365 / collaboration licenses FY26 budget
spend_line,SPEND-036,Service desk operations FY26 budget,spend_value,Service desk operations FY26 budget
spend_line,SPEND-037,Endpoint management FY26 budget,spend_value,Endpoint management FY26 budget
spend_line,SPEND-038,Collaboration adoption/change support FY26 budget,spend_value,Collaboration adoption/change support FY26 budget
spend_line,SPEND-039,Databricks/lakehouse modernization FY26 budget,spend_value,Databricks/lakehouse modernization FY26 budget
spend_line,SPEND-040,Patient/member identity spine FY26 budget,spend_value,Patient/member identity spine FY26 budget
spend_line,SPEND-041,Claims/clinical/pharmacy harmonization FY26 budget,spend_value,Claims/clinical/pharmacy harmonization FY26 budget
spend_line,SPEND-042,Certified semantic layer FY26 budget,spend_value,Certified semantic layer FY26 budget
spend_line,SPEND-043,Data catalog/governance controls FY26 budget,spend_value,Data catalog/governance controls FY26 budget
spend_line,SPEND-044,Data migration and validation FY26 budget,spend_value,Data migration and validation FY26 budget
spend_line,SPEND-045,API gateway modernization FY26 budget,spend_value,API gateway modernization FY26 budget
spend_line,SPEND-046,EHR/claims integration modernization FY26 budget,spend_value,EHR/claims integration modernization FY26 budget
spend_line,SPEND-047,HL7/FHIR event streaming FY26 budget,spend_value,HL7/FHIR event streaming FY26 budget
spend_line,SPEND-048,Provider/member API enablement FY26 budget,spend_value,Provider/member API enablement FY26 budget
spend_line,SPEND-049,Integration observability FY26 budget,spend_value,Integration observability FY26 budget
spend_line,SPEND-050,Developer productivity AI and SDLC automation FY26 budget,spend_value,Developer productivity AI and SDLC automation FY26 budget
spend_line,SPEND-051,Zero trust / IAM uplift FY26 budget,spend_value,Zero trust / IAM uplift FY26 budget
spend_line,SPEND-052,PHI access logging and monitoring FY26 budget,spend_value,PHI access logging and monitoring FY26 budget
spend_line,SPEND-053,PAM uplift FY26 budget,spend_value,PAM uplift FY26 budget
spend_line,SPEND-054,Security data lake FY26 budget,spend_value,Security data lake FY26 budget
spend_line,SPEND-055,Audit automation FY26 budget,spend_value,Audit automation FY26 budget
spend_line,SPEND-056,Epic Cogito quality analytics FY26 budget,spend_value,Epic Cogito quality analytics FY26 budget
spend_line,SPEND-057,Clinical operations dashboarding FY26 budget,spend_value,Clinical operations dashboarding FY26 budget
spend_line,SPEND-058,Revenue cycle analytics FY26 budget,spend_value,Revenue cycle analytics FY26 budget
spend_line,SPEND-059,Population health measures FY26 budget,spend_value,Population health measures FY26 budget
spend_line,SPEND-060,Clinical data validation FY26 budget,spend_value,Clinical data validation FY26 budget
spend_line,SPEND-061,Contact center platform modernization FY26 budget,spend_value,Contact center platform modernization FY26 budget
spend_line,SPEND-062,CRM/member service workflow FY26 budget,spend_value,CRM/member service workflow FY26 budget
spend_line,SPEND-063,Telephony/routing modernization FY26 budget,spend_value,Telephony/routing modernization FY26 budget
spend_line,SPEND-064,Knowledge base migration FY26 budget,spend_value,Knowledge base migration FY26 budget
spend_line,SPEND-065,Agent knowledge foundation FY26 budget,spend_value,Agent knowledge foundation FY26 budget
spend_line,SPEND-066,Cloud tagging/showback FY26 budget,spend_value,Cloud tagging/showback FY26 budget
spend_line,SPEND-067,Reserved capacity optimization FY26 budget,spend_value,Reserved capacity optimization FY26 budget
spend_line,SPEND-068,Cloud security posture FY26 budget,spend_value,Cloud security posture FY26 budget
spend_line,SPEND-069,Landing zone automation FY26 budget,spend_value,Landing zone automation FY26 budget
spend_line,SPEND-070,Data product operating model FY26 budget,spend_value,Data product operating model FY26 budget
spend_line,SPEND-071,Domain ownership / stewardship FY26 budget,spend_value,Domain ownership / stewardship FY26 budget
spend_line,SPEND-072,Data product training FY26 budget,spend_value,Data product training FY26 budget
spend_line,SPEND-073,Quality/control framework FY26 budget,spend_value,Quality/control framework FY26 budget
spend_line,SPEND-074,AI policy and controls FY26 budget,spend_value,AI policy and controls FY26 budget
spend_line,SPEND-075,Model inventory and risk register FY26 budget,spend_value,Model inventory and risk register FY26 budget
spend_line,SPEND-076,HITL/privacy validation FY26 budget,spend_value,HITL/privacy validation FY26 budget
spend_line,SPEND-077,AI adoption/change enablement FY26 budget,spend_value,AI adoption/change enablement FY26 budget
program,PRG-001,Unified clinical + claims lakehouse,programs_initiatives,Unified clinical + claims lakehouse
program,PRG-002,Governed data foundation for AI / LLM automation,programs_initiatives,Governed data foundation for AI / LLM automation
program,PRG-003,Call center optimization,programs_initiatives,Call center optimization
program,PRG-004,Provider quality and performance,programs_initiatives,Provider quality and performance
program,PRG-005,End-to-end cost transparency,programs_initiatives,End-to-end cost transparency
program,PRG-006,Payment integrity and leakage reduction,programs_initiatives,Payment integrity and leakage reduction
program,PRG-007,Automated close and reporting,programs_initiatives,Automated close and reporting
program,PRG-008,Data Foundation / Lakehouse Modernization,programs_initiatives,Data Foundation / Lakehouse Modernization
program,PRG-009,Integration / API Modernization,programs_initiatives,Integration / API Modernization
program,PRG-010,Developer Productivity AI / SDLC Automation,programs_initiatives,Developer Productivity AI / SDLC Automation
program,PRG-011,Cybersecurity / Identity / PHI Control Uplift,programs_initiatives,Cybersecurity / Identity / PHI Control Uplift
program,PRG-012,EHR / Clinical Analytics Modernization,programs_initiatives,EHR / Clinical Analytics Modernization
program,PRG-013,Contact Center Platform / Knowledge Modernization,programs_initiatives,Contact Center Platform / Knowledge Modernization
program,PRG-014,Cloud Cost Governance / FinOps,programs_initiatives,Cloud Cost Governance / FinOps
program,PRG-015,Enterprise Data Product Operating Model,programs_initiatives,Enterprise Data Product Operating Model
program,PRG-016,AI Governance / Model Risk Controls,programs_initiatives,AI Governance / Model Risk Controls
program,PRG-017,Managed Services Optimization,programs_initiatives,Managed Services Optimization
program,PRG-018,Microsoft 365 Copilot Productivity Enablement,programs_initiatives,Microsoft 365 Copilot Productivity Enablement
program,PRG-019,ServiceNow AI / ITSM Automation Pilot,programs_initiatives,ServiceNow AI / ITSM Automation Pilot
program,PRG-020,Workday HR/Finance AI Workflow Pilot,programs_initiatives,Workday HR/Finance AI Workflow Pilot
program,PRG-021,Member Service AI Assist Candidate,programs_initiatives,Member Service AI Assist Candidate
ai_use_case,AI-001,Unified clinical + claims lakehouse,ai_automation_use_cases,Unified clinical + claims lakehouse
ai_use_case,AI-002,Governed data foundation for AI / LLM automation,ai_automation_use_cases,Governed data foundation for AI / LLM automation
ai_use_case,AI-003,Call center optimization,ai_automation_use_cases,Call center optimization
ai_use_case,AI-004,Provider quality and performance,ai_automation_use_cases,Provider quality and performance
ai_use_case,AI-005,End-to-end cost transparency,ai_automation_use_cases,End-to-end cost transparency
ai_use_case,AI-006,Payment integrity and leakage reduction,ai_automation_use_cases,Payment integrity and leakage reduction
ai_use_case,AI-007,Automated close and reporting,ai_automation_use_cases,Automated close and reporting
ai_use_case,AI-008,Member Service AI Assist,ai_automation_use_cases,Member Service AI Assist
ai_use_case,AI-009,Contact Center Knowledge Assist,ai_automation_use_cases,Contact Center Knowledge Assist
ai_use_case,AI-010,Claims / Eligibility Inquiry Assist,ai_automation_use_cases,Claims / Eligibility Inquiry Assist
ai_use_case,AI-011,Clinical Operations Documentation Assist,ai_automation_use_cases,Clinical Operations Documentation Assist
ai_use_case,AI-012,Revenue Cycle Exception Triage,ai_automation_use_cases,Revenue Cycle Exception Triage
ai_use_case,AI-013,Workforce Productivity / Policy Assist,ai_automation_use_cases,Workforce Productivity / Policy Assist
ai_use_case,AI-014,ServiceNow ITSM Virtual Agent / Ticket Summary,ai_automation_use_cases,ServiceNow ITSM Virtual Agent / Ticket Summary
ai_use_case,AI-015,Workday HR/Finance Workflow Assist,ai_automation_use_cases,Workday HR/Finance Workflow Assist
ai_use_case,AI-016,Developer Productivity Code Assist,ai_automation_use_cases,Developer Productivity Code Assist
risk,RISK-001,No certified medallion architecture,risks_controls,No certified medallion architecture
risk,RISK-002,No patient/member identity spine loaded,risks_controls,No patient/member identity spine loaded
risk,RISK-003,Claims and pharmacy harmonization not proven,risks_controls,Claims and pharmacy harmonization not proven
risk,RISK-004,AWS/Databricks foundation not ready,risks_controls,AWS/Databricks foundation not ready
risk,RISK-005,No formal data governance,risks_controls,No formal data governance
risk,RISK-006,No certified semantic layer,risks_controls,No certified semantic layer
risk,RISK-007,No AI audit trail evidence,risks_controls,No AI audit trail evidence
risk,RISK-008,Data quality rules not loaded,risks_controls,Data quality rules not loaded
risk,RISK-009,Transcript governance not loaded,risks_controls,Transcript governance not loaded
risk,RISK-010,Real-time integration not proven,risks_controls,Real-time integration not proven
risk,RISK-011,Intent taxonomy not certified,risks_controls,Intent taxonomy not certified
risk,RISK-012,Member identity linkage not proven,risks_controls,Member identity linkage not proven
risk,RISK-013,Measure logic fragmented across BI tools,risks_controls,Measure logic fragmented across BI tools
risk,RISK-014,Attribution ownership not proven,risks_controls,Attribution ownership not proven
risk,RISK-015,Provider contract linkage not certified,risks_controls,Provider contract linkage not certified
risk,RISK-016,Near-real-time quality layer not proven,risks_controls,Near-real-time quality layer not proven
risk,RISK-017,Provider contract terms not digitized in governed form,risks_controls,Provider contract terms not digitized in governed form
risk,RISK-018,Claims and GL calendar alignment not proven,risks_controls,Claims and GL calendar alignment not proven
risk,RISK-019,Cost allocation rules not loaded,risks_controls,Cost allocation rules not loaded
risk,RISK-020,Margin semantic model not certified,risks_controls,Margin semantic model not certified
risk,RISK-021,Rules and model lineage not governed,risks_controls,Rules and model lineage not governed
risk,RISK-022,Provider entity resolution not proven,risks_controls,Provider entity resolution not proven
risk,RISK-023,Investigation workflow evidence not loaded,risks_controls,Investigation workflow evidence not loaded
risk,RISK-024,Recovery realization tracking not loaded,risks_controls,Recovery realization tracking not loaded
risk,RISK-025,Manual reporting maintenance load,risks_controls,Manual reporting maintenance load
risk,RISK-026,Certified finance semantic layer not loaded,risks_controls,Certified finance semantic layer not loaded
risk,RISK-027,Close workflow integration not proven,risks_controls,Close workflow integration not proven
risk,RISK-028,Metric governance not formalized,risks_controls,Metric governance not formalized
industry_pattern,PATTERN-001,Unified clinical + claims lakehouse pattern,industry_context_patterns,Unified clinical + claims lakehouse pattern
industry_pattern,PATTERN-002,Governed data foundation for AI / LLM automation pattern,industry_context_patterns,Governed data foundation for AI / LLM automation pattern
industry_pattern,PATTERN-003,Call center optimization pattern,industry_context_patterns,Call center optimization pattern
industry_pattern,PATTERN-004,Provider quality and performance pattern,industry_context_patterns,Provider quality and performance pattern
industry_pattern,PATTERN-005,End-to-end cost transparency pattern,industry_context_patterns,End-to-end cost transparency pattern
industry_pattern,PATTERN-006,Payment integrity and leakage reduction pattern,industry_context_patterns,Payment integrity and leakage reduction pattern
industry_pattern,PATTERN-007,Automated close and reporting pattern,industry_context_patterns,Automated close and reporting pattern
expert_lens,LENS-001,Unified clinical + claims lakehouse pattern,expert_lenses,Unified clinical + claims lakehouse pattern
expert_lens,LENS-002,Governed data foundation for AI / LLM automation pattern,expert_lenses,Governed data foundation for AI / LLM automation pattern
expert_lens,LENS-003,Call center optimization pattern,expert_lenses,Call center optimization pattern
expert_lens,LENS-004,Provider quality and performance pattern,expert_lenses,Provider quality and performance pattern
expert_lens,LENS-005,End-to-end cost transparency pattern,expert_lenses,End-to-end cost transparency pattern
expert_lens,LENS-006,Payment integrity and leakage reduction pattern,expert_lenses,Payment integrity and leakage reduction pattern
expert_lens,LENS-007,Automated close and reporting pattern,expert_lenses,Automated close and reporting pattern
