tenant,domain,blocking_reason,blocker_class,source_evidence,proposed_repair,affected_dependent_domains,code_owner,data_owner,acceptance_test
apex-retail,applications_systems.vendor,resolves_to=vendors_contracts.vendor_name rate=4.92% status=blocker,audit_rule_defect,"applications_systems.vendor: 110/122 sampled values are ID-shaped (e.g. ""VDR-00001""), but vendors_contracts.vendor_name holds display names, not matching IDs -- and no shared ID field currently exists in the v3 schema for this domain pair.","Do not treat this as a data defect. Either add a real foreign-key ID column to both domains (Phase B's scenario model), or correct/retire this rule until one exists.",vendors_contracts,datasets/tenant-inputs/templates/universal/standard-2026-07-v4-candidate/semantic-quality-rules.json,n/a,applications_systems.vendor resolution_rate_pct >= 80% for apex-retail on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
apex-retail,data_assets_integrations.source_system,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"data_assets_integrations.source_system: 235/235 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,data_assets_integrations.source_system resolution_rate_pct >= 80% for apex-retail on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
apex-retail,metrics_outcomes.data_source,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"metrics_outcomes.data_source: 108/108 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,metrics_outcomes.data_source resolution_rate_pct >= 80% for apex-retail on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
first-capital-financial,business_functions,"substantively_empty_despite_row_count: 27 rows, 0 pass the substantive-row rule for business_functions",synthetic_domain_thin,"business_functions: 27 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"business_functions.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,workforce_roles,distinct_identity_count 16 below minimum 25 for this company-size band,synthetic_domain_thin,"workforce_roles: 16 distinct identities, below the 25 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"workforce_roles.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,infrastructure_platforms,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,infrastructure_platforms: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"infrastructure_platforms.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,spend_value,substantive_coverage_pct 25% below minimum 60% | distinct_identity_count 8 below minimum 10 for this company-size band,synthetic_domain_thin,"spend_value: 8 distinct identities, below the 10 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"spend_value.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,ai_automation_use_cases,"substantively_empty_despite_row_count: 146 rows, 0 pass the substantive-row rule for ai_automation_use_cases",synthetic_domain_thin,"ai_automation_use_cases: 146 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"ai_automation_use_cases.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,relationships,distinct_identity_count 18 below minimum 100 for this company-size band,synthetic_domain_thin,"relationships: 18 distinct identities, below the 100 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"relationships.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,industry_context_patterns,"substantively_empty_despite_row_count: 151 rows, 0 pass the substantive-row rule for industry_context_patterns",synthetic_domain_thin,"industry_context_patterns: 151 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"industry_context_patterns.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,expert_lenses,"substantively_empty_despite_row_count: 5 rows, 0 pass the substantive-row rule for expert_lenses",synthetic_domain_thin,"expert_lenses: 5 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"expert_lenses.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,service_scope_managed_services,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,service_scope_managed_services: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"service_scope_managed_services.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,operational_process_evidence,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,operational_process_evidence: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"operational_process_evidence.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,evidence_sources,source_owner coverage 0% below 50%,synthetic_domain_thin,evidence_sources: source_owner coverage 0% below 50%,Needs manual review -- no deterministic classification rule matched this blocking reason.,,n/a,governed synthetic-data enrichment (Phase D/E),"evidence_sources.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,evidence_items,evidence_items: 215 evidence items are normalized-content duplicates of another item under the same source,synthetic_boilerplate,evidence_items: 215 evidence items are normalized-content duplicates of another item under the same source,Generate distinct evidence content per source (Phase F).,,n/a,governed synthetic-data enrichment (Phase F),"evidence_items.semantic_status === ""semantic_pass"" for first-capital-financial on Gate 2 rerun"
first-capital-financial,executive_interviews,"executive_interviews: the v4-candidate executive_interviews schema has no persisted foreign key (evidence_id/source_record_id) back to its derived evidence_items row -- correspondence exists only positionally inside the migration script, not as an auditable column",migration_defect,"executive_interviews: the v4-candidate executive_interviews schema has no persisted foreign key (evidence_id/source_record_id) back to its derived evidence_items row -- correspondence exists only positionally inside the migration script, not as an auditable column",Fix in evidence-v4-migration-dry-run.mjs's interview resolution (Phase C for meridian; schema fix affects all tenants).,,scripts/data-build/evidence-v4-migration-dry-run.mjs,n/a,executive_interviews meets Phase E's hard targets for first-capital-financial on Gate 2 rerun
first-capital-financial,executive_interviews,"executive_interviews: 67.16% of answer words are scaffold words recurring in 60%+ of same-question answers -- 216 lexically distinct answers across 216 rows still share one heavily templated sentence structure, not 216 independent insights",synthetic_boilerplate,"executive_interviews: 67.16% of answer words are scaffold words recurring in 60%+ of same-question answers -- 216 lexically distinct answers across 216 rows still share one heavily templated sentence structure, not 216 independent insights",Replace the templated interview generator with stakeholder/tenant-grounded generation (Phase E).,,n/a,interview generator redesign (Phase E),executive_interviews meets Phase E's hard targets for first-capital-financial on Gate 2 rerun
first-capital-financial,applications_systems.vendor,resolves_to=vendors_contracts.vendor_name rate=0% status=blocker,audit_rule_defect,"applications_systems.vendor: 212/212 sampled values are ID-shaped (e.g. ""VDR-00001""), but vendors_contracts.vendor_name holds display names, not matching IDs -- and no shared ID field currently exists in the v3 schema for this domain pair.","Do not treat this as a data defect. Either add a real foreign-key ID column to both domains (Phase B's scenario model), or correct/retire this rule until one exists.",vendors_contracts,datasets/tenant-inputs/templates/universal/standard-2026-07-v4-candidate/semantic-quality-rules.json,n/a,applications_systems.vendor resolution_rate_pct >= 80% for first-capital-financial on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
first-capital-financial,data_assets_integrations.source_system,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"data_assets_integrations.source_system: 114/114 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,data_assets_integrations.source_system resolution_rate_pct >= 80% for first-capital-financial on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
first-capital-financial,metrics_outcomes.data_source,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"metrics_outcomes.data_source: 157/157 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,metrics_outcomes.data_source resolution_rate_pct >= 80% for first-capital-financial on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
first-capital-financial,executive_interviews.initiative_link,resolves_to=programs_initiatives.program_name OR ai_automation_use_cases.use_case_name rate=0% status=blocker,referential_identity_defect,"executive_interviews.initiative_link: 216 sampled values look like genuine distinct names/content (e.g. ""Digital Banking Modernization"", ""Personalized digital banking insights""), but only 0% resolve against programs_initiatives.program_name OR ai_automation_use_cases.use_case_name.","These were generated independently and don't share identities. Needs ID-based cross-referencing from one connected scenario model (Phase B), not string-matching.",programs_initiatives,n/a,Phase B scenario model / Phase D enrichment,executive_interviews.initiative_link resolution_rate_pct >= 80% for first-capital-financial on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
lakeshore-holdings,business_functions,"substantively_empty_despite_row_count: 14 rows, 0 pass the substantive-row rule for business_functions",synthetic_domain_thin,"business_functions: 14 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"business_functions.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,applications_systems,distinct_identity_count 24 below minimum 25 for this company-size band,synthetic_domain_thin,"applications_systems: 24 distinct identities, below the 25 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"applications_systems.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,data_assets_integrations,distinct_identity_count 34 below minimum 40 for this company-size band,synthetic_domain_thin,"data_assets_integrations: 34 distinct identities, below the 40 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"data_assets_integrations.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,infrastructure_platforms,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,infrastructure_platforms: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"infrastructure_platforms.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,spend_value,substantive_coverage_pct 1.16% below minimum 60%,synthetic_domain_thin,"spend_value: 86 distinct identities, below the 5 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"spend_value.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,ai_automation_use_cases,"substantively_empty_despite_row_count: 8 rows, 0 pass the substantive-row rule for ai_automation_use_cases",synthetic_domain_thin,"ai_automation_use_cases: 8 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"ai_automation_use_cases.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,risks_controls,distinct_identity_count 10 below minimum 20 for this company-size band,synthetic_domain_thin,"risks_controls: 10 distinct identities, below the 20 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"risks_controls.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,relationships,normalized_duplicate_pct 28.85% above maximum 15%,synthetic_boilerplate,relationships: 105 rows are normalized-content duplicates of another row.,Generate distinct content per entity instead of repeating one template (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"relationships.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,industry_context_patterns,"substantively_empty_despite_row_count: 4 rows, 0 pass the substantive-row rule for industry_context_patterns",synthetic_domain_thin,"industry_context_patterns: 4 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"industry_context_patterns.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,expert_lenses,"substantively_empty_despite_row_count: 4 rows, 0 pass the substantive-row rule for expert_lenses",synthetic_domain_thin,"expert_lenses: 4 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"expert_lenses.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,service_scope_managed_services,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,service_scope_managed_services: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"service_scope_managed_services.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,operational_process_evidence,zero_rows: this domain is required and has no data for this tenant,synthetic_domain_empty,operational_process_evidence: 0 rows in the active file for this required domain.,Generate governed synthetic rows for this required domain (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"operational_process_evidence.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,evidence_sources,source_owner coverage 0% below 50%,synthetic_domain_thin,evidence_sources: source_owner coverage 0% below 50%,Needs manual review -- no deterministic classification rule matched this blocking reason.,,n/a,governed synthetic-data enrichment (Phase D/E),"evidence_sources.semantic_status === ""semantic_pass"" for lakeshore-holdings on Gate 2 rerun"
lakeshore-holdings,applications_systems.vendor,resolves_to=vendors_contracts.vendor_name rate=0% status=blocker,referential_identity_defect,"applications_systems.vendor: 24 sampled values look like genuine distinct names/content (e.g. ""LH-VDR-WORKDAY"", ""LH-VDR-ORACLE""), but only 0% resolve against vendors_contracts.vendor_name.","These were generated independently and don't share identities. Needs ID-based cross-referencing from one connected scenario model (Phase B), not string-matching.",vendors_contracts,n/a,Phase B scenario model / Phase D enrichment,applications_systems.vendor resolution_rate_pct >= 80% for lakeshore-holdings on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
lakeshore-holdings,data_assets_integrations.source_system,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"data_assets_integrations.source_system: 34/34 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,data_assets_integrations.source_system resolution_rate_pct >= 80% for lakeshore-holdings on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
lakeshore-holdings,programs_initiatives.business_sponsor,resolves_to=org_ownership.leader_name_or_role rate=20% status=blocker,referential_identity_defect,"programs_initiatives.business_sponsor: 15 sampled values look like genuine distinct names/content (e.g. ""CFO"", ""Treasurer""), but only 20% resolve against org_ownership.leader_name_or_role.","These were generated independently and don't share identities. Needs ID-based cross-referencing from one connected scenario model (Phase B), not string-matching.",org_ownership,n/a,Phase B scenario model / Phase D enrichment,programs_initiatives.business_sponsor resolution_rate_pct >= 80% for lakeshore-holdings on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
lakeshore-holdings,metrics_outcomes.data_source,resolves_to=applications_systems.system_name rate=0% status=blocker,synthetic_domain_thin,"metrics_outcomes.data_source: 12/12 sampled values are the single literal ""standard_2026_07_v3"" -- a template/packet identifier left over from generation, not a real business reference.","Backfill real applications_systems references for this field during Phase D enrichment; this is a content gap, not a broken link.",applications_systems,n/a,Phase B scenario model / Phase D enrichment,metrics_outcomes.data_source resolution_rate_pct >= 80% for lakeshore-holdings on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
lakeshore-industries,org_ownership,"substantively_empty_despite_row_count: 116 rows, 0 pass the substantive-row rule for org_ownership",synthetic_domain_thin,"org_ownership: 116 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"org_ownership.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,workforce_roles,"substantively_empty_despite_row_count: 22 rows, 0 pass the substantive-row rule for workforce_roles",synthetic_domain_thin,"workforce_roles: 22 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"workforce_roles.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,data_assets_integrations,distinct_identity_count 82 below minimum 100 for this company-size band,synthetic_domain_thin,"data_assets_integrations: 82 distinct identities, below the 100 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"data_assets_integrations.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,infrastructure_platforms,"no_usable_identity: only 0% of rows carry a real identity value (floor: 50%) | substantively_empty_despite_row_count: 128 rows, 0 pass the substantive-row rule for infrastructure_platforms",synthetic_domain_thin,"infrastructure_platforms: 128 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"infrastructure_platforms.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,vendors_contracts,distinct_identity_count 19 below minimum 25 for this company-size band,synthetic_domain_thin,"vendors_contracts: 19 distinct identities, below the 25 floor for this company-size band.","Add more distinct entities, not more rows of existing ones (Phase D).",,n/a,governed synthetic-data enrichment (Phase D/E),"vendors_contracts.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,spend_value,no_usable_identity: only 23.94% of rows carry a real identity value (floor: 50%),synthetic_domain_thin,"spend_value: only 23.94% of rows carry a real identity value (column exists, mostly blank).",Populate the identity field for these rows (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"spend_value.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,ai_automation_use_cases,"substantively_empty_despite_row_count: 36 rows, 0 pass the substantive-row rule for ai_automation_use_cases",synthetic_domain_thin,"ai_automation_use_cases: 36 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"ai_automation_use_cases.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,relationships,"no_usable_identity: only 0% of rows carry a real identity value (floor: 50%) | substantively_empty_despite_row_count: 519 rows, 0 pass the substantive-row rule for relationships",synthetic_domain_thin,"relationships: 519 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"relationships.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,industry_context_patterns,"no_usable_identity: only 0% of rows carry a real identity value (floor: 50%) | substantively_empty_despite_row_count: 24 rows, 0 pass the substantive-row rule for industry_context_patterns",synthetic_domain_thin,"industry_context_patterns: 24 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"industry_context_patterns.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,expert_lenses,"no_usable_identity: only 0% of rows carry a real identity value (floor: 50%) | substantively_empty_despite_row_count: 18 rows, 0 pass the substantive-row rule for expert_lenses",synthetic_domain_thin,"expert_lenses: 18 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"expert_lenses.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,service_scope_managed_services,"substantively_empty_despite_row_count: 8 rows, 0 pass the substantive-row rule for service_scope_managed_services",synthetic_domain_thin,"service_scope_managed_services: 8 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"service_scope_managed_services.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,operational_process_evidence,"no_usable_identity: only 0% of rows carry a real identity value (floor: 50%) | substantively_empty_despite_row_count: 112 rows, 0 pass the substantive-row rule for operational_process_evidence",synthetic_domain_thin,"operational_process_evidence: 112 rows, 0 pass the substantive-row rule.",Enrich the existing rows' substantive fields; do not add more rows of the same shape (Phase D).,,n/a,governed synthetic-data enrichment (Phase D/E),"operational_process_evidence.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,evidence_items,"evidence_items: 97.92% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)",synthetic_domain_thin,"evidence_items: 97.92% of evidence items carry a bare locator/file-path as their summary, not real narrative content (>2 words)","Populate evidence_summary with real narrative excerpts, not a bare locator (Phase F).",,n/a,governed synthetic-data enrichment (Phase F),"evidence_items.semantic_status === ""semantic_pass"" for lakeshore-industries on Gate 2 rerun"
lakeshore-industries,applications_systems.vendor,resolves_to=vendors_contracts.vendor_name rate=4.61% status=blocker,referential_identity_defect,"applications_systems.vendor: 152 sampled values look like genuine distinct names/content (e.g. ""Kyriba"", ""Oracle EPM""), but only 4.61% resolve against vendors_contracts.vendor_name.","These were generated independently and don't share identities. Needs ID-based cross-referencing from one connected scenario model (Phase B), not string-matching.",vendors_contracts,n/a,Phase B scenario model / Phase D enrichment,applications_systems.vendor resolution_rate_pct >= 80% for lakeshore-industries on Gate 2 rerun (or rule retired/corrected if audit_rule_defect)
