tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-011,Provider network contract analytics,v4_synthetic_pack,Chief Network Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,12,2026-06-18,2026-01-01,2027-03-01,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-011,Chief Network Officer,Chief Network Officer,Chief Network Officer,design,9000000,data_thin:spend_to_date_missing,27000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-03-01,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MER-INIT-012,Responsible AI and PHI model governance operating model,v4_synthetic_pack,Chief Compliance Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,13,2026-06-18,2026-01-01,2026-09-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MER-INIT-012,Chief Compliance Officer,Chief Compliance Officer,Chief Compliance Officer,mobilize,8000000,data_thin:spend_to_date_missing,19000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-09-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0013,Databricks AWS clinical + claims lakehouse foundation / expansion 1,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,14,2026-06-18,2026-01-01,2027-03-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0013,Chief Data Officer,Chief Data Officer,Chief Data Officer,mobilize,58000000,data_thin:spend_to_date_missing,93000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-03-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0014,Unified semantic layer for automation-ready data products / expansion 2,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,15,2026-06-18,2026-01-01,2026-12-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0014,Chief Data Officer,Chief Data Officer,Chief Data Officer,design,18000000,data_thin:spend_to_date_missing,42000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-12-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0015,Prior authorization automation evidence cockpit / expansion 3,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,16,2026-06-18,2026-01-01,2027-02-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0015,Chief Health Plan Officer,Chief Health Plan Officer,Chief Health Plan Officer,pilot,22000000,data_thin:spend_to_date_missing,61000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-02-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0016,Call center agent assist and next-best-action / expansion 4,v4_synthetic_pack,Chief Customer Experience Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,17,2026-06-18,2026-01-01,2027-01-20,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0016,Chief Customer Experience Officer,Chief Customer Experience Officer,Chief Customer Experience Officer,pilot,26000000,data_thin:spend_to_date_missing,68000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-01-20,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0017,HEDIS/STAR provider quality performance mart / expansion 5,v4_synthetic_pack,Chief Quality Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,18,2026-06-18,2026-01-01,2026-11-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0017,Chief Quality Officer,Chief Quality Officer,Chief Quality Officer,build,16000000,data_thin:spend_to_date_missing,52000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-11-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0018,Cost-of-care and margin transparency by population / expansion 6,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,19,2026-06-18,2026-01-01,2027-04-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0018,CFO,CFO,CFO,design,19000000,data_thin:spend_to_date_missing,76000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-04-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0019,Payment integrity leakage reduction analytics / expansion 7,v4_synthetic_pack,VP Payment Integrity,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,20,2026-06-18,2026-01-01,2027-01-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0019,VP Payment Integrity,VP Payment Integrity,VP Payment Integrity,pilot,14000000,data_thin:spend_to_date_missing,55000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-01-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0020,Automated close and management reporting pipelines / expansion 8,v4_synthetic_pack,Controller,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,21,2026-06-18,2026-01-01,2026-12-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0020,Controller,Controller,Controller,mobilize,12000000,data_thin:spend_to_date_missing,31000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-12-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0021,Ambient documentation scale with safety review / expansion 9,v4_synthetic_pack,Chief Medical Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,22,2026-06-18,2026-01-01,2026-10-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0021,Chief Medical Officer,Chief Medical Officer,Chief Medical Officer,scale_gate,24000000,data_thin:spend_to_date_missing,47000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-10-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0022,Epic to lakehouse FHIR/HL7 modernization / expansion 10,v4_synthetic_pack,VP Integration,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,23,2026-06-18,2026-01-01,2027-05-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0022,VP Integration,VP Integration,VP Integration,build,21000000,data_thin:spend_to_date_missing,36000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-05-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0023,Provider network contract analytics / expansion 11,v4_synthetic_pack,Chief Network Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,24,2026-06-18,2026-01-01,2027-03-01,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0023,Chief Network Officer,Chief Network Officer,Chief Network Officer,design,9000000,data_thin:spend_to_date_missing,27000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-03-01,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0024,Responsible AI and PHI model governance operating model / expansion 12,v4_synthetic_pack,Chief Compliance Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,25,2026-06-18,2026-01-01,2026-09-30,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0024,Chief Compliance Officer,Chief Compliance Officer,Chief Compliance Officer,mobilize,8000000,data_thin:spend_to_date_missing,19000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-09-30,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0025,Databricks AWS clinical + claims lakehouse foundation / expansion 13,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,26,2026-06-18,2026-01-01,2027-03-31,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0025,Chief Data Officer,Chief Data Officer,Chief Data Officer,mobilize,58000000,data_thin:spend_to_date_missing,93000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-03-31,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0026,Unified semantic layer for automation-ready data products / expansion 14,v4_synthetic_pack,Chief Data Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,27,2026-06-18,2026-01-01,2026-12-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0026,Chief Data Officer,Chief Data Officer,Chief Data Officer,design,18000000,data_thin:spend_to_date_missing,42000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2026-12-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
meridian-health,Meridian Health,v6.0,program_initiative,MERIDIANHEALTH-INIT-0027,Prior authorization automation evidence cockpit / expansion 15,v4_synthetic_pack,Chief Health Plan Officer,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,28,2026-06-18,2026-01-01,2027-02-15,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,data_thin:spend_to_date_missing|data_thin:realized_value_missing|data_thin:value_basis_missing|data_thin:status_missing|data_thin:dependencies_missing|data_thin:risks_missing|data_thin:decision_needed_missing,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,MERIDIANHEALTH-INIT-0027,Chief Health Plan Officer,Chief Health Plan Officer,Chief Health Plan Officer,pilot,22000000,data_thin:spend_to_date_missing,61000000,data_thin:realized_value_missing,data_thin:value_basis_missing,data_thin:status_missing,2027-02-15,data_thin:dependencies_missing,data_thin:risks_missing,data_thin:decision_needed_missing
