app_id,app_name,ams_annual_usd,license_annual_usd,infra_annual_usd,total_run_usd,vendor
APX-SPLUNK,Splunk SIEM,180000,360000,81000,621000,Wipro
APX-ALGOLIA,Algolia Search,400000,800000,180000,1380000,Accenture-extensions
APX-LAUNCHDARKLY,LaunchDarkly Flags,0,1240000,279000,1519000,None
APX-FIVETRAN,Fivetran Connectors,0,1680000,378000,2058000,None
APX-DBT,dbt Cloud,0,2120000,477000,2597000,None
APX-LOOKER,Looker BI,0,2560000,576000,3136000,None
APX-CORNERSTONE,Cornerstone LMS,0,3000000,675000,3675000,None
APX-UKG,UKG Workforce,0,3440000,774000,4214000,None
APX-ADP,ADP Payroll,0,3880000,873000,4753000,None
APX-VERTEX-TAX,Vertex Tax,0,360000,81000,441000,None
APX-AVALARA,Avalara Tax,400000,800000,180000,1380000,NCR + Wipro-ext
APX-MIMECAST,Mimecast Email Security,0,1240000,279000,1519000,None
APX-JAVA-LOYALTY,Loyalty API,840000,1680000,378000,2898000,Kyndryl
APX-JAVA-FRAUD,Fraud API,1060000,2120000,477000,3657000,Kyndryl
APX-JAVA-INVENTORY,Inventory API,1280000,2560000,576000,4416000,Wipro
APX-JAVA-RETURNS-MOD,Returns Orchestration,1500000,3000000,675000,5175000,Wipro
APX-JAVA-ALLOCATION,Allocation Service,1720000,3440000,774000,5934000,Wipro
APX-JAVA-PIM,PIM API,1940000,3880000,873000,6693000,Accenture-extensions
APX-JAVA-SUSTAIN,Sustainability API,0,360000,81000,441000,None
APX-NET-GIFTCARD,Gift Card Service,0,800000,180000,980000,None
APX-NET-MOBILE-BFF,Mobile BFF,0,1240000,279000,1519000,None
APX-NET-STOREOPS,Store Ops API,0,1680000,378000,2058000,None
APX-NET-WFM,Workforce API,0,2120000,477000,2597000,None
APX-NODE-ACCOUNT,Customer Account BFF,0,2560000,576000,3136000,None
APX-NODE-SEARCH,Search BFF,0,3000000,675000,3675000,None
APX-NODE-RECS-BFF,Recommendations BFF,0,3440000,774000,4214000,None
APX-NODE-MARKET,Marketplace BFF,1940000,3880000,873000,6693000,NCR + Wipro-ext
APX-NODE-ORDER,Order Status BFF,0,360000,81000,441000,None
APX-FE-ACCOUNT,Customer Account UI,400000,800000,180000,1380000,Kyndryl
APX-FE-SEARCH,Search UI,620000,1240000,279000,2139000,Kyndryl
APX-FE-ASSOCIATE,Associate Web UI,840000,1680000,378000,2898000,Wipro
APX-FE-MANAGER,Manager Web UI,1060000,2120000,477000,3657000,Wipro
APX-FE-PIM,PIM Workbench,1280000,2560000,576000,4416000,Wipro
APX-ML-FRAUD,Fraud Scoring ML,1500000,3000000,675000,5175000,Accenture-extensions
APX-ML-RETURNS,Returns Fraud ML,0,3440000,774000,4214000,None
APX-ML-IMAGE,Image Search ML,0,3880000,873000,4753000,None
APX-ML-MMM,Marketing Mix ML,0,360000,81000,441000,None
APX-MOBILE-CUSTOMER,Customer Mobile App,0,800000,180000,980000,None
APX-MOBILE-ASSOC,Associate Mobile App,0,1240000,279000,1519000,None
APX-MOBILE-MANAGER,Manager Mobile App,0,1680000,378000,2058000,None
APX-EDGE-RFID,RFID Controller,0,2120000,477000,2597000,None
APX-EDGE-KIOSK,In-store Kiosk,0,2560000,576000,3136000,None
APX-EDGE-ROUTER,Store Network Edge,1500000,3000000,675000,5175000,NCR + Wipro-ext
APX-SNOWFLAKE,Snowflake Account,0,3440000,774000,4214000,None
APX-DATABRICKS,Databricks Workspace,1940000,3880000,873000,6693000,Kyndryl
APX-VERTEX-AI,Vertex AI Workspace,180000,360000,81000,621000,Kyndryl
APX-AWS-EDP,AWS Enterprise Platform,400000,800000,180000,1380000,Wipro
APX-CISCO-SDWAN,Cisco SD-WAN,620000,1240000,279000,2139000,Wipro
APX-EQUINIX,Equinix Colocation,840000,1680000,378000,2898000,Wipro
APX-VERIZON-WAN,Verizon Store WAN,1060000,2120000,477000,3657000,Accenture-extensions
APX-INVENTORY-API,Inventory API,0,2560000,576000,3136000,None
APX-BLUE-YONDER,Blue Yonder Pricing Platform,0,3000000,675000,3675000,None
APX-FRAUD-ML,Fraud ML Service,0,3440000,774000,4214000,None
APX-GEN-090,Generated Enterprise App 90,0,3880000,873000,4753000,None
