canonical_id,canonical_type,tenant_key,contract_id,source_record_id,linked_entity_type,linked_entity_id,review_state
LINK-0024,evidence,meridian-health,MER-CTR-SC-BPO-001,CLAUSE-DOC-MER-CTR-SC-BPO-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-SC-BPO-001-SLA-SCHEDULE,accepted
LINK-0025,evidence,meridian-health,MER-CTR-SC-BPO-001,PRICE-MER-CTR-SC-BPO-001-1,pricing_line,PL-MER-CTR-SC-BPO-001-1,accepted
LINK-0026,evidence,meridian-health,MER-CTR-SC-BPO-001,AP-MER-CTR-SC-BPO-001-2026-07-1,invoice_line,APLINE-MER-CTR-SC-BPO-001-2026-07-1,accepted
LINK-0027,evidence,meridian-health,MER-CTR-SC-BPO-001,SLA-MER-CTR-SC-BPO-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-SC-BPO-001-2026-07-cycle_time,accepted
LINK-0028,evidence,meridian-health,MER-CTR-SC-BPO-001,FIN-MER-CTR-SC-BPO-001-2027-Q1,finance_period,FIN-MER-CTR-SC-BPO-001-2027-Q1,diagnosis_only
LINK-0029,evidence,meridian-health,MER-CTR-SSO-BPO-001,CLM-MER-CTR-SSO-BPO-001,contract,MER-CTR-SSO-BPO-001,accepted
LINK-0030,evidence,meridian-health,MER-CTR-SSO-BPO-001,DOCINV-DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,document,DOC-MER-CTR-SSO-BPO-001-PRICING-EXHIBIT,accepted
LINK-0031,evidence,meridian-health,MER-CTR-SSO-BPO-001,CLAUSE-DOC-MER-CTR-SSO-BPO-001-SLA-SCHEDULE-01,document_clause,DOC-MER-CTR-SSO-BPO-001-SLA-SCHEDULE,accepted
LINK-0032,evidence,meridian-health,MER-CTR-SSO-BPO-001,PRICE-MER-CTR-SSO-BPO-001-1,pricing_line,PL-MER-CTR-SSO-BPO-001-1,accepted
LINK-0033,evidence,meridian-health,MER-CTR-SSO-BPO-001,AP-MER-CTR-SSO-BPO-001-2026-07-1,invoice_line,APLINE-MER-CTR-SSO-BPO-001-2026-07-1,accepted
LINK-0034,evidence,meridian-health,MER-CTR-SSO-BPO-001,SLA-MER-CTR-SSO-BPO-001-2026-07-cycle_time,sla_event,SLA-MER-CTR-SSO-BPO-001-2026-07-cycle_time,accepted
LINK-0035,evidence,meridian-health,MER-CTR-SSO-BPO-001,FIN-MER-CTR-SSO-BPO-001-2027-Q1,finance_period,FIN-MER-CTR-SSO-BPO-001-2027-Q1,diagnosis_only
