initiative_id,metric_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status
FC-AI-026,observed:cycle_time,21000000,4409150,16590850,medium,review_required
FC-AI-026,validated:loss_avoidance,21000000,2645490,18354510,medium,review_required
FC-AI-027,projected:cost_takeout,17000000,0,17000000,medium,review_required
FC-AI-027,observed:cycle_time,17000000,3883320,13116680,medium,review_required
FC-AI-027,validated:loss_avoidance,17000000,2329992,14670008,medium,review_required
FC-AI-028,projected:cost_takeout,31000000,0,31000000,low,review_required
FC-AI-028,observed:cycle_time,31000000,1143289,29856711,low,review_required
FC-AI-028,validated:loss_avoidance,31000000,685973,30314027,medium,review_required
FC-AI-029,projected:cost_takeout,30000000,0,30000000,medium,review_required
FC-AI-029,observed:cycle_time,30000000,7746837,22253163,medium,review_required
FC-AI-029,validated:loss_avoidance,30000000,4648102,25351898,medium,review_required
FC-AI-030,projected:cost_takeout,22000000,0,22000000,high,review_required
FC-AI-030,observed:cycle_time,22000000,11077962,10922038,high,source_backed
FC-AI-030,validated:loss_avoidance,22000000,11077962,10922038,high,source_backed
FC-AI-031,projected:cost_takeout,36000000,0,36000000,high,review_required
FC-AI-031,observed:cycle_time,36000000,21362034,14637966,high,source_backed
FC-AI-031,validated:loss_avoidance,36000000,21362034,14637966,high,source_backed
FC-AI-032,projected:cost_takeout,43000000,0,43000000,high,review_required
FC-AI-032,observed:cycle_time,43000000,23379836,19620164,high,source_backed
FC-AI-032,validated:loss_avoidance,43000000,23379836,19620164,high,source_backed
FC-AI-033,projected:cost_takeout,43000000,0,43000000,high,review_required
FC-AI-033,observed:cycle_time,43000000,24768103,18231897,high,source_backed
FC-AI-033,validated:loss_avoidance,43000000,24768103,18231897,high,source_backed
FC-AI-034,projected:cost_takeout,22000000,0,22000000,high,review_required
FC-AI-034,observed:cycle_time,22000000,1814885,20185115,high,source_backed
FC-AI-034,validated:loss_avoidance,22000000,1814885,20185115,high,source_backed
FC-AI-035,projected:cost_takeout,28000000,0,28000000,high,review_required
FC-AI-035,observed:cycle_time,28000000,14734961,13265039,high,source_backed
FC-AI-035,validated:loss_avoidance,28000000,14734961,13265039,high,source_backed
FC-AI-036,projected:cost_takeout,31000000,0,31000000,high,review_required
FC-AI-036,observed:cycle_time,31000000,24719244,6280756,high,source_backed
FC-AI-036,validated:loss_avoidance,31000000,24719244,6280756,high,source_backed
FC-AI-037,projected:cost_takeout,36000000,0,36000000,low,review_required
FC-AI-037,observed:cycle_time,36000000,3260888,32739112,low,review_required
FC-AI-037,validated:loss_avoidance,36000000,1956533,34043467,medium,review_required
FC-AI-038,projected:cost_takeout,19000000,0,19000000,high,review_required
FC-AI-038,observed:cycle_time,19000000,10330850,8669150,high,source_backed
FC-AI-038,validated:loss_avoidance,19000000,10330850,8669150,high,source_backed
FC-AI-039,projected:cost_takeout,8000000,0,8000000,high,review_required
FC-AI-039,observed:cycle_time,8000000,4435180,3564820,high,source_backed
FC-AI-039,validated:loss_avoidance,8000000,4435180,3564820,high,source_backed
FC-AI-040,projected:cost_takeout,48000000,0,48000000,medium,review_required
FC-AI-040,observed:cycle_time,48000000,1953629,46046371,medium,review_required
FC-AI-040,validated:loss_avoidance,48000000,1172177,46827823,medium,review_required
FC-AI-041,projected:cost_takeout,16000000,0,16000000,medium,review_required
FC-AI-041,observed:cycle_time,16000000,929469,15070531,medium,review_required
FC-AI-041,validated:loss_avoidance,16000000,557681,15442319,medium,review_required
FC-AI-042,projected:cost_takeout,40000000,0,40000000,high,review_required
FC-AI-042,observed:cycle_time,40000000,2063932,37936068,high,source_backed
FC-AI-042,validated:loss_avoidance,40000000,2063932,37936068,high,source_backed
