evidence_item_id,initiative_id,source_file,source_locator,source_timestamp,review_state,confidence
FC-AI-013-EV-1,FC-AI-013,source-docs/Credit_risk_model_SR_11_7_evidence_automation_Evidence_SYNTHETIC.md,section 1.1,2026-06-06,review_required,0.57
FC-AI-014-EV-1,FC-AI-014,source-docs/KYC_refresh_onboarding_intelligence_Evidence_SYNTHETIC.md,section 2.1,2026-06-05,approved,0.88
FC-AI-015-EV-1,FC-AI-015,source-docs/Collections_prioritization_optimization_Evidence_SYNTHETIC.md,section 2.3,2026-06-06,review_required,0.59
FC-AI-016-EV-1,FC-AI-016,source-docs/Branch_banker_knowledge_assist_Evidence_SYNTHETIC.md,section 5.4,2026-06-16,review_required,0.80
FC-AI-017-EV-1,FC-AI-017,source-docs/Marketing_personalization_retention_Evidence_SYNTHETIC.md,section 3.3,2026-06-16,review_required,0.71
FC-AI-018-EV-1,FC-AI-018,source-docs/Treasury_liquidity_forecasting_Evidence_SYNTHETIC.md,section 4.2,2026-06-08,review_required,0.79
FC-AI-019-EV-1,FC-AI-019,source-docs/Complaint_fair_lending_surveillance_NLP_Evidence_SYNTHETIC.md,section 3.1,2026-06-11,review_required,0.58
FC-AI-020-EV-1,FC-AI-020,source-docs/Mainframe_code_modernization_assist_Evidence_SYNTHETIC.md,section 5.4,2026-06-08,review_required,0.71
FC-AI-021-EV-1,FC-AI-021,source-docs/Document_intelligence_for_commercial_onboarding_Evidence_SYNTHETIC.md,section 3.2,2026-06-10,approved,0.64
FC-AI-022-EV-1,FC-AI-022,source-docs/Sanctions_screening_tuning_Evidence_SYNTHETIC.md,section 4.2,2026-06-15,review_required,0.63
FC-AI-023-EV-1,FC-AI-023,source-docs/Statement_disclosure_generation_copilot_Evidence_SYNTHETIC.md,section 5.4,2026-06-17,review_required,0.94
FC-AI-024-EV-1,FC-AI-024,source-docs/Card_rewards_personalization_Evidence_SYNTHETIC.md,section 1.4,2026-06-14,review_required,0.71
FC-AI-025-EV-1,FC-AI-025,source-docs/Voice_biometrics_authentication_Evidence_SYNTHETIC.md,section 3.1,2026-06-09,review_required,0.79
FC-AI-026-EV-1,FC-AI-026,source-docs/Trade_surveillance_anomaly_detection_Evidence_SYNTHETIC.md,section 4.3,2026-06-02,review_required,0.61
FC-AI-027-EV-1,FC-AI-027,source-docs/Loan_servicing_virtual_agent_Evidence_SYNTHETIC.md,section 5.2,2026-06-12,review_required,0.86
FC-AI-028-EV-1,FC-AI-028,source-docs/ESG_climate_risk_data_automation_Evidence_SYNTHETIC.md,section 4.4,2026-06-04,review_required,0.69
FC-AI-029-EV-1,FC-AI-029,source-docs/Enterprise_search_over_policy_procedures_Evidence_SYNTHETIC.md,section 3.2,2026-06-04,review_required,0.58
FC-AI-030-EV-1,FC-AI-030,source-docs/Deposit_pricing_optimization_Evidence_SYNTHETIC.md,section 4.2,2026-06-13,approved,0.81
FC-AI-031-EV-1,FC-AI-031,source-docs/Synthetic_data_for_model_development_Evidence_SYNTHETIC.md,section 5.4,2026-06-15,approved,0.59
FC-AI-032-EV-1,FC-AI-032,source-docs/Wire_fraud_interdiction_Evidence_SYNTHETIC.md,section 5.3,2026-06-10,approved,0.94
FC-AI-033-EV-1,FC-AI-033,source-docs/Mortgage_underwriting_decision_support_Evidence_SYNTHETIC.md,section 1.1,2026-06-06,approved,0.92
FC-AI-034-EV-1,FC-AI-034,source-docs/Vendor_contract_intelligence_Evidence_SYNTHETIC.md,section 1.3,2026-06-15,approved,0.90
FC-AI-035-EV-1,FC-AI-035,source-docs/Branch_staffing_demand_forecasting_Evidence_SYNTHETIC.md,section 1.2,2026-06-04,approved,0.78
FC-AI-036-EV-1,FC-AI-036,source-docs/IT_incident_root_cause_copilot_Evidence_SYNTHETIC.md,section 5.1,2026-06-15,approved,0.94
FC-AI-037-EV-1,FC-AI-037,source-docs/Regulatory_change_interpretation_assist_Evidence_SYNTHETIC.md,section 2.2,2026-06-06,review_required,0.61
FC-AI-038-EV-1,FC-AI-038,source-docs/Small_business_cash_flow_insights_Evidence_SYNTHETIC.md,section 5.1,2026-06-11,approved,0.58
FC-AI-039-EV-1,FC-AI-039,source-docs/Anti_money_laundering_network_analytics_Evidence_SYNTHETIC.md,section 2.2,2026-06-14,approved,0.92
FC-AI-040-EV-1,FC-AI-040,source-docs/Customer_churn_early_warning_model_Evidence_SYNTHETIC.md,section 5.3,2026-06-05,review_required,0.68
FC-AI-041-EV-1,FC-AI-041,source-docs/Capital_markets_research_summarization_Evidence_SYNTHETIC.md,section 2.2,2026-06-03,review_required,0.79
FC-AI-042-EV-1,FC-AI-042,source-docs/Privacy_data_access_governance_automation_Evidence_SYNTHETIC.md,section 1.1,2026-06-15,approved,0.84
