Play_ID,Metric_ID,Peer_or_Archetype,Play_Name,Metric_Moved,Delta,Enablers,Reference_Pattern,Domain
MERIDIANHEALTH-PLAY-0001,MERIDIANHEALTH-MET-0001,top quartile operator,Meridian Health comparable transformation play 1,Meridian Health benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0038,MERIDIANHEALTH-MET-0038,top quartile operator,Meridian Health comparable transformation play 38,Meridian Health open control and governance pressure metric 38,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0039,MERIDIANHEALTH-MET-0039,top quartile operator,Meridian Health comparable transformation play 39,Meridian Health active usage of changed workflow metric 39,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0040,MERIDIANHEALTH-MET-0040,top quartile operator,Meridian Health comparable transformation play 40,Meridian Health unit cost across served population or customer journey metric 40,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0041,MERIDIANHEALTH-MET-0041,top quartile operator,Meridian Health comparable transformation play 41,Meridian Health benefit realization against committed value metric 41,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0042,MERIDIANHEALTH-MET-0042,top quartile operator,Meridian Health comparable transformation play 42,Meridian Health elapsed time for target process metric 42,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0043,MERIDIANHEALTH-MET-0043,top quartile operator,Meridian Health comparable transformation play 43,Meridian Health open control and governance pressure metric 43,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0044,MERIDIANHEALTH-MET-0044,top quartile operator,Meridian Health comparable transformation play 44,Meridian Health active usage of changed workflow metric 44,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0045,MERIDIANHEALTH-MET-0045,top quartile operator,Meridian Health comparable transformation play 45,Meridian Health unit cost across served population or customer journey metric 45,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0046,MERIDIANHEALTH-MET-0046,top quartile operator,Meridian Health comparable transformation play 46,Meridian Health benefit realization against committed value metric 46,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0047,MERIDIANHEALTH-MET-0047,top quartile operator,Meridian Health comparable transformation play 47,Meridian Health elapsed time for target process metric 47,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0048,MERIDIANHEALTH-MET-0048,top quartile operator,Meridian Health comparable transformation play 48,Meridian Health open control and governance pressure metric 48,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0049,MERIDIANHEALTH-MET-0049,top quartile operator,Meridian Health comparable transformation play 49,Meridian Health active usage of changed workflow metric 49,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0050,MERIDIANHEALTH-MET-0050,top quartile operator,Meridian Health comparable transformation play 50,Meridian Health unit cost across served population or customer journey metric 50,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0051,MERIDIANHEALTH-MET-0051,top quartile operator,Meridian Health comparable transformation play 51,Meridian Health benefit realization against committed value metric 51,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0052,MERIDIANHEALTH-MET-0052,top quartile operator,Meridian Health comparable transformation play 52,Meridian Health elapsed time for target process metric 52,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0053,MERIDIANHEALTH-MET-0053,top quartile operator,Meridian Health comparable transformation play 53,Meridian Health open control and governance pressure metric 53,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0054,MERIDIANHEALTH-MET-0054,top quartile operator,Meridian Health comparable transformation play 54,Meridian Health active usage of changed workflow metric 54,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0055,MERIDIANHEALTH-MET-0055,top quartile operator,Meridian Health comparable transformation play 55,Meridian Health unit cost across served population or customer journey metric 55,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0056,MERIDIANHEALTH-MET-0056,top quartile operator,Meridian Health comparable transformation play 56,Meridian Health benefit realization against committed value metric 56,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0057,MERIDIANHEALTH-MET-0057,top quartile operator,Meridian Health comparable transformation play 57,Meridian Health elapsed time for target process metric 57,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0058,MERIDIANHEALTH-MET-0058,top quartile operator,Meridian Health comparable transformation play 58,Meridian Health open control and governance pressure metric 58,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0059,MERIDIANHEALTH-MET-0059,top quartile operator,Meridian Health comparable transformation play 59,Meridian Health active usage of changed workflow metric 59,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0060,MERIDIANHEALTH-MET-0060,top quartile operator,Meridian Health comparable transformation play 60,Meridian Health unit cost across served population or customer journey metric 60,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0061,MERIDIANHEALTH-MET-0061,top quartile operator,Meridian Health comparable transformation play 61,Meridian Health benefit realization against committed value metric 61,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0062,MERIDIANHEALTH-MET-0062,top quartile operator,Meridian Health comparable transformation play 62,Meridian Health elapsed time for target process metric 62,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0063,MERIDIANHEALTH-MET-0063,top quartile operator,Meridian Health comparable transformation play 63,Meridian Health open control and governance pressure metric 63,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0064,MERIDIANHEALTH-MET-0064,top quartile operator,Meridian Health comparable transformation play 64,Meridian Health active usage of changed workflow metric 64,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0065,MERIDIANHEALTH-MET-0065,top quartile operator,Meridian Health comparable transformation play 65,Meridian Health unit cost across served population or customer journey metric 65,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0066,MERIDIANHEALTH-MET-0066,top quartile operator,Meridian Health comparable transformation play 66,Meridian Health benefit realization against committed value metric 66,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0067,MERIDIANHEALTH-MET-0067,top quartile operator,Meridian Health comparable transformation play 67,Meridian Health elapsed time for target process metric 67,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0068,MERIDIANHEALTH-MET-0068,top quartile operator,Meridian Health comparable transformation play 68,Meridian Health open control and governance pressure metric 68,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0069,MERIDIANHEALTH-MET-0069,top quartile operator,Meridian Health comparable transformation play 69,Meridian Health active usage of changed workflow metric 69,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0070,MERIDIANHEALTH-MET-0070,top quartile operator,Meridian Health comparable transformation play 70,Meridian Health unit cost across served population or customer journey metric 70,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0071,MERIDIANHEALTH-MET-0071,top quartile operator,Meridian Health comparable transformation play 71,Meridian Health benefit realization against committed value metric 71,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0072,MERIDIANHEALTH-MET-0072,top quartile operator,Meridian Health comparable transformation play 72,Meridian Health elapsed time for target process metric 72,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0073,MERIDIANHEALTH-MET-0073,top quartile operator,Meridian Health comparable transformation play 73,Meridian Health open control and governance pressure metric 73,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0074,MERIDIANHEALTH-MET-0074,top quartile operator,Meridian Health comparable transformation play 74,Meridian Health active usage of changed workflow metric 74,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0075,MERIDIANHEALTH-MET-0075,top quartile operator,Meridian Health comparable transformation play 75,Meridian Health unit cost across served population or customer journey metric 75,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0076,MERIDIANHEALTH-MET-0076,top quartile operator,Meridian Health comparable transformation play 76,Meridian Health benefit realization against committed value metric 76,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0077,MERIDIANHEALTH-MET-0077,top quartile operator,Meridian Health comparable transformation play 77,Meridian Health elapsed time for target process metric 77,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0078,MERIDIANHEALTH-MET-0078,top quartile operator,Meridian Health comparable transformation play 78,Meridian Health open control and governance pressure metric 78,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0079,MERIDIANHEALTH-MET-0079,top quartile operator,Meridian Health comparable transformation play 79,Meridian Health active usage of changed workflow metric 79,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0080,MERIDIANHEALTH-MET-0080,top quartile operator,Meridian Health comparable transformation play 80,Meridian Health unit cost across served population or customer journey metric 80,19%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0081,MERIDIANHEALTH-MET-0081,top quartile operator,Meridian Health comparable transformation play 81,Meridian Health benefit realization against committed value metric 81,20%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0082,MERIDIANHEALTH-MET-0082,top quartile operator,Meridian Health comparable transformation play 82,Meridian Health elapsed time for target process metric 82,21%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0083,MERIDIANHEALTH-MET-0083,top quartile operator,Meridian Health comparable transformation play 83,Meridian Health open control and governance pressure metric 83,22%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0084,MERIDIANHEALTH-MET-0084,top quartile operator,Meridian Health comparable transformation play 84,Meridian Health active usage of changed workflow metric 84,23%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0085,MERIDIANHEALTH-MET-0085,top quartile operator,Meridian Health comparable transformation play 85,Meridian Health unit cost across served population or customer journey metric 85,24%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0086,MERIDIANHEALTH-MET-0086,top quartile operator,Meridian Health comparable transformation play 86,Meridian Health benefit realization against committed value metric 86,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0087,MERIDIANHEALTH-MET-0087,top quartile operator,Meridian Health comparable transformation play 87,Meridian Health elapsed time for target process metric 87,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
MERIDIANHEALTH-PLAY-0088,MERIDIANHEALTH-MET-0088,top quartile operator,Meridian Health comparable transformation play 88,Meridian Health open control and governance pressure metric 88,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture
MERIDIANHEALTH-PLAY-0089,MERIDIANHEALTH-MET-0089,top quartile operator,Meridian Health comparable transformation play 89,Meridian Health active usage of changed workflow metric 89,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption
MERIDIANHEALTH-PLAY-0090,MERIDIANHEALTH-MET-0090,top quartile operator,Meridian Health comparable transformation play 90,Meridian Health unit cost across served population or customer journey metric 90,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve
MERIDIANHEALTH-PLAY-0091,MERIDIANHEALTH-MET-0091,top quartile operator,Meridian Health comparable transformation play 91,Meridian Health benefit realization against committed value metric 91,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture
MERIDIANHEALTH-PLAY-0092,MERIDIANHEALTH-MET-0092,top quartile operator,Meridian Health comparable transformation play 92,Meridian Health elapsed time for target process metric 92,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time
