Gov_ID,Initiative_ID,Model_Count,Model_Risk_Tier,HITL,Bias_Monitoring,Drift_Monitoring,Reg_Regime,Responsible_AI_Gate_Status
MERIDIANHEALTH-AIGOV-0020,MERIDIANHEALTH-INIT-0020,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0021,MERIDIANHEALTH-INIT-0021,3,high,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0022,MERIDIANHEALTH-INIT-0022,4,medium,required,active,active,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0023,MERIDIANHEALTH-INIT-0023,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0024,MERIDIANHEALTH-INIT-0024,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0025,MERIDIANHEALTH-INIT-0025,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0026,MERIDIANHEALTH-INIT-0026,2,high,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0027,MERIDIANHEALTH-INIT-0027,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0028,MERIDIANHEALTH-INIT-0028,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0029,MERIDIANHEALTH-INIT-0029,5,medium,defined,needed,active,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0030,MERIDIANHEALTH-INIT-0030,6,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0031,MERIDIANHEALTH-INIT-0031,1,high,required,active,needed,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0032,MERIDIANHEALTH-INIT-0032,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0033,MERIDIANHEALTH-INIT-0033,3,medium,defined,needed,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0034,MERIDIANHEALTH-INIT-0034,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0035,MERIDIANHEALTH-INIT-0035,5,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0036,MERIDIANHEALTH-INIT-0036,6,high,defined,active,active,industry and enterprise AI policy,blocked
MERIDIANHEALTH-AIGOV-0037,MERIDIANHEALTH-INIT-0037,1,medium,required,needed,needed,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0038,MERIDIANHEALTH-INIT-0038,2,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0039,MERIDIANHEALTH-INIT-0039,3,medium,defined,active,active,industry and enterprise AI policy,approved_with_conditions
MERIDIANHEALTH-AIGOV-0040,MERIDIANHEALTH-INIT-0040,4,medium,required,active,active,industry and enterprise AI policy,approved_with_conditions
