integration_id,source_system,target_system,interface_type,protocol_or_standard,cadence,data_domain,avg_daily_volume,latency_sla_minutes,failure_rate_30d_pct,owning_team,control_gap,evidence_id
FC-INT-0015,FIS Statements 2,Alkami Mobile Banking 2,Streaming,SFTP batch,streaming,core,2627090,15,1.06,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0016,Moody's Stress Test Platform 3,Splunk Service Management 2,Streaming,SFTP batch,batch_daily,aml_fraud,3679510,240,1.73,Integration & API Platform,pii_in_payload,FC-EVID-018
FC-INT-0017,Salesforce Customer 360 3,FedNow ISO 20022 Hub 3,ISO20022,ISO 20022 pacs/pain,streaming,aml_fraud,3785338,15,0.75,Integration & API Platform,none_reported,FC-EVID-029
FC-INT-0018,SAS Transaction Monitoring 2,SAS Stress Test Platform,FHIR_NA,MQ Series,near_real_time,treasury,1133381,60,0.35,Integration & API Platform,none_reported,FC-EVID-033
FC-INT-0019,Murex Market Risk VaR 3,Volante Wire Platform 3,Streaming,SFTP batch,streaming,risk,2594778,5,0.49,Integration & API Platform,none_reported,FC-EVID-003
FC-INT-0020,Collibra Data Quality 2,Mastercard Rewards Engine 3,Streaming,SFTP batch,batch_daily,payments,2134002,60,0.62,Integration & API Platform,none_reported,FC-EVID-011
FC-INT-0021,Kyriba Funding Desk,nCino Consumer LOS,Streaming,SFTP batch,batch_daily,customer,1984480,240,0.76,Integration & API Platform,none_reported,FC-EVID-039
FC-INT-0022,Numerix Limits Manager 2,The Clearing House RTP/FedNow Gateway 3,FHIR_NA,MQ Series,batch_daily,risk,2579040,60,1.46,Integration & API Platform,none_reported,FC-EVID-021
FC-INT-0023,SAS Stress Test Platform,dbt Labs Lakehouse Ingest,EDI,NACHA ACH,batch_daily,finance,3594268,60,1.67,Integration & API Platform,pii_in_payload,FC-EVID-003
FC-INT-0024,Pega Onboarding Portal 2,Feedzai Fraud Scoring 3,File,SWIFT MT/MX,streaming,risk,4089155,240,1.75,Integration & API Platform,none_reported,FC-EVID-028
FC-INT-0025,ServiceNow CMDB,Kyriba Liquidity Monitor 2,ISO20022,ISO 20022 pacs/pain,near_real_time,cards,3319112,15,1.30,Integration & API Platform,none_reported,FC-EVID-014
FC-INT-0026,Temenos Interest Engine 3,Blend Commercial Origination 3,Streaming,SFTP batch,intraday,payments,3065992,60,1.59,Integration & API Platform,none_reported,FC-EVID-001
FC-INT-0027,FedNow Zelle Connector 2,Thought Machine Account Master 2,Streaming,SFTP batch,streaming,finance,3984542,15,1.68,Integration & API Platform,none_reported,FC-EVID-040
FC-INT-0028,Volante Bill Pay 2,Fiserv Statements 4,API,REST/JSON OAuth2,near_real_time,aml_fraud,4017357,15,0.37,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0029,FIS GL Posting Engine,Blend Spreading Engine 3,FHIR_NA,MQ Series,near_real_time,aml_fraud,3127231,1,1.05,Integration & API Platform,none_reported,FC-EVID-005
FC-INT-0030,ACI Worldwide ISO 20022 Hub,SAS Sanctions Screening,Streaming,SFTP batch,near_real_time,payments,2659106,240,0.08,Integration & API Platform,none_reported,FC-EVID-007
FC-INT-0031,Q2 Digital Onboarding 2,Blend Spreading Engine 3,API,REST/JSON OAuth2,near_real_time,treasury,944287,240,0.93,Integration & API Platform,none_reported,FC-EVID-006
FC-INT-0032,Blend Decisioning 2,Temenos Branch Teller 2,FHIR_NA,MQ Series,intraday,aml_fraud,3360010,60,0.42,Integration & API Platform,none_reported,FC-EVID-005
FC-INT-0033,ACI Worldwide SWIFT Gateway 2,Microsoft Dynamics Customer 360,EDI,NACHA ACH,batch_daily,customer,344462,15,1.59,Integration & API Platform,none_reported,FC-EVID-039
FC-INT-0034,Envestnet Performance Reporting 2,SAS Credit Risk Engine,MQ,Kafka stream,batch_daily,payments,622952,15,1.76,Integration & API Platform,pii_in_payload,FC-EVID-006
FC-INT-0035,TSYS Card Issuance 4,Collibra Feature Store 2,ISO20022,ISO 20022 pacs/pain,batch_daily,core,2964195,1,0.04,Integration & API Platform,none_reported,FC-EVID-034
FC-INT-0036,nCino Covenant Tracker,Thought Machine Loan Servicing,EDI,NACHA ACH,intraday,payments,1598434,240,1.08,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0037,Volante Bill Pay,Murex ALM Engine,Streaming,SFTP batch,batch_daily,finance,1942504,15,0.21,Integration & API Platform,none_reported,FC-EVID-018
FC-INT-0038,Marqeta Statement & Billing 3,Visa DPS Card Authorization 2,EDI,NACHA ACH,streaming,treasury,900822,5,0.35,Integration & API Platform,none_reported,FC-EVID-031
FC-INT-0039,Blend Decisioning 2,Numerix CCAR Workbench 2,ISO20022,ISO 20022 pacs/pain,batch_daily,aml_fraud,151747,60,0.13,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0040,Featurespace Transaction Monitoring,FIS Covenant Tracker 2,File,SWIFT MT/MX,streaming,risk,1935508,5,1.75,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0041,The Clearing House ACH Engine,BlackRock Aladdin Advisory Workstation 3,ISO20022,ISO 20022 pacs/pain,intraday,treasury,2758185,5,0.11,Integration & API Platform,manual_repair,FC-EVID-017
FC-INT-0042,Envestnet Advisory Workstation 2,TSYS Card Issuance 4,ISO20022,ISO 20022 pacs/pain,streaming,treasury,3627314,5,0.51,Integration & API Platform,none_reported,FC-EVID-016
FC-INT-0043,SAS Risk Rating 2,FIS Covenant Tracker 2,FHIR_NA,MQ Series,near_real_time,risk,2084483,60,0.55,Integration & API Platform,none_reported,FC-EVID-001
FC-INT-0044,Workday General Ledger,Q2 Consumer LOS 3,ISO20022,ISO 20022 pacs/pain,near_real_time,payments,1933524,15,0.90,Integration & API Platform,no_replay,FC-EVID-011
FC-INT-0045,nCino Consumer LOS,Blend Spreading Engine 3,API,REST/JSON OAuth2,batch_daily,treasury,942025,1,0.75,Integration & API Platform,none_reported,FC-EVID-040
FC-INT-0046,Q2 Digital Onboarding 2,Oracle Expense,API,REST/JSON OAuth2,streaming,aml_fraud,1446549,15,0.21,Integration & API Platform,none_reported,FC-EVID-035
FC-INT-0047,Blend Consumer LOS 2,Oracle Procurement,MQ,Kafka stream,intraday,finance,3937185,60,1.39,Integration & API Platform,none_reported,FC-EVID-034
FC-INT-0048,Marqeta Rewards Engine 4,FIS Statements 2,FHIR_NA,MQ Series,near_real_time,treasury,1425096,60,0.60,Integration & API Platform,none_reported,FC-EVID-031
FC-INT-0049,Murex ALM Engine 2,Q2 Covenant Tracker 3,EDI,NACHA ACH,near_real_time,aml_fraud,3165420,60,1.76,Integration & API Platform,reconciliation_gap,FC-EVID-010
FC-INT-0050,Visa DPS Statement & Billing,FedNow RTP/FedNow Gateway,MQ,Kafka stream,streaming,payments,731057,15,1.29,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0051,SAS Sanctions Screening 3,TSYS Tokenization Vault 3,ISO20022,ISO 20022 pacs/pain,near_real_time,payments,3899560,5,1.37,Integration & API Platform,none_reported,FC-EVID-002
FC-INT-0052,BlackLine Reconciliation 3,ACI Worldwide SWIFT Gateway,ISO20022,ISO 20022 pacs/pain,intraday,risk,1897387,15,1.44,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0053,Mastercard Rewards Engine 2,Feedzai Fraud Scoring 3,EDI,NACHA ACH,streaming,payments,1230030,1,1.69,Integration & API Platform,no_replay,FC-EVID-021
FC-INT-0054,Salesforce Customer 360 3,Calypso Collateral Manager,FHIR_NA,MQ Series,intraday,treasury,676553,5,1.59,Integration & API Platform,none_reported,FC-EVID-024
FC-INT-0055,Q2 Online Banking,Temenos Interest Engine 3,File,SWIFT MT/MX,batch_daily,treasury,3668262,15,1.46,Integration & API Platform,manual_repair,FC-EVID-039
FC-INT-0056,PagerDuty Incident Mgmt,Alkami Notifications 2,FHIR_NA,MQ Series,streaming,core,3589834,60,1.28,Integration & API Platform,none_reported,FC-EVID-031
FC-INT-0057,FedNow Zelle Connector 2,Temenos Statements 3,EDI,NACHA ACH,near_real_time,finance,3874134,240,0.18,Integration & API Platform,no_replay,FC-EVID-029
FC-INT-0058,Moody's Risk Rating,ServiceNow CMDB,Streaming,SFTP batch,batch_daily,treasury,878684,60,1.46,Integration & API Platform,none_reported,FC-EVID-002
FC-INT-0059,Murex ALM Engine 2,Envestnet Performance Reporting 2,EDI,NACHA ACH,streaming,cards,1353927,60,1.35,Integration & API Platform,none_reported,FC-EVID-016
FC-INT-0060,The Clearing House ACH Engine,Fiserv Statements 4,FHIR_NA,MQ Series,batch_daily,core,1861207,15,0.29,Integration & API Platform,none_reported,FC-EVID-002
FC-INT-0061,Featurespace KYC Orchestrator 2,Thought Machine Branch Teller,MQ,Kafka stream,streaming,customer,428264,1,0.41,Integration & API Platform,none_reported,FC-EVID-026
FC-INT-0062,FedNow RTP/FedNow Gateway,Visa DPS Statement & Billing 4,File,SWIFT MT/MX,batch_daily,treasury,4171950,240,0.23,Integration & API Platform,none_reported,FC-EVID-004
FC-INT-0063,dbt Labs Lakehouse Ingest,Temenos Statements 3,EDI,NACHA ACH,intraday,payments,48505,1,0.78,Integration & API Platform,pii_in_payload,FC-EVID-039
FC-INT-0064,Kyriba Funding Desk,SAS Sanctions Screening 3,MQ,Kafka stream,intraday,treasury,3796589,60,1.47,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0065,Mastercard Rewards Engine,Murex FX Trading 2,MQ,Kafka stream,near_real_time,core,607382,240,0.77,Integration & API Platform,none_reported,FC-EVID-039
FC-INT-0066,Databricks BI Semantic Layer 2,FedNow ISO 20022 Hub 3,ISO20022,ISO 20022 pacs/pain,batch_daily,customer,2143684,240,0.67,Integration & API Platform,none_reported,FC-EVID-030
FC-INT-0067,The Clearing House RTP/FedNow Gateway 3,Temenos Branch Teller 2,File,SWIFT MT/MX,streaming,cards,3725459,5,0.35,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0068,Microsoft Dynamics Lead Management,FIS Statements 2,MQ,Kafka stream,streaming,aml_fraud,1340716,240,1.32,Integration & API Platform,none_reported,FC-EVID-016
FC-INT-0069,Q2 Decisioning,dbt Labs Lakehouse Ingest,FHIR_NA,MQ Series,batch_daily,finance,2781852,5,0.00,Integration & API Platform,reconciliation_gap,FC-EVID-021
FC-INT-0070,Thought Machine Loan Servicing 3,nCino Covenant Tracker,EDI,NACHA ACH,intraday,aml_fraud,1958078,15,0.89,Integration & API Platform,none_reported,FC-EVID-018
FC-INT-0071,SAS Transaction Monitoring 2,Databricks Feature Store,Streaming,SFTP batch,streaming,risk,3373431,15,1.52,Integration & API Platform,none_reported,FC-EVID-022
FC-INT-0072,Visa DPS Card Authorization,Splunk Incident Mgmt 2,File,SWIFT MT/MX,streaming,risk,66899,60,1.34,Integration & API Platform,none_reported,FC-EVID-002
FC-INT-0073,Splunk Service Management 2,SAP Regulatory Reporting,FHIR_NA,MQ Series,intraday,core,2219638,5,1.61,Integration & API Platform,none_reported,FC-EVID-030
FC-INT-0074,Marqeta Card Issuance 3,Moody's Market Risk VaR 2,FHIR_NA,MQ Series,near_real_time,core,750607,5,1.28,Integration & API Platform,manual_repair,FC-EVID-013
FC-INT-0075,Q2 Spreading Engine 2,Splunk Service Management 2,EDI,NACHA ACH,batch_daily,payments,2051065,5,0.46,Integration & API Platform,none_reported,FC-EVID-029
FC-INT-0076,Q2 Mobile Banking,Collibra BI Semantic Layer,ISO20022,ISO 20022 pacs/pain,intraday,finance,2721831,60,0.96,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0077,Salesforce Lead Management 2,Blend Decisioning 2,EDI,NACHA ACH,batch_daily,aml_fraud,3444751,15,0.20,Integration & API Platform,none_reported,FC-EVID-040
FC-INT-0078,Salesforce Campaign Engine 2,Volante Bill Pay 3,Streaming,SFTP batch,near_real_time,aml_fraud,2193898,1,0.56,Integration & API Platform,none_reported,FC-EVID-010
FC-INT-0079,Fiserv Account Master 3,Fiserv GL Posting Engine 3,API,REST/JSON OAuth2,streaming,risk,4142961,5,1.31,Integration & API Platform,none_reported,FC-EVID-035
FC-INT-0080,SAS Stress Test Platform 2,Blend Decisioning 2,EDI,NACHA ACH,batch_daily,finance,577170,15,1.50,Integration & API Platform,none_reported,FC-EVID-014
FC-INT-0081,Envestnet Advisory Workstation 2,NICE Actimize SAR Filing 2,Streaming,SFTP batch,intraday,treasury,2398142,60,1.52,Integration & API Platform,none_reported,FC-EVID-039
FC-INT-0082,Envestnet Advisory Workstation,Temenos Interest Engine 3,Streaming,SFTP batch,streaming,finance,3035344,240,0.16,Integration & API Platform,none_reported,FC-EVID-023
FC-INT-0083,Murex Credit Risk Engine 3,FIS Quantum Securities Ledger,File,SWIFT MT/MX,streaming,cards,1890950,1,0.32,Integration & API Platform,none_reported,FC-EVID-001
FC-INT-0084,Temenos Statements 3,Temenos Core Deposits 4,File,SWIFT MT/MX,batch_daily,core,1351461,15,1.42,Integration & API Platform,no_replay,FC-EVID-038
FC-INT-0085,Databricks Feature Store,Envestnet Performance Reporting 2,File,SWIFT MT/MX,intraday,treasury,3769662,60,1.09,Integration & API Platform,none_reported,FC-EVID-012
FC-INT-0086,Datadog Observability 2,Q2 Commercial Origination,MQ,Kafka stream,near_real_time,aml_fraud,539621,60,1.51,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0087,Salesforce Customer 360 3,Thought Machine Loan Servicing,API,REST/JSON OAuth2,batch_daily,cards,1842124,1,0.64,Integration & API Platform,none_reported,FC-EVID-006
FC-INT-0088,BlackLine Reconciliation,Volante Bill Pay,EDI,NACHA ACH,intraday,customer,2634808,60,0.90,Integration & API Platform,none_reported,FC-EVID-020
FC-INT-0089,Envestnet Advisory Workstation 2,Murex CCAR Workbench,MQ,Kafka stream,batch_daily,aml_fraud,3124979,60,1.43,Integration & API Platform,manual_repair,FC-EVID-035
FC-INT-0090,ServiceNow CMDB,Featurespace Fraud Scoring,FHIR_NA,MQ Series,batch_daily,finance,2501653,1,1.71,Integration & API Platform,none_reported,FC-EVID-010
FC-INT-0091,Oracle Procurement,BlackLine Regulatory Reporting 2,Streaming,SFTP batch,streaming,risk,1018604,240,0.91,Integration & API Platform,none_reported,FC-EVID-020
FC-INT-0092,Q2 Mobile Banking,SAS Stress Test Platform,EDI,NACHA ACH,intraday,cards,2781924,5,0.67,Integration & API Platform,none_reported,FC-EVID-030
FC-INT-0093,TSYS Card Issuance 4,Alkami Online Banking 2,Streaming,SFTP batch,batch_daily,customer,1836201,1,1.13,Integration & API Platform,none_reported,FC-EVID-025
FC-INT-0094,Thought Machine Account Master 4,FedNow ISO 20022 Hub 3,FHIR_NA,MQ Series,batch_daily,payments,1533222,1,1.61,Integration & API Platform,none_reported,FC-EVID-035
FC-INT-0095,Volante Wire Platform 3,Mastercard Rewards Engine,ISO20022,ISO 20022 pacs/pain,intraday,finance,1403959,5,0.95,Integration & API Platform,no_replay,FC-EVID-024
FC-INT-0096,FIS Quantum Securities Ledger,nCino Consumer LOS,ISO20022,ISO 20022 pacs/pain,intraday,customer,219481,1,0.69,Integration & API Platform,none_reported,FC-EVID-021
FC-INT-0097,Temenos Account Master,Mastercard Rewards Engine 2,Streaming,SFTP batch,streaming,treasury,3101732,1,0.73,Integration & API Platform,none_reported,FC-EVID-003
FC-INT-0098,SAS Transaction Monitoring 3,dbt Labs Lakehouse Ingest,EDI,NACHA ACH,batch_daily,finance,2150545,1,1.46,Integration & API Platform,none_reported,FC-EVID-026
FC-INT-0099,FIS Quantum Liquidity Monitor,dbt Labs Catalog & Lineage,FHIR_NA,MQ Series,intraday,customer,1253616,15,1.39,Integration & API Platform,manual_repair,FC-EVID-027
FC-INT-0100,Collibra BI Semantic Layer,Microsoft Dynamics Lead Management,API,REST/JSON OAuth2,near_real_time,payments,3928667,15,0.19,Integration & API Platform,none_reported,FC-EVID-035
FC-INT-0101,Alkami Mobile Banking 2,Snowflake Feature Store 3,MQ,Kafka stream,near_real_time,customer,1920417,240,1.63,Integration & API Platform,none_reported,FC-EVID-003
FC-INT-0102,Feedzai Fraud Scoring 3,ACI Worldwide Wire Platform 2,ISO20022,ISO 20022 pacs/pain,near_real_time,risk,2231598,240,1.44,Integration & API Platform,none_reported,FC-EVID-003
FC-INT-0103,Temenos Core Deposits 4,ACI Worldwide ISO 20022 Hub,File,SWIFT MT/MX,intraday,treasury,787360,15,0.40,Integration & API Platform,manual_repair,FC-EVID-008
FC-INT-0104,BlackLine General Ledger 2,SAS Transaction Monitoring 2,API,REST/JSON OAuth2,near_real_time,aml_fraud,2862502,15,1.77,Integration & API Platform,none_reported,FC-EVID-014
FC-INT-0105,Q2 Consumer LOS 3,SAS Credit Risk Engine,FHIR_NA,MQ Series,near_real_time,cards,708493,1,1.40,Integration & API Platform,none_reported,FC-EVID-019
FC-INT-0106,SAP Regulatory Reporting,ACI Worldwide SWIFT Gateway,EDI,NACHA ACH,intraday,cards,3066246,15,0.46,Integration & API Platform,none_reported,FC-EVID-028
FC-INT-0107,ACI Worldwide ACH Engine 2,Calypso FX Trading,Streaming,SFTP batch,intraday,payments,2768734,240,0.60,Integration & API Platform,reconciliation_gap,FC-EVID-025
FC-INT-0108,Fiserv Statements 4,Fiserv Statements,EDI,NACHA ACH,intraday,core,2715491,5,1.16,Integration & API Platform,manual_repair,FC-EVID-006
FC-INT-0109,Thought Machine Branch Teller,Visa DPS Card Authorization 2,API,REST/JSON OAuth2,streaming,payments,2807158,5,0.28,Integration & API Platform,none_reported,FC-EVID-028
FC-INT-0110,Visa DPS Statement & Billing 2,The Clearing House ACH Engine 3,Streaming,SFTP batch,streaming,customer,385273,240,1.66,Integration & API Platform,none_reported,FC-EVID-028
FC-INT-0111,Moody's Credit Risk Engine 2,SAS Sanctions Screening 3,ISO20022,ISO 20022 pacs/pain,near_real_time,cards,1342382,60,1.69,Integration & API Platform,none_reported,FC-EVID-015
FC-INT-0112,TSYS Tokenization Vault,The Clearing House ACH Engine,ISO20022,ISO 20022 pacs/pain,streaming,aml_fraud,3188037,5,0.06,Integration & API Platform,no_replay,FC-EVID-010
FC-INT-0113,Featurespace Fraud Scoring 2,Featurespace Case Manager 2,API,REST/JSON OAuth2,streaming,core,3710655,1,0.06,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0114,TSYS Tokenization Vault,BlackRock Aladdin Portfolio Accounting 2,MQ,Kafka stream,batch_daily,customer,502778,240,1.58,Integration & API Platform,none_reported,FC-EVID-034
FC-INT-0115,Workday General Ledger,Thought Machine Interest Engine,ISO20022,ISO 20022 pacs/pain,intraday,risk,926152,60,0.78,Integration & API Platform,none_reported,FC-EVID-037
FC-INT-0116,Murex Credit Risk Engine 3,Calypso Securities Ledger 2,ISO20022,ISO 20022 pacs/pain,intraday,payments,2422503,60,0.47,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0117,Splunk Change Mgmt,Visa DPS Statement & Billing,Streaming,SFTP batch,intraday,core,2299790,240,0.36,Integration & API Platform,none_reported,FC-EVID-025
FC-INT-0118,ACI Worldwide ISO 20022 Hub,Collibra BI Semantic Layer,API,REST/JSON OAuth2,batch_daily,finance,2164576,240,0.30,Integration & API Platform,none_reported,FC-EVID-007
FC-INT-0119,nCino Covenant Tracker,BlackRock Aladdin Performance Reporting,File,SWIFT MT/MX,near_real_time,aml_fraud,1355456,240,0.29,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0120,Envestnet Advisory Workstation 2,Thought Machine Branch Teller,File,SWIFT MT/MX,streaming,finance,2795122,1,1.38,Integration & API Platform,none_reported,FC-EVID-025
FC-INT-0121,Featurespace Transaction Monitoring,Featurespace Fraud Scoring,Streaming,SFTP batch,near_real_time,customer,2299062,240,1.55,Integration & API Platform,none_reported,FC-EVID-007
FC-INT-0122,FIS GL Posting Engine 2,SAS Risk Rating 3,MQ,Kafka stream,streaming,finance,3043902,240,1.75,Integration & API Platform,none_reported,FC-EVID-019
FC-INT-0123,Featurespace KYC Orchestrator 2,The Clearing House Wire Platform,MQ,Kafka stream,batch_daily,payments,33263,240,1.01,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0124,Blend Spreading Engine 3,Alkami Notifications 2,ISO20022,ISO 20022 pacs/pain,near_real_time,core,2691330,5,1.09,Integration & API Platform,none_reported,FC-EVID-008
FC-INT-0125,Calypso Collateral Manager 2,FIS Statements 2,FHIR_NA,MQ Series,intraday,cards,1380727,5,1.73,Integration & API Platform,none_reported,FC-EVID-001
FC-INT-0126,Fiserv GL Posting Engine 3,BlackRock Aladdin Performance Reporting,EDI,NACHA ACH,intraday,risk,3409021,1,0.61,Integration & API Platform,none_reported,FC-EVID-039
FC-INT-0127,SAP General Ledger 3,Blend Commercial Origination 3,API,REST/JSON OAuth2,intraday,aml_fraud,3920873,60,1.35,Integration & API Platform,none_reported,FC-EVID-032
FC-INT-0128,Featurespace KYC Orchestrator 2,FIS Quantum Securities Ledger,EDI,NACHA ACH,streaming,cards,1429798,5,0.76,Integration & API Platform,none_reported,FC-EVID-026
FC-INT-0129,Calypso Collateral Manager,Q2 Spreading Engine 2,FHIR_NA,MQ Series,near_real_time,finance,2729981,1,0.97,Integration & API Platform,none_reported,FC-EVID-031
FC-INT-0130,The Clearing House Wire Platform,BlackLine Expense 2,API,REST/JSON OAuth2,batch_daily,core,2011040,1,1.76,Integration & API Platform,no_replay,FC-EVID-027
FC-INT-0131,Murex Market Risk VaR 3,Visa DPS Card Issuance,MQ,Kafka stream,batch_daily,treasury,3505142,240,1.55,Integration & API Platform,none_reported,FC-EVID-013
FC-INT-0132,Calypso FX Trading,Fiserv Core Deposits,ISO20022,ISO 20022 pacs/pain,near_real_time,cards,3776539,15,1.15,Integration & API Platform,none_reported,FC-EVID-011
FC-INT-0133,Volante Wire Platform 3,Backbase Onboarding Portal,FHIR_NA,MQ Series,intraday,aml_fraud,3170162,1,0.65,Integration & API Platform,none_reported,FC-EVID-009
FC-INT-0134,Temenos Branch Teller 2,Mastercard Dispute Manager 2,FHIR_NA,MQ Series,streaming,payments,290213,5,0.29,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0135,SAS Case Manager,Databricks BI Semantic Layer 2,MQ,Kafka stream,intraday,core,23475,60,1.45,Integration & API Platform,none_reported,FC-EVID-010
FC-INT-0136,Featurespace KYC Orchestrator 2,FIS Covenant Tracker 2,EDI,NACHA ACH,batch_daily,core,3430170,15,0.42,Integration & API Platform,none_reported,FC-EVID-021
FC-INT-0137,BlackLine Reconciliation 3,Q2 Mobile Banking,API,REST/JSON OAuth2,streaming,core,4134968,240,0.18,Integration & API Platform,none_reported,FC-EVID-037
FC-INT-0138,Envestnet Proposal Generator 2,Calypso Funding Desk 2,EDI,NACHA ACH,batch_daily,cards,1156334,240,0.47,Integration & API Platform,none_reported,FC-EVID-027
FC-INT-0139,Alkami Secure Messaging 2,ACI Worldwide ACH Engine 2,EDI,NACHA ACH,intraday,payments,3059333,15,0.18,Integration & API Platform,pii_in_payload,FC-EVID-003
FC-INT-0140,Visa DPS Card Authorization,Collibra Feature Store 2,API,REST/JSON OAuth2,near_real_time,customer,2685314,5,1.58,Integration & API Platform,none_reported,FC-EVID-010
FIRSTCAPITAL-INT-0141,Featurespace SAR Filing,ServiceNow CMDB,EDI,NACHA ACH,near_real_time,core,3364225,60,0.14,Integration & API Platform,none_reported,FC-EVID-013
FIRSTCAPITAL-INT-0142,Alkami Digital Onboarding,Oracle Expense,Streaming,SFTP batch,near_real_time,core,3367478,15,1.42,Integration & API Platform,none_reported,FC-EVID-016
FIRSTCAPITAL-INT-0143,Q2 Online Banking,Temenos GL Posting Engine 4,API,REST/JSON OAuth2,intraday,risk,3811711,5,1.17,Integration & API Platform,none_reported,FC-EVID-030
FIRSTCAPITAL-INT-0144,SAS Sanctions Screening,Murex Credit Risk Engine 3,FHIR_NA,MQ Series,streaming,treasury,1783674,1,1.13,Integration & API Platform,none_reported,FC-EVID-023
FIRSTCAPITAL-INT-0145,Thought Machine Loan Servicing,Moody's Limits Manager,MQ,Kafka stream,batch_daily,aml_fraud,1385702,240,0.71,Integration & API Platform,none_reported,FC-EVID-017
FIRSTCAPITAL-INT-0146,Calypso Collateral Manager,dbt Labs Catalog & Lineage,Streaming,SFTP batch,batch_daily,payments,1721463,60,0.17,Integration & API Platform,none_reported,FC-EVID-004
FIRSTCAPITAL-INT-0147,Databricks BI Semantic Layer 2,FIS Covenant Tracker 2,MQ,Kafka stream,near_real_time,aml_fraud,3890580,15,1.01,Integration & API Platform,none_reported,FC-EVID-017
FIRSTCAPITAL-INT-0148,Fiserv Account Master 3,Marqeta Card Issuance 3,EDI,NACHA ACH,streaming,customer,566311,60,1.07,Integration & API Platform,none_reported,FC-EVID-030
FIRSTCAPITAL-INT-0149,Microsoft Dynamics Customer 360,BlackRock Aladdin Performance Reporting,Streaming,SFTP batch,batch_daily,risk,724622,60,1.43,Integration & API Platform,none_reported,FC-EVID-004
FIRSTCAPITAL-INT-0150,Q2 Spreading Engine 2,Backbase Campaign Engine,ISO20022,ISO 20022 pacs/pain,intraday,cards,2514371,5,1.70,Integration & API Platform,none_reported,FC-EVID-034
