tenant_key,leader_id,leader_name,role,reports_to_role,organization_area,source_basis,source_file,confidence,caveat
meridian-health,MR-LEADER-15,Meridian Leader 15,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-PMO,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-16,Meridian Leader 16,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-SERVICE,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-17,Meridian Leader 17,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-CLINICAL,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-18,Meridian Leader 18,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-RC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-19,Meridian Leader 19,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-ANC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-20,Meridian Leader 20,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-OR-ED,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-21,Meridian Leader 21,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INTEGRATION,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-22,Meridian Leader 22,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INFRA,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-23,Meridian Leader 23,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-SECURITY,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-24,Meridian Leader 24,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-DATA-AI,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-25,Meridian Leader 25,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-DIGITAL,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-26,Meridian Leader 26,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-POPHEALTH,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-27,Meridian Leader 27,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-RESEARCH,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-28,Meridian Leader 28,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-CORP-IT,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-29,Meridian Leader 29,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-WORKFORCE,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-30,Meridian Leader 30,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-IMAGING,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-31,Meridian Leader 31,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-PMO,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-32,Meridian Leader 32,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-SERVICE,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-33,Meridian Leader 33,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-CLINICAL,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-34,Meridian Leader 34,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-RC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-35,Meridian Leader 35,Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-ANC,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-36,Meridian Leader 36,Associate VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-EPIC-OR-ED,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-37,Meridian Leader 37,VP,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INTEGRATION,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MR-LEADER-38,Meridian Leader 38,Senior Director,Chief Digital & Information Officer / executive technology leadership,TEAM-MR-INFRA,loaded adjacent v1 leadership bench,datasets/meridian-health-synthetic-v1/03-org/leadership-bench.csv,0.78,"Synthetic leadership bench names are available, but exact reporting lines require client validation."
meridian-health,MERIDIAN_HEALTH_ROLE_1,,Chief Digital & Information Officer,CEO / executive committee,technology_leadership,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_2,,VP Clinical Platforms,CIO / executive technology leadership,ehr,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_3,,VP Health Plan Technology,CIO / executive technology leadership,payer_core,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_4,,Chief Data Officer,CEO / executive committee,databricks_aws_lakehouse,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_5,,VP Integration,CIO / executive technology leadership,hl7_fhir_edi_api,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_6,,VP Patient Experience Tech,CIO / executive technology leadership,contact_center_crm,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_7,,VP Corporate Systems,CIO / executive technology leadership,erp_finance,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_8,,CISO,CIO / executive technology leadership,cyber_privacy,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_9,,VP Infrastructure,CIO / executive technology leadership,aws_network_datacenter,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_10,,VP IT Operations,CIO / executive technology leadership,itsm_observability,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_ROLE_11,,VP Engineering,CIO / executive technology leadership,devex,v4 role-level IT ownership,family-1-enterprise-operating-model/F03_it-org-ownership.csv,0.72,V4 has role/team accountability but no named individual for this row.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_12,,Chief Medical Officer,Business executive committee,Ambulatory and Primary Care,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_13,,Chief Operating Officer,Business executive committee,Hospital Operations,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_14,,Chief Health Plan Officer,Business executive committee,Health Plan Operations,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_15,,Chief Pharmacy Officer,Business executive committee,Pharmacy Services,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_16,,VP Revenue Cycle,Business executive committee,Revenue Cycle and Coding,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_17,,Chief Customer Experience Officer,Business executive committee,Member and Patient Contact Center,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_18,,Chief Quality Officer,Business executive committee,"Quality, STAR and HEDIS",v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_19,,CFO,Business executive committee,Finance and Actuarial,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_20,,SVP Population Health,Business executive committee,Population Health and VBC,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_21,,Chief Network Officer,Business executive committee,Provider Network Management,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_22,,Chief Clinical Informatics Officer,Business executive committee,Clinical Informatics,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
meridian-health,MERIDIAN_HEALTH_BUS_ROLE_23,,Chief Strategy Officer,Business executive committee,Enterprise Transformation Office,v4 business function ownership,family-1-enterprise-operating-model/F02_business-org-functions.csv,0.70,Business executive role is loaded; named person requires F18 or adjacent leadership evidence.
