tenant_key,data_product_id,data_product_name,platform,source_system_id,source_system_name,owner_role,trust_score,lineage_basis,confidence,caveat
meridian-health,MERIDIANHEALTH-DATA-0046,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0047,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0048,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0049,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0050,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0051,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0052,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0053,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0054,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0055,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0056,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0057,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0058,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0059,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0060,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0061,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0062,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0063,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0064,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0065,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0066,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0067,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0068,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0069,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0070,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0071,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0072,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0073,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0074,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0075,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0076,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0077,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0078,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0079,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0080,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0081,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0082,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0083,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0084,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0085,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0086,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0087,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0088,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0089,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0090,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0091,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0092,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0093,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0094,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0095,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0096,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0097,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0098,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0099,Clinical documentation AI evidence store,Unity Catalog,,Epic;Ambient vendors;Audit review,Chief Medical Officer,61,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0100,Longitudinal patient/member gold record,Databricks AWS,,Epic;Claims;Pharmacy;CRM,Chief Data Officer,58,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0101,Prior authorization evidence corpus,Databricks AWS,,UM;Epic;Policy repo;Claims,Chief Health Plan Officer,52,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0102,Call center transcript and intent lake,Databricks AWS,,Genesys;Salesforce;Claims;CRM,Chief Customer Experience Officer,49,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0103,HEDIS and STAR quality mart,Databricks AWS,,Epic;Claims;Provider network,Chief Quality Officer,63,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0104,Cost-of-care and product margin mart,Databricks AWS,,Claims;Contracts;GL;Capitation,CFO,46,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0105,Payment integrity pattern library,Databricks AWS,,Claims;Provider;FWA cases,VP Payment Integrity,55,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0106,Automated close semantic layer,dbt semantic layer,,ERP;Claims accruals;Provider contracts,Controller,51,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
meridian-health,MERIDIANHEALTH-DATA-0107,Provider attribution and contract economics,Databricks AWS,,Provider contracts;Claims;Quality,Chief Network Officer,57,F09 data estate with application/team lookup where keys or domains match,0.78,Mapped directly from F09 data estate; column-level lineage remains optional client enrichment.
