kpi_id,name,definition,formula,source_system,data_owner,business_owner,refresh_cadence,current_value,trend,target_fy2026,confidence_in_measurement,leading_or_lagging,tier,benchmark_source,notes,business_function
kpi:apex:031,Mean Time to Detect (MTTD) — Security,Avg time from incident to detection,Std,sys:apex:splunk,person:apex:kevin-harrison,person:apex:sarah-whitfield,Monthly,8 min,Improving,5 min,Medium,Leading,IT,Industry CC,Improvement trajectory,IT
kpi:apex:032,Mean Time to Resolve (MTTR) — Security,Avg time from detection to resolution,Std,sys:apex:splunk,person:apex:kevin-harrison,person:apex:sarah-whitfield,Monthly,42 min,Stable,30 min,Medium,Lagging,IT,Industry,,IT
kpi:apex:033,Privileged Access Review Cadence,% of privileged access reviewed in last 90 days,Std,sys:apex:cyberark,person:apex:kevin-harrison,person:apex:sarah-whitfield,Quarterly,94%,Up,98%,High,Leading,IT,Internal target,Strong,IT
kpi:apex:034,Vulnerability Patch SLA,% of critical vulns patched within 14 days,Std,sys:apex:splunk,person:apex:kevin-harrison,person:apex:sarah-whitfield,Monthly,87%,Up,95%,Medium,Leading,IT,Industry,,IT
kpi:apex:035,DSR Response SLA,% of DSRs responded to within 30 days,Std,sys:apex:onetrust,person:apex:rebecca-singh,person:apex:rebecca-singh,Monthly,98%,Stable,99%,High,Leading,IT,Regulatory floor,Solid,Compliance
kpi:apex:036,Cloud Cost — % of IT Spend,Cloud / Total IT Spend,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:carlos-rivera,Monthly,21%,Up,Manage,High,Leading,IT,Industry,Growth area,IT
kpi:apex:037,SaaS Spend per Employee,SaaS spend / FTE,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:nathan-kohl,Quarterly,$6180,Up,$6000,High,Leading,IT,Industry SaaS benchmarks,Above industry; consolidation opportunity,IT
kpi:apex:038,License Utilization (Top 25 SaaS),Active users / Licensed users,Std,Various,person:apex:nathan-kohl,person:apex:nathan-kohl,Quarterly,68%,Stable,80%,Medium — partial,IT,Industry SaaS benchmarks,Identified $1.24M annual waste; FinOps in progress,,IT
kpi:apex:039,IT Spend as % of Revenue,Std,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:carlos-rivera,Quarterly,3.6%,Stable,3.4%,High,Lagging,Executive,Retail industry benchmarks,In retail norm range,Finance
kpi:apex:040,IT Run / Change / Transform Mix,% allocation,Std,sys:apex:sap-s4,person:apex:james-wright,person:apex:carlos-rivera,Quarterly,Run 58% / Change 21% / Transform 21%,Stable,Run 55% / Change 22% / Transform 23%,High,Lagging,IT,Industry,Working toward more transform,IT
kpi:apex:041,Vendor Concentration (Top 10),Spend with top 10 IT vendors / Total IT spend,Std,sys:apex:coupa,person:apex:nathan-kohl,person:apex:nathan-kohl,Quarterly,68%,Stable,Manage,High,Leading,IT,Industry,Reasonable concentration,Supply Chain
kpi:apex:042,AI Use Cases — Production Count,Count of AI use cases in production,Internal,N/A — manual,person:apex:elena-fischer,person:apex:lynne-stratham,Quarterly,7,Growing,12,Medium — definition fluid,Leading,IT,Internal,Definition is contested; some teams count differently,IT
kpi:apex:043,AI Use Cases — Pilot Count,Count of AI pilots in flight,Internal,N/A — manual,person:apex:elena-fischer,person:apex:lynne-stratham,Quarterly,11,Growing,Manage,Medium,Leading,IT,Internal,Same definition challenge,IT
kpi:apex:044,AI Governance Council Decisions,Count of decisions per quarter,Std,N/A — manual,person:apex:elena-fischer,person:apex:rebecca-singh,Quarterly,18 (Q1 FY2026),Growing,Maintain cadence,High,Leading,IT,Internal,Active governance,IT
kpi:apex:045,Data Quality Score (Customer Domain),Composite data quality metric for customer data,Internal,sys:apex:snowflake,person:apex:james-wright,person:apex:lynne-stratham,Monthly,N/A,Not currently measured,Define and measure,Low — not currently measured,Leading,IT,Internal,Defined but not instrumented; CDP program will require this,E-commerce
kpi:apex:046,System of Record Coverage,% of business processes with named system of record,Internal,N/A — manual,person:apex:linda-mwangi,person:apex:carlos-rivera,Annual,82%,Stable,90%,Medium,Leading,IT,Internal,Architecture portfolio metric,IT
kpi:apex:047,Architecture Review Coverage,% of programs in P2/P3 reviewed by ARB,Internal,sys:apex:atlassian,person:apex:linda-mwangi,person:apex:linda-mwangi,Quarterly,100%,Stable,100%,High,Leading,IT,Internal,Strong since 2024 process strengthening,IT
kpi:apex:048,Stage Gate Pass Rate,% of programs passing gate on first attempt,Internal,N/A — manual,person:apex:daniel-okeke,person:apex:carlos-rivera,Quarterly,73%,Improving,75%,Medium,Lagging,IT,Internal,Stricter standards mean lower first-pass; trade-off accepted,IT
kpi:apex:049,Program On-Time Delivery,% of programs hitting committed dates,Internal,N/A — manual,person:apex:daniel-okeke,person:apex:carlos-rivera,Quarterly,68%,Stable,80%,Medium,Lagging,IT,Internal,Active concern,IT
kpi:apex:050,Vendor SLA Adherence,% of contracts meeting SLAs,Internal,N/A — manual,person:apex:nathan-kohl,person:apex:nathan-kohl,Quarterly,91%,Stable,95%,Medium,Lagging,IT,Internal,Stable,Supply Chain
kpi:apex:051,Inventory Shrink Rate,"(Book inventory - physical inventory) / net sales; measures merchandise losses from theft, damage, and administrative error","(Book inventory - physical inventory) / net sales",sys:apex:sap-s4,person:apex:david-okonjo,person:apex:david-okonjo,Annual physical (semi-annual cycle count estimate),1.8% FY2025,Up 20bp YoY,≤1.5%,Medium (physical counts 2x/year; interim estimates from cycle counts),Lagging,Operational,NRF retail security survey,"Organized retail crime driving external shrink increase in 6 high-risk markets; internal shrink stable",Retail Operations
kpi:apex:052,Store Traffic (Weekly Visits),Total customer entrances measured by traffic counters across all 340 stores,Sum of all entrance counter events per week,sys:apex:traffic-counters,person:apex:david-okonjo,person:apex:david-okonjo,Weekly,1.24M/week,Down 8.4% YoY,≥1.15M/week,High,Leading,Operational,ShopperTrak retail benchmarks,"Traffic-to-conversion improvement (store conversion rate +110bp YoY) partly offsetting traffic decline",Retail Operations
kpi:apex:053,Sales per Labor Hour (Store),Total store net sales / total paid labor hours in stores,Net store sales / total paid store labor hours,sys:apex:sap-s4,person:apex:james-wright,person:apex:david-okonjo,Weekly,$52.40/hour,Up $1.80 YoY,$58.00,High,Leading,Operational,Retail Operations Industry Association,"Improvement driven by labor model optimization; does not include training hours",Retail Operations
kpi:apex:054,Store Labor Cost % of Net Sales,Total store labor cost (payroll + benefits) / store net sales,Total store payroll + benefits / store net sales,sys:apex:workday,person:apex:james-wright,person:apex:david-okonjo,Weekly,18.2%,Down 60bp YoY,17.5%,High,Lagging,Operational,Retail Operations Industry Association,"Excludes corporate labor allocation",Retail Operations
kpi:apex:055,New Hire Turnover Rate (Store 90-day),% of store associates who left within 90 days of hire / total new hires in the period,Store associates departed ≤90 days / total new hires × 100,sys:apex:workday,person:apex:thomas-brennan,person:apex:david-okonjo,Monthly,34%,Down 4pp YoY,≤28%,High,Lagging,Operational,SHRM retail turnover benchmarks,"High turnover in 3 urban markets driving disproportionate cost; manager tenure correlated with lower new-hire turnover",Retail Operations
kpi:apex:056,Inventory Days on Hand (DOH),(Average inventory / COGS) × days in period,(Average inventory / COGS) × days in period,sys:apex:sap-s4,person:apex:michael-tanaka,person:apex:michael-tanaka,Monthly,68 days,Up 5 days YoY,60 days,High,Leading,Operational,Retail industry median 55 days,"apex-forecast-2026 targets 10-day DOH reduction through improved planning",Supply Chain
kpi:apex:057,Inventory Aging — Units >180 Days on Hand,% of active SKUs with >180 days of inventory relative to recent sales velocity,Count of SKUs (DOH > 180 days) / total active SKUs × 100,sys:apex:sap-s4,person:apex:michael-tanaka,person:apex:angela-foster,Monthly,8.4% of active SKUs,Up 1.8pp YoY,≤6.0%,High,Leading,Operational,Internal historical,"Aging inventory concentrated in apparel basics and seasonal carryover; clearance markdown rate rising as result",Supply Chain
kpi:apex:058,Markdown Rate by Quarter,Markdowns taken as % of net sales (clearance + promotional),Total markdown dollars / net sales × 100,sys:apex:sap-s4,person:apex:james-wright,person:apex:angela-foster,Quarterly,14.2% FY2025,Up 150bp YoY,≤12.5%,High,Lagging,Operational,Internal; peer specialty retail,"Higher markdowns driven by demand forecasting misses on new SKU introductions; apex-forecast-2026 directly addresses",Merchandising
kpi:apex:059,Days Payable Outstanding (DPO),Average number of days to pay vendors,(Accounts payable / COGS) × days in period,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Monthly,38 days,Flat YoY,42 days,High,Leading,Operational,Retail industry median 45 days,"Apex DPO shorter than peers; extending to 42 days would free ~$28M working capital",Supply Chain
kpi:apex:060,Vendor On-Time Delivery Rate,% of purchase orders received within the agreed delivery window (±2 days),POs received within delivery window / total POs × 100,sys:apex:sap-s4,person:apex:michael-tanaka,person:apex:michael-tanaka,Weekly,82.4%,Down 2.8pp YoY,88%,High,Leading,Operational,Retail supplier performance benchmarks,"Top 10 vendors at 91%; tail vendors driving underperformance",Supply Chain
kpi:apex:061,Gross Margin by Channel — Digital vs. In-Store,Gross margin % on digital channel orders vs. in-store channel; measures channel profitability differential,Channel net revenue - channel COGS / channel net revenue × 100,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Monthly,"Digital 38.4% / In-store 42.1%",Digital improving +80bp YoY,Digital ≥40%,Medium (channel cost allocation has caveats — last-mile delivery costs partially shared),Lagging,Operational,Retail analytics industry reports,"Digital margin includes last-mile shipping cost (partially absorbed); gross margin before shipping is 44.2%",E-commerce
kpi:apex:062,Loyalty Redemption Rate,% of loyalty points earned that are redeemed within 12 months,Points redeemed within 12 months / points earned × 100,sys:apex:salesforce-core,person:apex:james-wright,person:apex:jennifer-park,Monthly,62%,Up 4pp YoY,70%,High,Lagging,Operational,Bond Loyalty Report,"High-tier members redeem 81%; low-tier 44%; low redemption indicates disengagement risk",Customer
kpi:apex:063,Loyalty Member Dormancy Rate,% of active loyalty members with no transaction in last 12 months,Members with 0 transactions last 12 months / total active loyalty members × 100,sys:apex:salesforce-core,person:apex:james-wright,person:apex:jennifer-park,Monthly,28%,Up 3pp YoY,≤22%,Medium (CDP identity resolution incomplete at 71%; some dormant members may be duplicates),Leading,Operational,Bond Loyalty Report,"CDP activation expected to improve dormancy identification accuracy",Customer
kpi:apex:064,Personalization Revenue Lift,Incremental revenue from personalized email/web recommendations vs. control group (A/B measured),Revenue per session (personalized) / revenue per session (control) - 1 × 100,sys:apex:adobe-target,person:apex:priya-iyer,person:apex:jennifer-park,Quarterly,+11.4% vs. non-personalized,Up from +8.2% prior year,+15%,Medium (measured on 32 tests FY2025; test coverage not uniform across categories),Leading,Strategic,McKinsey retail personalization benchmarks,"PERS-2024 failure established that lift must be measured vs. baseline before scaling; this KPI documents the baseline measurement discipline",E-commerce
kpi:apex:065,Email Unsubscribe Rate,% of marketing emails sent resulting in unsubscribe,Unsubscribes / emails delivered × 100,sys:apex:klaviyo,person:apex:priya-iyer,person:apex:jennifer-park,Daily,0.42%,Up 8bp YoY,≤0.35%,High,Leading,Operational,Klaviyo retail benchmarks,"Klaviyo compliance status — not on approved systems list for confidential customer data (PCI/GLBA boundary); data classification remediation in progress",E-commerce
kpi:apex:066,Loyalty Tier Migration Rate (Upward),% of loyalty members who moved to a higher tier in the past 12 months,Members with tier upgrade in last 12 months / total active loyalty members × 100,sys:apex:salesforce-core,person:apex:james-wright,person:apex:jennifer-park,Monthly,9.2%,Flat YoY,12%,High,Leading,Operational,Internal,"Tier migration correlates with 3.4x higher LTV; improving migration rate is a key lever for CLV optimization",Customer
kpi:apex:067,Working Capital Ratio,Current assets / current liabilities; measures short-term liquidity,Current assets / current liabilities,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Quarterly,1.82x,Flat YoY,≥1.70x,High,Lagging,Executive,S&P Retail sector,"Healthy; DPO extension opportunity would modestly compress ratio",Finance
kpi:apex:068,Free Cash Flow (FCF),Operating cash flow minus capital expenditures,Operating cash flow - capex,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Quarterly,$142M FY2025,Up $18M YoY,$160M,High,Lagging,Executive,S&P Retail sector median,"FCF improvement driven by demand forecasting; additional improvement expected from DPO extension",Finance
kpi:apex:069,SG&A as % of Net Sales,Total selling/general/administrative expense / net sales,Total SG&A / net sales × 100,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Quarterly,28.4%,Flat YoY,27.5%,High,Lagging,Executive,Specialty retail peer median 27.1%,"Technology investment in FY2026 will temporarily pressure SG&A; cost reduction expected post-program completion",Finance
kpi:apex:070,Capital Expenditure as % of Revenue,Total capex / net revenue,Total capital expenditures / net revenue × 100,sys:apex:sap-s4,person:apex:james-wright,person:apex:margaret-chen,Quarterly,3.8%,Up 40bp YoY,"≤4.5% while programs active; ≤3.0% steady state",High,Lagging,Executive,Specialty retail average 2.8–4.2% during transformation,"Digital and AMS program capex driving increase; expected to normalize by FY2028",Finance
kpi:apex:071,PCI DSS Compliance Score,% of PCI DSS v4.0 requirements tested and passed in last annual QSA assessment,Requirements passed / total requirements × 100,sys:apex:splunk,person:apex:kevin-harrison,person:apex:sarah-whitfield,Annual (QSA assessment),94%,Down 2pp YoY (new v4.0 requirements),100%,High,Lagging,Operational,PCI Security Standards Council,"6 requirements remediation in flight; target pass before May 2026 assessment window",Compliance
kpi:apex:072,Data Privacy Request Fulfillment Rate (CCPA/CPRA),% of consumer data requests (deletion/access/opt-out) fulfilled within statutory 45-day window,Requests fulfilled within 45 days / total requests received × 100,sys:apex:onetrust,person:apex:rebecca-singh,person:apex:rebecca-singh,Monthly,98.2%,Stable,100%,High,Lagging,Operational,IAPP privacy benchmarks,"1.8% non-fulfillment due to CDP identity resolution gap — cannot locate all records for a consumer across systems; CDP Activation 2026 will resolve",Compliance
kpi:apex:073,Audit Finding Remediation Rate,% of internal audit findings (all severities) remediated within agreed target dates,Findings remediated on time / total findings × 100,sys:apex:servicenow,person:apex:rebecca-singh,person:apex:margaret-chen,Quarterly,81%,Down 5pp YoY (AMS program creating competing priorities),90%,High,Lagging,Operational,IIA audit effectiveness benchmarks,"Critical findings (1–2 open) tracking to closure; medium/low findings impacted by resource constraints",Compliance
kpi:apex:074,Vendor Security Assessment Completion Rate,% of critical/high-risk vendors with completed annual security assessment,Vendors with completed assessment / total critical+high-risk vendors × 100,sys:apex:servicenow,person:apex:kevin-harrison,person:apex:sarah-whitfield,Quarterly,88%,Up 3pp YoY,100%,High,Lagging,Operational,NIST CSF / SOC 2 benchmarks,"4 critical vendors with overdue assessments; Wipro (AMS consolidation primary vendor) flagged as overdue — tied to AMS-2023 lesson learned",Compliance
