risk_id,risk_title,risk_type,control_id,policy_id,owner,severity,likelihood,status,linked_ci_ids,linked_vendor_ids,remediation_due_date,evidence_required,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-018,Policy review date approaching without steward attestation,Compliance,CTRL-117,POL-018,Payer Platform Operations,Medium,Medium,Open,CI-SVC-002|CI-DATA-006,VEN-CROWDSTRIKE,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-18,GRC Office,2026-05-01,0.79,true,
RISK-019,Critical CI owner validation is stale,Financial,CTRL-118,POL-019,Cybersecurity Governance,High,Medium,Open,CI-DATA-003|CI-APP-007,VEN-PALOALTO,2026-01-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-19,GRC Office,2026-05-01,0.79,true,
RISK-020,Renewal decision date lacks sourcing owner,AI Governance,CTRL-119,POL-020,IT Sourcing,Medium,Medium,Open,CI-APP-004|CI-SVC-008,VEN-ZSCALER,2026-02-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-20,GRC Office,2026-05-01,0.79,true,
RISK-021,AI workflow lacks model monitoring evidence,Vendor,CTRL-120,POL-021,EHR Platform Engineering,Medium,High,Mitigating,CI-SVC-005|CI-DATA-009,VEN-BROADCOM,2026-03-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-21,GRC Office,2026-05-01,0.79,false,
RISK-022,Incident trend worsened for dependent service,Operational,CTRL-121,POL-022,Clinical Informatics,Critical,Medium,Open,CI-DATA-006|CI-APP-010,VEN-CISCO,2026-04-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-22,GRC Office,2026-05-01,0.79,true,
RISK-023,Vendor security review due before renewal,Security,CTRL-122,POL-023,Integration Operations,Medium,Medium,Open,CI-APP-007|CI-SVC-011,VEN-VEEAM,2026-05-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-23,GRC Office,2026-05-01,0.79,true,
RISK-024,Policy review date approaching without steward attestation,Privacy,CTRL-123,POL-024,Revenue Cycle Technology,Medium,Medium,Open,CI-SVC-008|CI-DATA-012,VEN-HASHICORP,2026-06-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-24,GRC Office,2026-05-01,0.79,true,
RISK-025,Critical CI owner validation is stale,Compliance,CTRL-124,POL-025,Contact Center Technology,High,Medium,Mitigating,CI-DATA-009|CI-APP-013,VEN-REDOX,2026-07-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-25,GRC Office,2026-05-01,0.79,true,
RISK-026,Renewal decision date lacks sourcing owner,Financial,CTRL-125,POL-026,Cloud Platform Services,Medium,High,Open,CI-APP-010|CI-SVC-014,VEN-QLIK,2026-08-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-26,GRC Office,2026-05-01,0.79,false,
RISK-027,AI workflow lacks model monitoring evidence,AI Governance,CTRL-126,POL-027,Research Technology Office,Medium,Medium,Open,CI-SVC-011|CI-DATA-015,VEN-QUALTRICS,2026-09-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-27,GRC Office,2026-05-01,0.79,true,
RISK-028,Incident trend worsened for dependent service,Vendor,CTRL-127,POL-028,Payer Platform Operations,High,Medium,Open,CI-DATA-012|CI-APP-016,VEN-WORKDAY,2026-10-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-28,GRC Office,2026-05-01,0.79,true,
RISK-029,Vendor security review due before renewal,Operational,CTRL-128,POL-029,Cybersecurity Governance,Critical,Medium,Mitigating,CI-APP-013|CI-SVC-017,VEN-EPIC,2026-11-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-29,GRC Office,2026-05-01,0.79,true,
RISK-030,Policy review date approaching without steward attestation,Security,CTRL-129,POL-030,IT Sourcing,Medium,Medium,Open,CI-SVC-014|CI-DATA-018,VEN-SNOW,2026-12-28,"Owner attestation, source extract, and control evidence are required.",GRC,RISK-30,GRC Office,2026-05-01,0.79,true,
