tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,function_id,function_name,executive_owner,operating_model,primary_kpis,critical_processes
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-011,Cargo,v4_synthetic_pack,President Cargo,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-011,Cargo,President Cargo,"Cargo booking, capacity, warehouse operations, pharma chain",Cycle time; unit cost; service quality,"Cargo booking, capacity, warehouse operations, pharma chain"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-012,Finance and Treasury,v4_synthetic_pack,CFO,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-012,Finance and Treasury,CFO,"FP&A, accounting, treasury, fuel hedging, revenue accounting",Run cost; forecast accuracy; control defects,"FP&A, accounting, treasury, fuel hedging, revenue accounting"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-013,Procurement and Vendor Management,v4_synthetic_pack,Chief Procurement Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,14,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-013,Procurement and Vendor Management,Chief Procurement Officer,"Sourcing, contracts, renewals, SI and AMS",Availability; delivery throughput; adoption,"Sourcing, contracts, renewals, SI and AMS"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-014,People / HR,v4_synthetic_pack,Chief People Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,15,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-014,People / HR,Chief People Officer,"Workforce planning, labor, learning, payroll",Revenue lift; retention; margin,"Workforce planning, labor, learning, payroll"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-015,"Legal, Regulatory, DOT Consumer",v4_synthetic_pack,Chief Legal Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,16,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-015,"Legal, Regulatory, DOT Consumer",Chief Legal Officer,"DOT, FAA, TSA, privacy, consumer obligations",Issue aging; audit readiness; loss events,"DOT, FAA, TSA, privacy, consumer obligations"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-016,Safety and Compliance,v4_synthetic_pack,Chief Safety Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,17,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-016,Safety and Compliance,Chief Safety Officer,"SMS, FAA compliance, audit, operational safety",Cycle time; unit cost; service quality,"SMS, FAA compliance, audit, operational safety"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-017,Digital and Technology,v4_synthetic_pack,EVP Chief Digital & Technology Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,18,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-017,Digital and Technology,EVP Chief Digital & Technology Officer,"Enterprise technology, digital, data, cyber, AI",Run cost; forecast accuracy; control defects,"Enterprise technology, digital, data, cyber, AI"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-018,"Data, Analytics and AI",v4_synthetic_pack,Chief Data and AI Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,19,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-018,"Data, Analytics and AI",Chief Data and AI Officer,"EDW, BI, data lake, ML, AI governance",Availability; delivery throughput; adoption,"EDW, BI, data lake, ML, AI governance"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-019,Cybersecurity and Resilience,v4_synthetic_pack,CISO,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,20,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-019,Cybersecurity and Resilience,CISO,"SOC, IAM, zero trust, resilience, third-party risk",Revenue lift; retention; margin,"SOC, IAM, zero trust, resilience, third-party risk"
skyharbor-air,Airline Demo,v6.0,business_function,SHA-BF-020,Corporate Strategy and Transformation,v4_synthetic_pack,Chief Strategy Officer,synthetic_demo,family-1-enterprise-operating-model/F02_business-org-functions.csv,21,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-BF-020,Corporate Strategy and Transformation,Chief Strategy Officer,"Enterprise portfolio, board transformation, value office",Issue aging; audit readiness; loss events,"Enterprise portfolio, board transformation, value office"
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-2,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-001,IROPS recovery decisioning,SHA-BF-001,IROPS recovery decisioning capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,1,IROPS recovery decisioning
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-3,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,3,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-002,Crew recovery and legality,SHA-BF-002,Crew recovery and legality capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,2,Crew recovery and legality
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-4,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,4,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-003,Flight planning and dispatch,SHA-BF-003,Flight planning and dispatch capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,3,Flight planning and dispatch
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-5,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,5,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-004,Airport turn management,SHA-BF-004,Airport turn management capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,4,Airport turn management
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-6,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,6,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-005,Baggage tracking and recovery,SHA-BF-005,Baggage tracking and recovery capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,5,Baggage tracking and recovery
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-7,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,7,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-006,MRO predictive maintenance,SHA-BF-006,MRO predictive maintenance capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,1,MRO predictive maintenance
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-8,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,8,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-007,Revenue management and pricing,SHA-BF-007,Revenue management and pricing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,2,Revenue management and pricing
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-9,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,9,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-008,NDC offer/order retailing,SHA-BF-008,NDC offer/order retailing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,3,NDC offer/order retailing
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-10,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,10,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-009,Loyalty personalization,SHA-BF-009,Loyalty personalization capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,4,Loyalty personalization
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-11,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,11,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-010,Digital concierge and journey orchestration,SHA-BF-010,Digital concierge and journey orchestration capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,5,Digital concierge and journey orchestration
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-12,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,12,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-011,Contact center service recovery,SHA-BF-011,Contact center service recovery capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,1,Contact center service recovery
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-13,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-012,Cargo capacity optimization,SHA-BF-012,Cargo capacity optimization capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,2,Cargo capacity optimization
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-14,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,14,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-013,Fuel optimization and sustainability,SHA-BF-013,Fuel optimization and sustainability capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,3,Fuel optimization and sustainability
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-15,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,15,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-014,Revenue accounting and settlement,SHA-BF-014,Revenue accounting and settlement capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,4,Revenue accounting and settlement
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-16,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,16,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-015,SAP finance close and procurement,SHA-BF-015,SAP finance close and procurement capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,5,SAP finance close and procurement
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-17,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,17,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-016,Mainframe transaction processing,SHA-BF-016,Mainframe transaction processing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,1,Mainframe transaction processing
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-18,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,18,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-017,Cloud-native digital engineering,SHA-BF-017,Cloud-native digital engineering capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,2,Cloud-native digital engineering
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-19,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,19,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-018,Enterprise integration and eventing,SHA-BF-018,Enterprise integration and eventing capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,3,Enterprise integration and eventing
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-20,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,20,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-019,EDW and certified BI,SHA-BF-019,EDW and certified BI capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,4,EDW and certified BI
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-21,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,21,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-020,Data lake ingestion and lineage,SHA-BF-020,Data lake ingestion and lineage capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,5,Data lake ingestion and lineage
skyharbor-air,Airline Demo,v6.0,business_function,skyharbor-air-business_function-22,business_function record,v4_synthetic_pack,Airline Evidence Steward,synthetic_demo,family-1-enterprise-operating-model/F04_capabilities-value-streams.csv,22,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Home|Intelligence|Moves,current_state|relationship|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,SHA-CAP-021,Customer identity and consent,SHA-BF-001,Customer identity and consent capability for a Delta-scale global airline with legacy-modern hybrid dependencies.,1,Customer identity and consent
