tenant_key,client_display_name,v6_contract_version,business_object_family,record_id,record_name,source_system,source_owner,source_basis,source_file,source_row_number,as_of_date,period_start,period_end,refresh_frequency,confidence,synthetic_demo_flag,data_sensitivity,required_for_surfaces,allowed_answer_types,not_allowed_claims,known_gaps,created_at,updated_at,program_id,business_owner,technology_owner,executive_sponsor,phase,budget_usd,spend_to_date_usd,expected_value_usd,realized_value_usd,value_basis,status,target_date,dependencies,risks,decision_needed
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0001,Fleet Renewal Program,v4_synthetic_pack,CIO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,2,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0001,COO,VP Enterprise Applications,CIO,Scaling,1200000,450000,1800000,300000,rag=Red; sponsor=Board Technology Committee; ai=N,On track,2026-12-31,rag=Red; sponsor=Board Technology Committee; ai=N,rag=Red; sponsor=Board Technology Committee; ai=N,rag=Red; sponsor=Board Technology Committee; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0012,Dynamic Pricing Initiative 02,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,13,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0012,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Closing,2245000,1022000,3010000,685000,rag=Red; sponsor=CMO; ai=Y,At risk,2027-04-09,rag=Red; sponsor=CMO; ai=Y,rag=Red; sponsor=CMO; ai=Y,rag=Red; sponsor=CMO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0013,Baggage Tracking Initiative 03,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,14,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0013,COO,VP Enterprise Applications,CIO,Scaling,2340000,1074000,3120000,720000,rag=Amber; sponsor=CFO; ai=N,On track,2027-04-18,rag=Amber; sponsor=CFO; ai=N,rag=Amber; sponsor=CFO; ai=N,rag=Amber; sponsor=CFO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0014,Contact Center Modernization Initiative 04,v4_synthetic_pack,VP Data,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,15,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0014,CFO,Chief Data Officer,COO,In Delivery,2435000,1126000,3230000,755000,rag=Amber; sponsor=CFO; ai=Y,Watch,2027-04-27,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0015,Network Optimization Initiative 05,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,16,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0015,CIO,VP Infrastructure,CFO,In Delivery,2530000,1178000,3340000,790000,rag=Red; sponsor=CMO; ai=N,At risk,2027-05-06,rag=Red; sponsor=CMO; ai=N,rag=Red; sponsor=CMO; ai=N,rag=Red; sponsor=CMO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0016,Fuel Efficiency Initiative 06,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,17,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0016,Chief Commercial Officer,Head of AI Enablement,Executive Committee,In Delivery,2625000,1230000,3450000,825000,rag=Green; sponsor=CEO; ai=N,On track,2027-05-15,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0017,Data Platform Consolidation Initiative 07,v4_synthetic_pack,CRO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,18,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0017,COO,VP Enterprise Applications,CIO,Closing,2720000,1282000,3560000,860000,rag=Amber; sponsor=CEO; ai=N,Watch,2027-05-24,rag=Amber; sponsor=CEO; ai=N,rag=Amber; sponsor=CEO; ai=N,rag=Amber; sponsor=CEO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0018,Mainframe Offload Initiative 08,v4_synthetic_pack,CRO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,19,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0018,CFO,Chief Data Officer,COO,Sustain,2815000,1334000,3670000,895000,rag=Green; sponsor=CMO; ai=N,At risk,2027-06-02,rag=Green; sponsor=CMO; ai=N,rag=Green; sponsor=CMO; ai=N,rag=Green; sponsor=CMO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0019,Integration Modernization Initiative 09,v4_synthetic_pack,VP Data,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,20,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0019,CIO,VP Infrastructure,CFO,Ideation,2910000,1386000,3780000,930000,rag=Red; sponsor=COO; ai=Y,On track,2027-06-11,rag=Red; sponsor=COO; ai=Y,rag=Red; sponsor=COO; ai=Y,rag=Red; sponsor=COO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0020,Self-Service Rebooking Initiative 10,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,21,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0020,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Closing,3005000,1438000,3890000,965000,rag=Amber; sponsor=CFO; ai=Y,Watch,2027-06-20,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y,rag=Amber; sponsor=CFO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0021,Cargo Capacity Optimization Initiative 11,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,22,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0021,COO,VP Enterprise Applications,CIO,Business Case,3100000,1490000,4000000,1000000,rag=Amber; sponsor=CEO; ai=N,At risk,2027-06-29,rag=Amber; sponsor=CEO; ai=N,rag=Amber; sponsor=CEO; ai=N,rag=Amber; sponsor=CEO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0022,Revenue Accounting Automation Initiative 12,v4_synthetic_pack,CMO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,23,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0022,CFO,Chief Data Officer,COO,Approved,3195000,1542000,4110000,1035000,rag=Red; sponsor=CIO; ai=Y,On track,2027-07-08,rag=Red; sponsor=CIO; ai=Y,rag=Red; sponsor=CIO; ai=Y,rag=Red; sponsor=CIO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0023,Workforce Planning Initiative 13,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,24,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0023,CIO,VP Infrastructure,CFO,Scaling,3290000,1594000,4220000,1070000,rag=Green; sponsor=CEO; ai=N,Watch,2027-07-17,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N,rag=Green; sponsor=CEO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0024,Procurement Optimization Initiative 14,v4_synthetic_pack,VP Data,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,25,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0024,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Ideation,3385000,1646000,4330000,1105000,rag=Green; sponsor=CRO; ai=Y,At risk,2027-07-26,rag=Green; sponsor=CRO; ai=Y,rag=Green; sponsor=CRO; ai=Y,rag=Green; sponsor=CRO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0025,Sustainability Reporting Initiative 15,v4_synthetic_pack,VP Engineering,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,26,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0025,COO,VP Enterprise Applications,CIO,Sustain,3480000,1698000,4440000,1140000,rag=Red; sponsor=CEO; ai=Y,On track,2027-08-04,rag=Red; sponsor=CEO; ai=Y,rag=Red; sponsor=CEO; ai=Y,rag=Red; sponsor=CEO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0026,API Platform Initiative 16,v4_synthetic_pack,CFO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,27,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0026,CFO,Chief Data Officer,COO,Ideation,3575000,1750000,4550000,1175000,rag=Red; sponsor=CIO; ai=Y,Watch,2027-08-13,rag=Red; sponsor=CIO; ai=Y,rag=Red; sponsor=CIO; ai=Y,rag=Red; sponsor=CIO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0027,Observability Uplift Initiative 17,v4_synthetic_pack,CMO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,28,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0027,CIO,VP Infrastructure,CFO,Business Case,3670000,1802000,4660000,1210000,rag=Red; sponsor=CMO; ai=N,At risk,2027-08-22,rag=Red; sponsor=CMO; ai=N,rag=Red; sponsor=CMO; ai=N,rag=Red; sponsor=CMO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0028,Identity Modernization Initiative 18,v4_synthetic_pack,CRO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,29,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0028,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Sustain,3765000,1854000,4770000,1245000,rag=Amber; sponsor=CRO; ai=Y,On track,2027-08-31,rag=Amber; sponsor=CRO; ai=Y,rag=Amber; sponsor=CRO; ai=Y,rag=Amber; sponsor=CRO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0029,Disaster Recovery Uplift Initiative 19,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,30,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0029,COO,VP Enterprise Applications,CIO,Scaling,3860000,1906000,4880000,1280000,rag=Red; sponsor=CMO; ai=Y,Watch,2027-09-09,rag=Red; sponsor=CMO; ai=Y,rag=Red; sponsor=CMO; ai=Y,rag=Red; sponsor=CMO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0030,Real-time Ops Data Platform Initiative 20,v4_synthetic_pack,VP Data,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,31,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0030,CFO,Chief Data Officer,COO,Business Case,3955000,1958000,4990000,1315000,rag=Green; sponsor=CIO; ai=N,At risk,2027-09-18,rag=Green; sponsor=CIO; ai=N,rag=Green; sponsor=CIO; ai=N,rag=Green; sponsor=CIO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0031,Loyalty Personalization Initiative 21,v4_synthetic_pack,VP Infrastructure,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,32,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0031,CIO,VP Infrastructure,CFO,Closing,4050000,2010000,5100000,1350000,rag=Red; sponsor=Board Technology Committee; ai=Y,On track,2027-09-27,rag=Red; sponsor=Board Technology Committee; ai=Y,rag=Red; sponsor=Board Technology Committee; ai=Y,rag=Red; sponsor=Board Technology Committee; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0032,Dynamic Pricing Initiative 22,v4_synthetic_pack,VP Operations,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,33,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0032,Chief Commercial Officer,Head of AI Enablement,Executive Committee,Sustain,4145000,2062000,5210000,1385000,rag=Red; sponsor=CFO; ai=Y,Watch,2027-10-06,rag=Red; sponsor=CFO; ai=Y,rag=Red; sponsor=CFO; ai=Y,rag=Red; sponsor=CFO; ai=Y
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0033,Baggage Tracking Initiative 23,v4_synthetic_pack,VP Operations,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,34,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0033,COO,VP Enterprise Applications,CIO,Scaling,4240000,2114000,5320000,1420000,rag=Green; sponsor=CIO; ai=N,At risk,2027-10-15,rag=Green; sponsor=CIO; ai=N,rag=Green; sponsor=CIO; ai=N,rag=Green; sponsor=CIO; ai=N
skyharbor-air,Airline Demo,v6.0,program_initiative,INIT-0034,Contact Center Modernization Initiative 24,v4_synthetic_pack,COO,synthetic_demo,family-5-execution-operations/F13_initiatives-portfolio.csv,35,2026-06-18,2026-01-01,2026-06-18,static_snapshot,medium,synthetic_demo,confidential,Moves|Tower|Intelligence,execution|portfolio|value|risk|gap|recommendation,unsupported_fact|cross_tenant_claim|claim_beyond_source_confidence,none,2026-06-28T00:00:00Z,2026-06-29T14:49:49.881Z,INIT-0034,CFO,Chief Data Officer,COO,Closing,4335000,2166000,5430000,1455000,rag=Green; sponsor=Board Technology Committee; ai=N,On track,2027-10-24,rag=Green; sponsor=Board Technology Committee; ai=N,rag=Green; sponsor=Board Technology Committee; ai=N,rag=Green; sponsor=Board Technology Committee; ai=N
