tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,extraction_id,concept_ref,evidence_class,subject_kind,subject_ref,value_text,value_num,value_bool,source_file_id,source_section,source_page,confidence,review_state
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-011,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-011,data_security,commercial,contract,MER-TECH-LAAMS-001,data security is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-011.,,,DOC-LAAMS-SOW,commercial,12,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-012,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-012,phi_handling,commercial,contract,MER-TECH-LAAMS-001,phi handling is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-012.,,,DOC-LAAMS-SOW,commercial,13,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-013,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-013,audit_rights,commercial,contract,MER-TECH-LAAMS-001,audit rights is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-013.,,,DOC-LAAMS-SOW,commercial,14,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-014,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-014,change_control,commercial,contract,MER-TECH-LAAMS-001,change control is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-014.,,,DOC-LAAMS-SOW,commercial,15,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-015,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-015,minor_enhancement_bank,commercial,contract,MER-TECH-LAAMS-001,minor enhancement bank is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-015.,,,DOC-LAAMS-SOW,commercial,16,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-016,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-016,excluded_major_projects,operational,contract,MER-TECH-LAAMS-001,excluded major projects is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-016.,,,DOC-LAAMS-SOW,operational,17,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-017,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-017,knowledge_transfer,operational,contract,MER-TECH-LAAMS-001,knowledge transfer is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-017.,,,DOC-LAAMS-SOW,operational,18,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-018,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-018,cmdb_update_obligation,operational,contract,MER-TECH-LAAMS-001,cmdb update obligation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-018.,,,DOC-LAAMS-SOW,operational,19,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-019,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-019,report_certification,operational,contract,MER-TECH-LAAMS-001,report certification is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-019.,,,DOC-LAAMS-SOW,operational,2,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-020,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-020,batch_monitoring,operational,contract,MER-TECH-LAAMS-001,batch monitoring is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-020.,,,DOC-LAAMS-SOW,operational,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-021,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-021,quarter_close_support,operational,contract,MER-TECH-LAAMS-001,quarter close support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-021.,,,DOC-LAAMS-SOW,operational,4,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-022,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-022,disaster_recovery_support,operational,contract,MER-TECH-LAAMS-001,disaster recovery support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-022.,,,DOC-LAAMS-SOW,operational,5,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-023,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-023,data_retention,operational,contract,MER-TECH-LAAMS-001,data retention is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-023.,,,DOC-LAAMS-SOW,operational,6,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-024,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-024,subcontractor_approval,operational,contract,MER-TECH-LAAMS-001,subcontractor approval is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-024.,,,DOC-LAAMS-SOW,operational,7,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-025,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-025,inflation_cap,operational,contract,MER-TECH-LAAMS-001,inflation cap is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-025.,,,DOC-LAAMS-SOW,operational,8,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-026,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-026,volume_band_adjustment,operational,contract,MER-TECH-LAAMS-001,volume band adjustment is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-026.,,,DOC-LAAMS-SOW,operational,9,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-027,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-027,run_change_separation,operational,contract,MER-TECH-LAAMS-001,run change separation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-027.,,,DOC-LAAMS-SOW,operational,10,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-028,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-028,root_cause_obligation,operational,contract,MER-TECH-LAAMS-001,root cause obligation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-028.,,,DOC-LAAMS-SOW,operational,11,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-029,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-029,service_improvement_plan,operational,contract,MER-TECH-LAAMS-001,service improvement plan is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-029.,,,DOC-LAAMS-SLA,operational,12,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-030,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-030,ticket_tool_of_record,operational,contract,MER-TECH-LAAMS-001,ticket tool of record is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-030.,,,DOC-LAAMS-SLA,operational,13,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-031,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-031,cloud_migration_support,operational,contract,MER-TECH-LAAMS-001,cloud migration support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-031.,,,DOC-LAAMS-SLA,operational,14,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-032,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-032,databricks_dual_run,operational,contract,MER-TECH-LAAMS-001,databricks dual run is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-032.,,,DOC-LAAMS-SLA,operational,15,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-033,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-033,aws_tagging_support,operational,contract,MER-TECH-LAAMS-001,aws tagging support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-033.,,,DOC-LAAMS-SLA,operational,16,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-034,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-034,data_quality_remediation,operational,contract,MER-TECH-LAAMS-001,data quality remediation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-034.,,,DOC-LAAMS-SLA,operational,17,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-035,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-035,access_review_support,governance,contract,MER-TECH-LAAMS-001,access review support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-035.,,,DOC-LAAMS-SLA,governance,18,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-036,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-036,interface_inventory,governance,contract,MER-TECH-LAAMS-001,interface inventory is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-036.,,,DOC-LAAMS-SLA,governance,19,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-037,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-037,report_decommission_support,governance,contract,MER-TECH-LAAMS-001,report decommission support is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-037.,,,DOC-LAAMS-SLA,governance,2,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-038,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-038,business_rule_documentation,governance,contract,MER-TECH-LAAMS-001,business rule documentation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-038.,,,DOC-LAAMS-SLA,governance,3,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-039,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-039,pricing_true_up,governance,contract,MER-TECH-LAAMS-001,pricing true up is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-039.,,,DOC-LAAMS-SLA,governance,4,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-040,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-040,invoice_detail_requirement,governance,contract,MER-TECH-LAAMS-001,invoice detail requirement is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-040.,,,DOC-LAAMS-SLA,governance,5,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-041,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-041,po_match_requirement,governance,contract,MER-TECH-LAAMS-001,po match requirement is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-041.,,,DOC-LAAMS-SLA,governance,6,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-042,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-042,retained_team_responsibilities,governance,contract,MER-TECH-LAAMS-001,retained team responsibilities is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-042.,,,DOC-LAAMS-SLA,governance,7,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-043,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-043,vendor_responsibilities,governance,contract,MER-TECH-LAAMS-001,vendor responsibilities is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-043.,,,DOC-LAAMS-SLA,governance,8,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-044,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-044,executive_qbr,governance,contract,MER-TECH-LAAMS-001,executive qbr is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-044.,,,DOC-LAAMS-SLA,governance,9,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-045,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-045,governance_cadence,governance,contract,MER-TECH-LAAMS-001,governance cadence is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-045.,,,DOC-LAAMS-SLA,governance,10,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-046,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-046,clinical_reporting_priority,governance,contract,MER-TECH-LAAMS-001,clinical reporting priority is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-046.,,,DOC-LAAMS-SLA,governance,11,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-047,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-047,claims_reporting_priority,governance,contract,MER-TECH-LAAMS-001,claims reporting priority is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-047.,,,DOC-LAAMS-SLA,governance,12,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-048,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-048,regulatory_reporting_blackout,governance,contract,MER-TECH-LAAMS-001,regulatory reporting blackout is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-048.,,,DOC-LAAMS-SLA,governance,13,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-049,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-049,release_window,governance,contract,MER-TECH-LAAMS-001,release window is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-049.,,,DOC-LAAMS-SLA,governance,14,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-050,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-050,minimum_staffing,governance,contract,MER-TECH-LAAMS-001,minimum staffing is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-050.,,,DOC-LAAMS-SLA,governance,15,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-051,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-051,surge_approval,governance,contract,MER-TECH-LAAMS-001,surge approval is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-051.,,,DOC-LAAMS-SLA,governance,16,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-052,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-052,travel_expense_policy,governance,contract,MER-TECH-LAAMS-001,travel expense policy is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-052.,,,DOC-LAAMS-SLA,governance,17,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-053,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-053,credit_offset_timing,governance,contract,MER-TECH-LAAMS-001,credit offset timing is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-053.,,,DOC-LAAMS-SLA,governance,18,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-054,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-054,dispute_escalation,governance,contract,MER-TECH-LAAMS-001,dispute escalation is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-054.,,,DOC-LAAMS-SLA,governance,19,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-055,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-055,assignment_change,governance,contract,MER-TECH-LAAMS-001,assignment change is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-055.,,,DOC-LAAMS-SLA,governance,2,0.91,synthetic_demo_reviewed
meridian-health,meridian-laams-new-event-rich-v2-20260908,clause:MER-TECH-LAAMS-001:TERM-LAAMS-056,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,clause:MER-TECH-LAAMS-001:TERM-LAAMS-056,confidentiality,governance,contract,MER-TECH-LAAMS-001,confidentiality is governed by the 2024 managed-services agreement and mapped to Source evidence row TERM-LAAMS-056.,,,DOC-LAAMS-SLA,governance,3,0.91,synthetic_demo_reviewed
