tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,incident_id,opened_date,severity,affected_service,short_description,resolution_hours,sla_met,root_cause_family,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00024,2027-06-01,P4,provider dashboard,Synthetic incident 24: missing source file,18.1,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00025,2026-07-01,P4,SQL mart refresh,Synthetic incident 25: late refresh,18.8,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00026,2026-08-01,P2,Tableau extract,Synthetic incident 26: data mismatch,19.5,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00027,2026-09-01,P3,Power BI gateway,Synthetic incident 27: access issue,20.2,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00028,2026-10-01,P3,SAS batch,Synthetic incident 28: failed batch,20.9,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00029,2026-11-01,P4,claims feed,Synthetic incident 29: dashboard timeout,21.6,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00030,2026-12-01,P4,provider dashboard,Synthetic incident 30: missing source file,22.3,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00031,2027-01-01,P2,SQL mart refresh,Synthetic incident 31: late refresh,23,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00032,2027-02-01,P3,Tableau extract,Synthetic incident 32: data mismatch,23.7,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00033,2027-03-01,P3,Power BI gateway,Synthetic incident 33: access issue,24.4,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00034,2027-04-01,P4,SAS batch,Synthetic incident 34: failed batch,25.1,false,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00035,2027-05-01,P4,claims feed,Synthetic incident 35: dashboard timeout,25.8,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00036,2027-06-01,P2,provider dashboard,Synthetic incident 36: missing source file,26.5,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00037,2026-07-01,P3,SQL mart refresh,Synthetic incident 37: late refresh,27.2,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00038,2026-08-01,P3,Tableau extract,Synthetic incident 38: data mismatch,2,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00039,2026-09-01,P4,Power BI gateway,Synthetic incident 39: access issue,2.7,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00040,2026-10-01,P4,SAS batch,Synthetic incident 40: failed batch,3.4,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00041,2026-11-01,P2,claims feed,Synthetic incident 41: dashboard timeout,4.1,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00042,2026-12-01,P3,provider dashboard,Synthetic incident 42: missing source file,4.8,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00043,2027-01-01,P3,SQL mart refresh,Synthetic incident 43: late refresh,5.5,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00044,2027-02-01,P4,Tableau extract,Synthetic incident 44: data mismatch,6.2,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00045,2027-03-01,P4,Power BI gateway,Synthetic incident 45: access issue,6.9,false,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00046,2027-04-01,P2,SAS batch,Synthetic incident 46: failed batch,7.6,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00047,2027-05-01,P3,claims feed,Synthetic incident 47: dashboard timeout,8.3,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00048,2027-06-01,P3,provider dashboard,Synthetic incident 48: missing source file,9,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00049,2026-07-01,P4,SQL mart refresh,Synthetic incident 49: late refresh,9.7,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00050,2026-08-01,P4,Tableau extract,Synthetic incident 50: data mismatch,10.4,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00051,2026-09-01,P2,Power BI gateway,Synthetic incident 51: access issue,11.1,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00052,2026-10-01,P3,SAS batch,Synthetic incident 52: failed batch,11.8,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00053,2026-11-01,P3,claims feed,Synthetic incident 53: dashboard timeout,12.5,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00054,2026-12-01,P4,provider dashboard,Synthetic incident 54: missing source file,13.2,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00055,2027-01-01,P4,SQL mart refresh,Synthetic incident 55: late refresh,13.9,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00056,2027-02-01,P2,Tableau extract,Synthetic incident 56: data mismatch,14.6,false,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00057,2027-03-01,P3,Power BI gateway,Synthetic incident 57: access issue,15.3,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00058,2027-04-01,P3,SAS batch,Synthetic incident 58: failed batch,16,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00059,2027-05-01,P4,claims feed,Synthetic incident 59: dashboard timeout,16.7,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00060,2027-06-01,P4,provider dashboard,Synthetic incident 60: missing source file,17.4,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00061,2026-07-01,P2,SQL mart refresh,Synthetic incident 61: late refresh,18.1,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00062,2026-08-01,P3,Tableau extract,Synthetic incident 62: data mismatch,18.8,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00063,2026-09-01,P3,Power BI gateway,Synthetic incident 63: access issue,19.5,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00064,2026-10-01,P4,SAS batch,Synthetic incident 64: failed batch,20.2,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00065,2026-11-01,P4,claims feed,Synthetic incident 65: dashboard timeout,20.9,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00066,2026-12-01,P2,provider dashboard,Synthetic incident 66: missing source file,21.6,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00067,2027-01-01,P3,SQL mart refresh,Synthetic incident 67: late refresh,22.3,false,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00068,2027-02-01,P3,Tableau extract,Synthetic incident 68: data mismatch,23,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00069,2027-03-01,P4,Power BI gateway,Synthetic incident 69: access issue,23.7,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00070,2027-04-01,P4,SAS batch,Synthetic incident 70: failed batch,24.4,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00071,2027-05-01,P2,claims feed,Synthetic incident 71: dashboard timeout,25.1,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00072,2027-06-01,P3,provider dashboard,Synthetic incident 72: missing source file,25.8,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00073,2026-07-01,P3,SQL mart refresh,Synthetic incident 73: late refresh,26.5,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00074,2026-08-01,P4,Tableau extract,Synthetic incident 74: data mismatch,27.2,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00075,2026-09-01,P4,Power BI gateway,Synthetic incident 75: access issue,2,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00076,2026-10-01,P2,SAS batch,Synthetic incident 76: failed batch,2.7,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00077,2026-11-01,P3,claims feed,Synthetic incident 77: dashboard timeout,3.4,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00078,2026-12-01,P3,provider dashboard,Synthetic incident 78: missing source file,4.1,false,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00079,2027-01-01,P4,SQL mart refresh,Synthetic incident 79: late refresh,4.8,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00080,2027-02-01,P4,Tableau extract,Synthetic incident 80: data mismatch,5.5,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00081,2027-03-01,P2,Power BI gateway,Synthetic incident 81: access issue,6.2,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00082,2027-04-01,P3,SAS batch,Synthetic incident 82: failed batch,6.9,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00083,2027-05-01,P3,claims feed,Synthetic incident 83: dashboard timeout,7.6,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00084,2027-06-01,P4,provider dashboard,Synthetic incident 84: missing source file,8.3,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00085,2026-07-01,P4,SQL mart refresh,Synthetic incident 85: late refresh,9,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00086,2026-08-01,P2,Tableau extract,Synthetic incident 86: data mismatch,9.7,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00087,2026-09-01,P3,Power BI gateway,Synthetic incident 87: access issue,10.4,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00088,2026-10-01,P3,SAS batch,Synthetic incident 88: failed batch,11.1,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00089,2026-11-01,P4,claims feed,Synthetic incident 89: dashboard timeout,11.8,false,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00090,2026-12-01,P4,provider dashboard,Synthetic incident 90: missing source file,12.5,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00091,2027-01-01,P2,SQL mart refresh,Synthetic incident 91: late refresh,13.2,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00092,2027-02-01,P3,Tableau extract,Synthetic incident 92: data mismatch,13.9,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00093,2027-03-01,P3,Power BI gateway,Synthetic incident 93: access issue,14.6,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00094,2027-04-01,P4,SAS batch,Synthetic incident 94: failed batch,15.3,true,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00095,2027-05-01,P4,claims feed,Synthetic incident 95: dashboard timeout,16,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00096,2027-06-01,P2,provider dashboard,Synthetic incident 96: missing source file,16.7,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00097,2026-07-01,P3,SQL mart refresh,Synthetic incident 97: late refresh,17.4,true,upstream file delay,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00098,2026-08-01,P3,Tableau extract,Synthetic incident 98: data mismatch,18.1,true,legacy job dependency,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00099,2026-09-01,P4,Power BI gateway,Synthetic incident 99: access issue,18.8,true,manual restart,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00100,2026-10-01,P4,SAS batch,Synthetic incident 100: failed batch,19.5,false,access group drift,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00101,2026-11-01,P2,claims feed,Synthetic incident 101: dashboard timeout,20.2,true,code defect,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INC-LAAMS-00102,2026-12-01,P3,provider dashboard,Synthetic incident 102: missing source file,20.9,true,capacity contention,meridian-laams-new-event-rich-v2-20260908
