tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,period_month,base_fee_usd,change_order_fee_usd,pass_through_usd,credit_memo_usd,actual_spend_usd,currency,po_number,evidence_document_id,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-06-01,654166.67,59000,0,0,713166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-07-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2024,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-08-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-09-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-10-01,654166.67,0,9000,0,663166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-11-01,654166.67,67500,0,0,721666.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2025-12-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-01-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-02-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-03-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-04-01,654166.67,42000,0,0,696166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-05-01,654166.67,0,9000,0,663166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-06-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-07-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2025,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-08-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-09-01,654166.67,50500,0,0,704666.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-10-01,654166.67,0,0,-12500,641666.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-11-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,654166.67,0,9000,0,663166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,654166.67,59000,0,0,713166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,654166.67,0,0,0,654166.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-07-01,654166.67,67500,9000,0,730666.67,USD,PO-LAAMS-2026,DOC-LAAMS-INVOICE-PO-PACKET,meridian-laams-new-event-rich-v2-20260908
