tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,pipeline_id,pipeline_name,source_system,target_system,frequency,monthly_run_count,failure_rate_pct,vendor_responsibility,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-027,Legacy analytics feed 027,provider directory,Power BI dataset,weekly,8,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-028,Legacy analytics feed 028,EHR extract,SAS staging,monthly,1,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-029,Legacy analytics feed 029,finance GL,S3 landing,daily,30,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-030,Legacy analytics feed 030,pharmacy claims,Databricks bronze,daily,22,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-031,Legacy analytics feed 031,claims platform,SQL mart,weekly,8,1.2,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-032,Legacy analytics feed 032,membership,Tableau extract,monthly,1,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-033,Legacy analytics feed 033,provider directory,Power BI dataset,daily,30,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-034,Legacy analytics feed 034,EHR extract,SAS staging,daily,22,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-035,Legacy analytics feed 035,finance GL,S3 landing,weekly,8,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-036,Legacy analytics feed 036,pharmacy claims,Databricks bronze,monthly,1,1.8,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-037,Legacy analytics feed 037,claims platform,SQL mart,daily,30,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-038,Legacy analytics feed 038,membership,Tableau extract,daily,22,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-039,Legacy analytics feed 039,provider directory,Power BI dataset,weekly,8,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-040,Legacy analytics feed 040,EHR extract,SAS staging,monthly,1,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-041,Legacy analytics feed 041,finance GL,S3 landing,daily,30,4.6,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-042,Legacy analytics feed 042,pharmacy claims,Databricks bronze,daily,22,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-043,Legacy analytics feed 043,claims platform,SQL mart,weekly,8,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-044,Legacy analytics feed 044,membership,Tableau extract,monthly,1,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-045,Legacy analytics feed 045,provider directory,Power BI dataset,daily,30,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-046,Legacy analytics feed 046,EHR extract,SAS staging,daily,22,0.4,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-047,Legacy analytics feed 047,finance GL,S3 landing,weekly,8,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-048,Legacy analytics feed 048,pharmacy claims,Databricks bronze,monthly,1,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-049,Legacy analytics feed 049,claims platform,SQL mart,daily,30,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-050,Legacy analytics feed 050,membership,Tableau extract,daily,22,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-051,Legacy analytics feed 051,provider directory,Power BI dataset,weekly,8,3.1,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-052,Legacy analytics feed 052,EHR extract,SAS staging,monthly,1,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-053,Legacy analytics feed 053,finance GL,S3 landing,daily,30,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-054,Legacy analytics feed 054,pharmacy claims,Databricks bronze,daily,22,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-055,Legacy analytics feed 055,claims platform,SQL mart,weekly,8,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-056,Legacy analytics feed 056,membership,Tableau extract,monthly,1,2.5,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-057,Legacy analytics feed 057,provider directory,Power BI dataset,daily,30,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-058,Legacy analytics feed 058,EHR extract,SAS staging,daily,22,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-059,Legacy analytics feed 059,finance GL,S3 landing,weekly,8,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-060,Legacy analytics feed 060,pharmacy claims,Databricks bronze,monthly,1,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-061,Legacy analytics feed 061,claims platform,SQL mart,daily,30,1.2,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-062,Legacy analytics feed 062,membership,Tableau extract,daily,22,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-063,Legacy analytics feed 063,provider directory,Power BI dataset,weekly,8,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-064,Legacy analytics feed 064,EHR extract,SAS staging,monthly,1,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-065,Legacy analytics feed 065,finance GL,S3 landing,daily,30,4.6,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-066,Legacy analytics feed 066,pharmacy claims,Databricks bronze,daily,22,1.8,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-067,Legacy analytics feed 067,claims platform,SQL mart,weekly,8,1.2,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-068,Legacy analytics feed 068,membership,Tableau extract,monthly,1,2.5,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-069,Legacy analytics feed 069,provider directory,Power BI dataset,daily,30,3.1,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-070,Legacy analytics feed 070,EHR extract,SAS staging,daily,22,0.4,vendor_primary,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-071,Legacy analytics feed 071,finance GL,S3 landing,weekly,8,4.6,shared,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,PIPE-LAAMS-072,Legacy analytics feed 072,pharmacy claims,Databricks bronze,monthly,1,1.8,vendor_primary,meridian-laams-new-event-rich-v2-20260908
