tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,scope_item_id,scope_family,business_unit,item_name,criticality,run_or_change,vendor_responsibility,modernization_target,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-018,SAS batch job,Clinical Quality,SAS batch job 18,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-019,claims feed,Member Experience,claims feed 19,medium,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-020,provider analytics report,Provider Network,provider analytics report 20,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-021,membership eligibility extract,Finance,membership eligibility extract 21,high,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-022,SQL Server mart,Claims Operations,SQL Server mart 22,medium,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-023,Tableau workbook,Clinical Quality,Tableau workbook 23,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-024,Power BI semantic model,Member Experience,Power BI semantic model 24,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-025,SAS batch job,Provider Network,SAS batch job 25,high,change_candidate,shared_with_retained_team,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-026,claims feed,Finance,claims feed 26,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-027,provider analytics report,Claims Operations,provider analytics report 27,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-028,membership eligibility extract,Clinical Quality,membership eligibility extract 28,low,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-029,SQL Server mart,Member Experience,SQL Server mart 29,high,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-030,Tableau workbook,Provider Network,Tableau workbook 30,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-031,Power BI semantic model,Finance,Power BI semantic model 31,medium,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-032,SAS batch job,Claims Operations,SAS batch job 32,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-033,claims feed,Clinical Quality,claims feed 33,high,run,shared_with_retained_team,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-034,provider analytics report,Member Experience,provider analytics report 34,medium,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-035,membership eligibility extract,Provider Network,membership eligibility extract 35,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-036,SQL Server mart,Finance,SQL Server mart 36,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-037,Tableau workbook,Claims Operations,Tableau workbook 37,high,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-038,Power BI semantic model,Clinical Quality,Power BI semantic model 38,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-039,SAS batch job,Member Experience,SAS batch job 39,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-040,claims feed,Provider Network,claims feed 40,low,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-041,provider analytics report,Finance,provider analytics report 41,high,run,shared_with_retained_team,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-042,membership eligibility extract,Claims Operations,membership eligibility extract 42,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-043,SQL Server mart,Clinical Quality,SQL Server mart 43,medium,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-044,Tableau workbook,Member Experience,Tableau workbook 44,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-045,Power BI semantic model,Provider Network,Power BI semantic model 45,high,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-046,SAS batch job,Finance,SAS batch job 46,medium,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-047,claims feed,Claims Operations,claims feed 47,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-048,provider analytics report,Clinical Quality,provider analytics report 48,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-049,membership eligibility extract,Member Experience,membership eligibility extract 49,high,change_candidate,shared_with_retained_team,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-050,SQL Server mart,Provider Network,SQL Server mart 50,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-051,Tableau workbook,Finance,Tableau workbook 51,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-052,Power BI semantic model,Claims Operations,Power BI semantic model 52,low,run,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-053,SAS batch job,Clinical Quality,SAS batch job 53,high,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-054,claims feed,Member Experience,claims feed 54,medium,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-055,provider analytics report,Provider Network,provider analytics report 55,medium,change_candidate,vendor_primary,AWS/Databricks migration wave,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,SCOPE-LAAMS-056,membership eligibility extract,Finance,membership eligibility extract 56,low,run,vendor_primary,legacy run support,meridian-laams-new-event-rich-v2-20260908
