tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,invoice_line_id,invoice_number,period_month,line_type,description,amount_usd,cost_center,po_number,matched_to_contract,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0013,INV-2025-08-003,2025-08-01,base_fee,base fee line for 2025-08-01,109027.78,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0014,INV-2025-09-003,2025-09-01,change_order,change order line for 2025-09-01,11500,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0015,INV-2025-10-003,2025-10-01,pass_through,pass through line for 2025-10-01,1250,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0016,INV-2025-11-003,2025-11-01,credit_memo,credit memo line for 2025-11-01,0,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0017,INV-2025-12-003,2025-12-01,transition_support,transition support line for 2025-12-01,6200,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0018,INV-2026-01-003,2026-01-01,surge_pool,surge pool line for 2026-01-01,3800,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0019,INV-2026-02-004,2026-02-01,base_fee,base fee line for 2026-02-01,109027.78,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0020,INV-2026-03-004,2026-03-01,change_order,change order line for 2026-03-01,9250,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0021,INV-2026-04-004,2026-04-01,pass_through,pass through line for 2026-04-01,1250,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0022,INV-2026-05-004,2026-05-01,credit_memo,credit memo line for 2026-05-01,0,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0023,INV-2026-06-004,2026-06-01,transition_support,transition support line for 2026-06-01,6200,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0024,INV-2026-07-004,2026-07-01,surge_pool,surge pool line for 2026-07-01,3800,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0025,INV-2026-08-005,2026-08-01,base_fee,base fee line for 2026-08-01,109027.78,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0026,INV-2026-09-005,2026-09-01,change_order,change order line for 2026-09-01,13750,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0027,INV-2026-10-005,2026-10-01,pass_through,pass through line for 2026-10-01,1250,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0028,INV-2026-11-005,2026-11-01,credit_memo,credit memo line for 2026-11-01,0,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0029,INV-2026-12-005,2026-12-01,transition_support,transition support line for 2026-12-01,6200,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0030,INV-2027-01-005,2027-01-01,surge_pool,surge pool line for 2027-01-01,3800,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0031,INV-2027-02-006,2027-02-01,base_fee,base fee line for 2027-02-01,109027.78,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0032,INV-2027-03-006,2027-03-01,change_order,change order line for 2027-03-01,11500,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0033,INV-2027-04-006,2027-04-01,pass_through,pass through line for 2027-04-01,1250,D&A Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0034,INV-2027-05-006,2027-05-01,credit_memo,credit memo line for 2027-05-01,0,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0035,INV-2027-06-006,2027-06-01,transition_support,transition support line for 2027-06-01,6200,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0036,INV-2027-07-006,2027-07-01,surge_pool,surge pool line for 2027-07-01,3800,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0037,INV-2024-08-007,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0038,INV-2024-09-007,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0039,INV-2024-10-007,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0040,INV-2024-11-007,2024-11-01,credit_memo,credit memo line for 2024-11-01,0,Clinical Quality,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0041,INV-2024-12-007,2024-12-01,transition_support,transition support line for 2024-12-01,6200,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0042,INV-2025-01-007,2025-01-01,surge_pool,surge pool line for 2025-01-01,3800,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0043,INV-2025-02-008,2025-02-01,base_fee,base fee line for 2025-02-01,109027.78,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0044,INV-2025-03-008,2025-03-01,change_order,change order line for 2025-03-01,13750,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0045,INV-2025-04-008,2025-04-01,pass_through,pass through line for 2025-04-01,1250,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0046,INV-2025-05-008,2025-05-01,credit_memo,credit memo line for 2025-05-01,0,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0047,INV-2025-06-008,2025-06-01,transition_support,transition support line for 2025-06-01,6200,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0048,INV-2025-07-008,2025-07-01,surge_pool,surge pool line for 2025-07-01,3800,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0049,INV-2025-08-009,2025-08-01,base_fee,base fee line for 2025-08-01,109027.78,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0050,INV-2025-09-009,2025-09-01,change_order,change order line for 2025-09-01,11500,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0051,INV-2025-10-009,2025-10-01,pass_through,pass through line for 2025-10-01,1250,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0052,INV-2025-11-009,2025-11-01,credit_memo,credit memo line for 2025-11-01,0,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0053,INV-2025-12-009,2025-12-01,transition_support,transition support line for 2025-12-01,6200,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0054,INV-2026-01-009,2026-01-01,surge_pool,surge pool line for 2026-01-01,3800,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0055,INV-2026-02-010,2026-02-01,base_fee,base fee line for 2026-02-01,109027.78,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0056,INV-2026-03-010,2026-03-01,change_order,change order line for 2026-03-01,9250,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0057,INV-2026-04-010,2026-04-01,pass_through,pass through line for 2026-04-01,1250,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0058,INV-2026-05-010,2026-05-01,credit_memo,credit memo line for 2026-05-01,0,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0059,INV-2026-06-010,2026-06-01,transition_support,transition support line for 2026-06-01,6200,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0060,INV-2026-07-010,2026-07-01,surge_pool,surge pool line for 2026-07-01,3800,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0061,INV-2026-08-011,2026-08-01,base_fee,base fee line for 2026-08-01,109027.78,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0062,INV-2026-09-011,2026-09-01,change_order,change order line for 2026-09-01,13750,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0063,INV-2026-10-011,2026-10-01,pass_through,pass through line for 2026-10-01,1250,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0064,INV-2026-11-011,2026-11-01,credit_memo,credit memo line for 2026-11-01,0,Clinical Quality,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0065,INV-2026-12-011,2026-12-01,transition_support,transition support line for 2026-12-01,6200,D&A Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0066,INV-2027-01-011,2027-01-01,surge_pool,surge pool line for 2027-01-01,3800,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0067,INV-2027-02-012,2027-02-01,base_fee,base fee line for 2027-02-01,109027.78,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0068,INV-2027-03-012,2027-03-01,change_order,change order line for 2027-03-01,11500,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0069,INV-2027-04-012,2027-04-01,pass_through,pass through line for 2027-04-01,1250,D&A Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0070,INV-2027-05-012,2027-05-01,credit_memo,credit memo line for 2027-05-01,0,Claims Ops,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0071,INV-2027-06-012,2027-06-01,transition_support,transition support line for 2027-06-01,6200,Finance Analytics,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0072,INV-2027-07-012,2027-07-01,surge_pool,surge pool line for 2027-07-01,3800,Clinical Quality,PO-LAAMS-2027,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0073,INV-2024-08-013,2024-08-01,base_fee,base fee line for 2024-08-01,109027.78,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0074,INV-2024-09-013,2024-09-01,change_order,change order line for 2024-09-01,9250,Claims Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0075,INV-2024-10-013,2024-10-01,pass_through,pass through line for 2024-10-01,1250,Finance Analytics,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0076,INV-2024-11-013,2024-11-01,credit_memo,credit memo line for 2024-11-01,0,Clinical Quality,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0077,INV-2024-12-013,2024-12-01,transition_support,transition support line for 2024-12-01,6200,D&A Ops,PO-LAAMS-2024,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0078,INV-2025-01-013,2025-01-01,surge_pool,surge pool line for 2025-01-01,3800,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0079,INV-2025-02-014,2025-02-01,base_fee,base fee line for 2025-02-01,109027.78,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0080,INV-2025-03-014,2025-03-01,change_order,change order line for 2025-03-01,13750,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0081,INV-2025-04-014,2025-04-01,pass_through,pass through line for 2025-04-01,1250,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0082,INV-2025-05-014,2025-05-01,credit_memo,credit memo line for 2025-05-01,0,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0083,INV-2025-06-014,2025-06-01,transition_support,transition support line for 2025-06-01,6200,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0084,INV-2025-07-014,2025-07-01,surge_pool,surge pool line for 2025-07-01,3800,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0085,INV-2025-08-015,2025-08-01,base_fee,base fee line for 2025-08-01,109027.78,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0086,INV-2025-09-015,2025-09-01,change_order,change order line for 2025-09-01,11500,Claims Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0087,INV-2025-10-015,2025-10-01,pass_through,pass through line for 2025-10-01,1250,Finance Analytics,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0088,INV-2025-11-015,2025-11-01,credit_memo,credit memo line for 2025-11-01,0,Clinical Quality,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0089,INV-2025-12-015,2025-12-01,transition_support,transition support line for 2025-12-01,6200,D&A Ops,PO-LAAMS-2025,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0090,INV-2026-01-015,2026-01-01,surge_pool,surge pool line for 2026-01-01,3800,Claims Ops,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,INV-LAAMS-0091,INV-2026-02-016,2026-02-01,base_fee,base fee line for 2026-02-01,109027.78,Finance Analytics,PO-LAAMS-2026,true,meridian-laams-new-event-rich-v2-20260908
