tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,role,location_mix,fte,annual_vendor_cost_rate_usd,annual_client_bill_rate_usd,annual_vendor_cost_usd,annual_billed_amount_usd,annual_margin_and_overhead_usd,responsibility,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-bi_reporting_enhancements-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,bi_reporting_enhancements - offshore_senior_or_primary,offshore,4.28,86800.00,140000.00,371504.00,599200.00,227696.00,"Minor enhancements, report fixes, regulatory layout changes",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-bi_reporting_enhancements-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,bi_reporting_enhancements - offshore_engineer_or_analyst,offshore,2.02,86800.00,140000.00,175336.00,282800.00,107464.00,"Minor enhancements, report fixes, regulatory layout changes",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-sas_statistical_job_support-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,sas_statistical_job_support - onshore_lead_or_sme,onshore,0.6,115000.00,159722.22,69000.00,95833.33,26833.33,"SAS batch support, claims model jobs, statistical output troubleshooting",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-sas_statistical_job_support-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,sas_statistical_job_support - offshore_senior_or_primary,offshore,2.04,99027.77,159722.22,202016.66,325833.33,123816.67,"SAS batch support, claims model jobs, statistical output troubleshooting",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-sas_statistical_job_support-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,sas_statistical_job_support - offshore_engineer_or_analyst,offshore,0.96,99027.77,159722.22,95066.66,153333.33,58266.67,"SAS batch support, claims model jobs, statistical output troubleshooting",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-incident_problem_change-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,incident_problem_change - onshore_lead_or_sme,onshore,1,100800.00,140000.00,100800.00,140000.00,39200.00,"Incident queue, problem records, change coordination, release calendar",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-incident_problem_change-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,incident_problem_change - offshore_senior_or_primary,offshore,2.72,86800.00,140000.00,236096.00,380800.00,144704.00,"Incident queue, problem records, change coordination, release calendar",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-incident_problem_change-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,incident_problem_change - offshore_engineer_or_analyst,offshore,1.28,86800.00,140000.00,111104.00,179200.00,68096.00,"Incident queue, problem records, change coordination, release calendar",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-cloud_transition_support-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,cloud_transition_support - onshore_lead_or_sme,onshore,0.9,162857.14,226190.48,146571.43,203571.43,57000.00,"AWS/Databricks migration support, dual-run validation, cutover readiness",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-cloud_transition_support-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,cloud_transition_support - offshore_senior_or_primary,offshore,2.24,140238.10,226190.48,314133.34,506666.67,192533.33,"AWS/Databricks migration support, dual-run validation, cutover readiness",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-cloud_transition_support-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,cloud_transition_support - offshore_engineer_or_analyst,offshore,1.06,140238.09,226190.47,148652.38,239761.90,91109.52,"AWS/Databricks migration support, dual-run validation, cutover readiness",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-qa_regression_release-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,qa_regression_release - onshore_lead_or_sme,onshore,0.4,86400.00,120000.00,34560.00,48000.00,13440.00,"Regression pack, report certification, release validation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-qa_regression_release-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,qa_regression_release - offshore_senior_or_primary,offshore,1.77,74400.00,120000.00,131688.00,212400.00,80712.00,"Regression pack, report certification, release validation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-qa_regression_release-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,qa_regression_release - offshore_engineer_or_analyst,offshore,0.83,74400.00,120000.00,61752.00,99600.00,37848.00,"Regression pack, report certification, release validation",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-governance_security_audit-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,governance_security_audit - onshore_lead_or_sme,onshore,0.7,138600.00,192500.00,97020.00,134750.00,37730.00,"PHI control evidence, audit support, access review coordination",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-governance_security_audit-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,governance_security_audit - offshore_senior_or_primary,offshore,0.88,119350.00,192500.00,105028.00,169400.00,64372.00,"PHI control evidence, audit support, access review coordination",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-governance_security_audit-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,governance_security_audit - offshore_engineer_or_analyst,offshore,0.42,119350.00,192500.00,50127.00,80850.00,30723.00,"PHI control evidence, audit support, access review coordination",DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-management_reserve_surge-ON,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,management_reserve_surge - onshore_lead_or_sme,onshore,0.5,40800.00,56666.66,20400.00,28333.33,7933.33,Approved surge pool for quarter-close and regulatory cycles,DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-management_reserve_surge-OFF-PRIMARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,management_reserve_surge - offshore_senior_or_primary,offshore,1.7,35133.33,56666.66,59726.66,96333.33,36606.67,Approved surge pool for quarter-close and regulatory cycles,DOC-LAAMS-RATE-CARD
meridian-health,meridian-laams-new-event-rich-v2-20260908,resource:MER-TECH-LAAMS-001:ROLE-management_reserve_surge-OFF-SECONDARY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,management_reserve_surge - offshore_engineer_or_analyst,offshore,0.8,35133.32,56666.66,28106.66,45333.33,17226.67,Approved surge pool for quarter-close and regulatory cycles,DOC-LAAMS-RATE-CARD
