tenant_key,contract_id,vendor_name,as_of_date,synthetic_policy,period_month,cloud_provider,service_name,workload_tag,unblended_cost_usd,covered_by_commitment_pct,tag_quality_pct,evidence_export_id,dataset_version
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,RDS,claims-analytics-migration,40110,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,S3,provider-quality-pipeline,17820,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,Glue,databricks-transition,11787.5,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,Lambda,legacy-analytics-dual-run,4452,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,CloudWatch,claims-analytics-migration,5612,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,DataTransfer,provider-quality-pipeline,9359,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2026-12-01,AWS,Databricks,databricks-transition,54450,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,EC2,legacy-analytics-dual-run,78310,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,RDS,claims-analytics-migration,41580,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,S3,provider-quality-pipeline,18450,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,Glue,databricks-transition,12190,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,Lambda,legacy-analytics-dual-run,3864,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,CloudWatch,claims-analytics-migration,5825.5,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,DataTransfer,provider-quality-pipeline,9702,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-01-01,AWS,Databricks,databricks-transition,56375,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,EC2,legacy-analytics-dual-run,81180,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,RDS,claims-analytics-migration,43050,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,S3,provider-quality-pipeline,19080,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,Glue,databricks-transition,10580,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,Lambda,legacy-analytics-dual-run,4011,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,CloudWatch,claims-analytics-migration,6039,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,DataTransfer,provider-quality-pipeline,10045,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-02-01,AWS,Databricks,databricks-transition,58300,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,EC2,legacy-analytics-dual-run,84050,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,RDS,claims-analytics-migration,44520,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,S3,provider-quality-pipeline,16560,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,Glue,databricks-transition,10982.5,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,Lambda,legacy-analytics-dual-run,4158,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,CloudWatch,claims-analytics-migration,6252.5,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,DataTransfer,provider-quality-pipeline,10388,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-03-01,AWS,Databricks,databricks-transition,50600,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,EC2,legacy-analytics-dual-run,86920,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,RDS,claims-analytics-migration,38640,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,S3,provider-quality-pipeline,17190,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,Glue,databricks-transition,11385,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,Lambda,legacy-analytics-dual-run,4305,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,CloudWatch,claims-analytics-migration,6466,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,DataTransfer,provider-quality-pipeline,9016,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-04-01,AWS,Databricks,databricks-transition,52525,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,EC2,legacy-analytics-dual-run,75440,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,RDS,claims-analytics-migration,40110,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,S3,provider-quality-pipeline,17820,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,Glue,databricks-transition,11787.5,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,Lambda,legacy-analytics-dual-run,4452,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,CloudWatch,claims-analytics-migration,5612,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,DataTransfer,provider-quality-pipeline,9359,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-05-01,AWS,Databricks,databricks-transition,54450,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,EC2,legacy-analytics-dual-run,78310,38,91,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,RDS,claims-analytics-migration,41580,42,88,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,S3,provider-quality-pipeline,18450,0,83,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,Glue,databricks-transition,12190,25,76,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,Lambda,legacy-analytics-dual-run,3864,0,72,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,CloudWatch,claims-analytics-migration,5825.5,0,69,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,DataTransfer,provider-quality-pipeline,9702,0,65,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
meridian-health,MER-TECH-LAAMS-001,Cognizant Technology Solutions,2027-06-30,synthetic_demo_only_not_client_truth,2027-06-01,AWS,Databricks,databricks-transition,56375,51,94,AWS-CUR-LAAMS-FY27,meridian-laams-new-event-rich-v2-20260908
