tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,application_ref,application_name,business_function,criticality,hosting_model,scope_role,relationship_method,relationship_confidence,monthly_report_count,monthly_named_user_count,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-015,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-015,SAS Claims Model Scheduler 2,Member Experience,Tier 2,SQL Server,primary,explicit_sow_scope,0.92,8,240,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-016,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-016,Regulatory Reporting Store 2,Finance Analytics,Tier 3,Tableau,primary,explicit_sow_scope,0.92,9,251,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-017,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-017,Enterprise SQL Reporting Mart 3,Claims Operations,Tier 1,Power BI,primary,explicit_sow_scope,0.92,10,262,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-018,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-018,Claims Analytics Mart 3,Clinical Quality,Tier 2,SAS,primary,explicit_sow_scope,0.92,2,273,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-019,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-019,Provider Quality Mart 3,Provider Network,Tier 2,SSIS,primary,explicit_sow_scope,0.92,3,284,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-020,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-020,Member Experience Dashboard Hub 3,Member Experience,Tier 3,AWS,primary,explicit_sow_scope,0.92,4,295,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-021,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-021,Tableau Server Legacy Cluster 3,Finance Analytics,Tier 1,Databricks,primary,explicit_sow_scope,0.92,5,306,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-022,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-022,Power BI Gateway Farm 3,Claims Operations,Tier 2,SQL Server,primary,explicit_sow_scope,0.92,6,317,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-023,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-023,SAS Claims Model Scheduler 3,Clinical Quality,Tier 2,Tableau,primary,explicit_sow_scope,0.92,7,328,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-024,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-024,Regulatory Reporting Store 3,Provider Network,Tier 3,Power BI,primary,explicit_sow_scope,0.92,8,339,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-025,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-025,Enterprise SQL Reporting Mart 4,Member Experience,Tier 1,SAS,supporting,explicit_sow_scope,0.92,9,350,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-026,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-026,Claims Analytics Mart 4,Finance Analytics,Tier 2,SSIS,supporting,explicit_sow_scope,0.92,10,361,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-027,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-027,Provider Quality Mart 4,Claims Operations,Tier 2,AWS,supporting,explicit_sow_scope,0.92,2,372,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-028,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-028,Member Experience Dashboard Hub 4,Clinical Quality,Tier 3,Databricks,supporting,explicit_sow_scope,0.92,3,383,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-029,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-029,Tableau Server Legacy Cluster 4,Provider Network,Tier 1,SQL Server,supporting,explicit_sow_scope,0.92,4,394,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-030,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-030,Power BI Gateway Farm 4,Member Experience,Tier 2,Tableau,supporting,explicit_sow_scope,0.92,5,405,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-031,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-031,SAS Claims Model Scheduler 4,Finance Analytics,Tier 2,Power BI,supporting,explicit_sow_scope,0.92,6,416,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-032,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-032,Regulatory Reporting Store 4,Claims Operations,Tier 3,SAS,supporting,explicit_sow_scope,0.92,7,427,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-033,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-033,Enterprise SQL Reporting Mart 5,Clinical Quality,Tier 1,SSIS,supporting,explicit_sow_scope,0.92,8,438,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-034,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-034,Claims Analytics Mart 5,Provider Network,Tier 2,AWS,supporting,explicit_sow_scope,0.92,9,449,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-035,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-035,Provider Quality Mart 5,Member Experience,Tier 2,Databricks,supporting,explicit_sow_scope,0.92,10,460,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-036,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-036,Member Experience Dashboard Hub 5,Finance Analytics,Tier 3,SQL Server,supporting,explicit_sow_scope,0.92,2,471,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-037,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-037,Tableau Server Legacy Cluster 5,Claims Operations,Tier 1,Tableau,supporting,explicit_sow_scope,0.92,3,482,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-038,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-038,Power BI Gateway Farm 5,Clinical Quality,Tier 2,Power BI,supporting,explicit_sow_scope,0.92,4,493,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-039,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-039,SAS Claims Model Scheduler 5,Provider Network,Tier 2,SAS,supporting,explicit_sow_scope,0.92,5,504,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-040,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-040,Regulatory Reporting Store 5,Member Experience,Tier 3,SSIS,supporting,explicit_sow_scope,0.92,6,515,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-041,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-041,Enterprise SQL Reporting Mart 6,Finance Analytics,Tier 1,AWS,supporting,explicit_sow_scope,0.92,7,526,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-042,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-042,Claims Analytics Mart 6,Claims Operations,Tier 2,Databricks,supporting,explicit_sow_scope,0.92,8,537,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-043,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-043,Provider Quality Mart 6,Clinical Quality,Tier 2,SQL Server,supporting,explicit_sow_scope,0.92,9,548,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-044,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-044,Member Experience Dashboard Hub 6,Provider Network,Tier 3,Tableau,supporting,explicit_sow_scope,0.92,10,559,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-045,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-045,Tableau Server Legacy Cluster 6,Member Experience,Tier 1,Power BI,supporting,explicit_sow_scope,0.92,2,570,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-046,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-046,Power BI Gateway Farm 6,Finance Analytics,Tier 2,SAS,supporting,explicit_sow_scope,0.92,3,581,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-047,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-047,SAS Claims Model Scheduler 6,Claims Operations,Tier 2,SSIS,supporting,explicit_sow_scope,0.92,4,592,DOC-LAAMS-SOW
meridian-health,meridian-laams-new-event-rich-v2-20260908,app_scope:MER-TECH-LAAMS-001:APP-LAAMS-048,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,APP-LAAMS-048,Regulatory Reporting Store 6,Clinical Quality,Tier 3,AWS,supporting,explicit_sow_scope,0.92,5,603,DOC-LAAMS-SOW
