tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,invoice_ref,po_ref,line_type,line_description,line_amount_usd,gl_account,cost_center,approval_owner,basis,source_file_id
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0155,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-06,INV-2025-06-026,PO-LAAMS-2025,transition_support,transition support line for 2025-06-01,6200,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0156,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-07,INV-2025-07-026,PO-LAAMS-2025,surge_pool,surge pool line for 2025-07-01,3800,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0157,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-2025-08-027,PO-LAAMS-2025,base_fee,base fee line for 2025-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0158,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-2025-09-027,PO-LAAMS-2025,change_order,change order line for 2025-09-01,11500,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0159,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10,INV-2025-10-027,PO-LAAMS-2025,pass_through,pass through line for 2025-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0160,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-11,INV-2025-11-027,PO-LAAMS-2025,credit_memo,credit memo line for 2025-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0161,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-12,INV-2025-12-027,PO-LAAMS-2025,transition_support,transition support line for 2025-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0162,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-01,INV-2026-01-027,PO-LAAMS-2026,surge_pool,surge pool line for 2026-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0163,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-02,INV-2026-02-028,PO-LAAMS-2026,base_fee,base fee line for 2026-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0164,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-03,INV-2026-03-028,PO-LAAMS-2026,change_order,change order line for 2026-03-01,9250,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0165,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-04,INV-2026-04-028,PO-LAAMS-2026,pass_through,pass through line for 2026-04-01,1250,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0166,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-05,INV-2026-05-028,PO-LAAMS-2026,credit_memo,credit memo line for 2026-05-01,0,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0167,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-06,INV-2026-06-028,PO-LAAMS-2026,transition_support,transition support line for 2026-06-01,6200,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0168,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,INV-2026-07-028,PO-LAAMS-2026,surge_pool,surge pool line for 2026-07-01,3800,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0169,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,INV-2026-08-029,PO-LAAMS-2026,base_fee,base fee line for 2026-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0170,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,INV-2026-09-029,PO-LAAMS-2026,change_order,change order line for 2026-09-01,13750,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0171,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-10,INV-2026-10-029,PO-LAAMS-2026,pass_through,pass through line for 2026-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0172,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-11,INV-2026-11-029,PO-LAAMS-2026,credit_memo,credit memo line for 2026-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0173,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-12,INV-2026-12-029,PO-LAAMS-2026,transition_support,transition support line for 2026-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0174,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-01,INV-2027-01-029,PO-LAAMS-2027,surge_pool,surge pool line for 2027-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0175,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-02,INV-2027-02-030,PO-LAAMS-2027,base_fee,base fee line for 2027-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0176,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-03,INV-2027-03-030,PO-LAAMS-2027,change_order,change order line for 2027-03-01,11500,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0177,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-04,INV-2027-04-030,PO-LAAMS-2027,pass_through,pass through line for 2027-04-01,1250,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0178,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-05,INV-2027-05-030,PO-LAAMS-2027,credit_memo,credit memo line for 2027-05-01,0,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0179,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-06,INV-2027-06-030,PO-LAAMS-2027,transition_support,transition support line for 2027-06-01,6200,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0180,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-07,INV-2027-07-030,PO-LAAMS-2027,surge_pool,surge pool line for 2027-07-01,3800,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0181,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-08,INV-2024-08-031,PO-LAAMS-2024,base_fee,base fee line for 2024-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0182,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-09,INV-2024-09-031,PO-LAAMS-2024,change_order,change order line for 2024-09-01,9250,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0183,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-10,INV-2024-10-031,PO-LAAMS-2024,pass_through,pass through line for 2024-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0184,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-11,INV-2024-11-031,PO-LAAMS-2024,credit_memo,credit memo line for 2024-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0185,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2024-12,INV-2024-12-031,PO-LAAMS-2024,transition_support,transition support line for 2024-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0186,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-01,INV-2025-01-031,PO-LAAMS-2025,surge_pool,surge pool line for 2025-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0187,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-02,INV-2025-02-032,PO-LAAMS-2025,base_fee,base fee line for 2025-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0188,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-03,INV-2025-03-032,PO-LAAMS-2025,change_order,change order line for 2025-03-01,13750,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0189,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-04,INV-2025-04-032,PO-LAAMS-2025,pass_through,pass through line for 2025-04-01,1250,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0190,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-05,INV-2025-05-032,PO-LAAMS-2025,credit_memo,credit memo line for 2025-05-01,0,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0191,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-06,INV-2025-06-032,PO-LAAMS-2025,transition_support,transition support line for 2025-06-01,6200,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0192,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-07,INV-2025-07-032,PO-LAAMS-2025,surge_pool,surge pool line for 2025-07-01,3800,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0193,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-2025-08-033,PO-LAAMS-2025,base_fee,base fee line for 2025-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0194,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-2025-09-033,PO-LAAMS-2025,change_order,change order line for 2025-09-01,11500,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0195,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10,INV-2025-10-033,PO-LAAMS-2025,pass_through,pass through line for 2025-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0196,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-11,INV-2025-11-033,PO-LAAMS-2025,credit_memo,credit memo line for 2025-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0197,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-12,INV-2025-12-033,PO-LAAMS-2025,transition_support,transition support line for 2025-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0198,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-01,INV-2026-01-033,PO-LAAMS-2026,surge_pool,surge pool line for 2026-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0199,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-02,INV-2026-02-034,PO-LAAMS-2026,base_fee,base fee line for 2026-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0200,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-03,INV-2026-03-034,PO-LAAMS-2026,change_order,change order line for 2026-03-01,9250,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0201,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-04,INV-2026-04-034,PO-LAAMS-2026,pass_through,pass through line for 2026-04-01,1250,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0202,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-05,INV-2026-05-034,PO-LAAMS-2026,credit_memo,credit memo line for 2026-05-01,0,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0203,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-06,INV-2026-06-034,PO-LAAMS-2026,transition_support,transition support line for 2026-06-01,6200,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0204,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,INV-2026-07-034,PO-LAAMS-2026,surge_pool,surge pool line for 2026-07-01,3800,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0205,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-08,INV-2026-08-035,PO-LAAMS-2026,base_fee,base fee line for 2026-08-01,109027.78,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0206,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-09,INV-2026-09-035,PO-LAAMS-2026,change_order,change order line for 2026-09-01,13750,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0207,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-10,INV-2026-10-035,PO-LAAMS-2026,pass_through,pass through line for 2026-10-01,1250,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0208,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-11,INV-2026-11-035,PO-LAAMS-2026,credit_memo,credit memo line for 2026-11-01,0,617500 Managed services,Clinical Quality,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0209,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-12,INV-2026-12-035,PO-LAAMS-2026,transition_support,transition support line for 2026-12-01,6200,617500 Managed services,D&A Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0210,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-01,INV-2027-01-035,PO-LAAMS-2027,surge_pool,surge pool line for 2027-01-01,3800,617500 Managed services,Claims Ops,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
meridian-health,meridian-laams-new-event-rich-v2-20260908,invoice_line:MER-TECH-LAAMS-001:INV-LAAMS-0211,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2027-02,INV-2027-02-036,PO-LAAMS-2027,base_fee,base fee line for 2027-02-01,109027.78,617500 Managed services,Finance Analytics,IT Finance,contract_and_ap_extract,DOC-LAAMS-INVOICE-PO-PACKET
