mapping_id,app_id,capability_id,support_type,process_area,user_count,operational_risk
SHA-SFM-0073,APP-00150,SHA-CAP-003,primary,Flight planning and dispatch,340,medium
SHA-SFM-0074,APP-00151,SHA-CAP-004,supporting,Airport turn management,930,medium
SHA-SFM-0075,APP-00152,SHA-CAP-005,supporting,Baggage tracking and recovery,6200,medium
SHA-SFM-0076,APP-00153,SHA-CAP-006,system_of_record,MRO predictive maintenance,18500,medium
SHA-SFM-0077,APP-00154,SHA-CAP-007,supporting,Revenue management and pricing,780,medium
SHA-SFM-0078,APP-00155,SHA-CAP-008,supporting,NDC offer/order retailing,132000,high
SHA-SFM-0079,APP-00156,SHA-CAP-009,primary,Loyalty personalization,340,medium
SHA-SFM-0080,APP-00157,SHA-CAP-010,supporting,Digital concierge and journey orchestration,930,medium
SHA-SFM-0081,APP-00158,SHA-CAP-011,system_of_record,Contact center service recovery,6200,medium
SHA-SFM-0082,APP-00159,SHA-CAP-012,primary,Cargo capacity optimization,18500,medium
SHA-SFM-0083,APP-00160,SHA-CAP-013,supporting,Fuel optimization and sustainability,780,medium
SHA-SFM-0084,APP-00161,SHA-CAP-014,supporting,Revenue accounting and settlement,132000,medium
SHA-SFM-0085,APP-00162,SHA-CAP-015,primary,SAP finance close and procurement,340,high
SHA-SFM-0086,APP-00163,SHA-CAP-016,system_of_record,Mainframe transaction processing,930,medium
SHA-SFM-0087,APP-00164,SHA-CAP-017,supporting,Cloud-native digital engineering,6200,medium
SHA-SFM-0088,APP-00165,SHA-CAP-018,primary,Enterprise integration and eventing,18500,medium
SHA-SFM-0089,APP-00166,SHA-CAP-019,supporting,EDW and certified BI,780,medium
SHA-SFM-0090,APP-00167,SHA-CAP-020,supporting,Data lake ingestion and lineage,132000,medium
SHA-SFM-0091,APP-00168,SHA-CAP-021,system_of_record,Customer identity and consent,340,medium
SHA-SFM-0092,APP-00169,SHA-CAP-022,supporting,Cybersecurity and zero trust,930,high
SHA-SFM-0093,APP-00170,SHA-CAP-023,supporting,ServiceNow workflow automation,6200,medium
SHA-SFM-0094,APP-00171,SHA-CAP-024,primary,Engineering productivity,18500,medium
SHA-SFM-0095,APP-00172,SHA-CAP-025,supporting,AI governance and model risk,780,medium
